_META_START_,,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,940A,Sundry and Other Revenues,209762,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,850A,User Fees & Donations,235704,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,860A,Licences & Permits Revenue,98328,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,930A,Contribution From Reserves/Reserve Funds,4000,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,940A,Sundry and Other Revenues,159210,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,850A,User Fees & Donations,485,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,860A,Licences & Permits Revenue,845161,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,940A,Sundry and Other Revenues,3157,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,850A,User Fees & Donations,326572,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,860A,Licences & Permits Revenue,17110,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,930A,Contribution From Reserves/Reserve Funds,6000,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,940A,Sundry and Other Revenues,88785,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,850A,User Fees & Donations,543574,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,860A,Licences & Permits Revenue,10855461,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,940A,Sundry and Other Revenues,32910,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,850A,User Fees & Donations,84556,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,860A,Licences & Permits Revenue,1688627,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,940A,Sundry and Other Revenues,5119,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,850A,User Fees & Donations,36238,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,860A,Licences & Permits Revenue,723697,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,940A,Sundry and Other Revenues,2194,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,850A,User Fees & Donations,543574,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,860A,Licences & Permits Revenue,10855461,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,940A,Sundry and Other Revenues,32910,
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,860A,Licences & Permits Revenue,286399,
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,750A,Inter-Divisional Recoveries,1491461,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,850A,User Fees & Donations,109013,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,860A,Licences & Permits Revenue,43524,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,850A,User Fees & Donations,164025,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,860A,Licences & Permits Revenue,65285,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",850A,User Fees & Donations,164025,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",860A,Licences & Permits Revenue,65285,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,850A,User Fees & Donations,109266,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,860A,Licences & Permits Revenue,43524,
Non-Program Expenditures,Corporate Accounts,,850A,User Fees & Donations,7359250,
Non-Program Expenditures,Corporate Accounts,,930A,Contribution From Reserves/Reserve Funds,160312677,
Non-Program Expenditures,Corporate Accounts,,940A,Sundry and Other Revenues,7407400,
Non-Program Revenues,Corporate Accounts,,750A,Inter-Divisional Recoveries,35299700,
Non-Program Revenues,Corporate Accounts,,850A,User Fees & Donations,1960000,
Non-Program Revenues,Corporate Accounts,,860A,Licences & Permits Revenue,4146608,
Non-Program Revenues,Corporate Accounts,,930A,Contribution From Reserves/Reserve Funds,91600000,
Non-Program Revenues,Corporate Accounts,,940A,Sundry and Other Revenues,1088893056,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,750A,Inter-Divisional Recoveries,29427,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,930A,Contribution From Reserves/Reserve Funds,92637,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,940A,Sundry and Other Revenues,11626,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,750A,Inter-Divisional Recoveries,34332,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,930A,Contribution From Reserves/Reserve Funds,111661,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,940A,Sundry and Other Revenues,14099,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,750A,Inter-Divisional Recoveries,110130,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,930A,Contribution From Reserves/Reserve Funds,102399,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,940A,Sundry and Other Revenues,11775,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,750A,Inter-Divisional Recoveries,538447,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,930A,Contribution From Reserves/Reserve Funds,14484,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,750A,Inter-Divisional Recoveries,756984,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,930A,Contribution From Reserves/Reserve Funds,26442,
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,750A,Inter-Divisional Recoveries,74550,
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,930A,Contribution From Reserves/Reserve Funds,1044030,
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,750A,Inter-Divisional Recoveries,192644,
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,930A,Contribution From Reserves/Reserve Funds,625482,
Office of the Chief Financial Officer,F&A-Executive Leadership,,750A,Inter-Divisional Recoveries,87300,
Office of the Chief Financial Officer,F&A-Executive Leadership,,930A,Contribution From Reserves/Reserve Funds,114772,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,750A,Inter-Divisional Recoveries,393579,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,920A,Transfers From Capital,551130,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,930A,Contribution From Reserves/Reserve Funds,35863,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,750A,Inter-Divisional Recoveries,245987,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,920A,Transfers From Capital,551130,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,930A,Contribution From Reserves/Reserve Funds,22415,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,750A,Inter-Divisional Recoveries,118073,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,920A,Transfers From Capital,459278,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,930A,Contribution From Reserves/Reserve Funds,10759,
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,,750A,Inter-Divisional Recoveries,226307,
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,,920A,Transfers From Capital,275567,
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,,930A,Contribution From Reserves/Reserve Funds,20621,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,750A,Inter-Divisional Recoveries,69070,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,920A,Transfers From Capital,31500,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,940A,Sundry and Other Revenues,13800,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial Statement Preparation,750A,Inter-Divisional Recoveries,161350,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Management Reporting,750A,Inter-Divisional Recoveries,75720,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Management Reporting,920A,Transfers From Capital,13500,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Provincial & Federal Reports Submission,750A,Inter-Divisional Recoveries,30240,
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,750A,Inter-Divisional Recoveries,282116,
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,920A,Transfers From Capital,222737,
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,940A,Sundry and Other Revenues,559582,
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Receivable Processing,850A,User Fees & Donations,8000,
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Receivable Processing,940A,Sundry and Other Revenues,386200,
Office of the Treasurer,ASD-Payment Processing,ASD-Corporate Banking,920A,Transfers From Capital,8999,
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,750A,Inter-Divisional Recoveries,11504,
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,920A,Transfers From Capital,10562,
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,940A,Sundry and Other Revenues,100383,
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-SAP User Support,920A,Transfers From Capital,184201,
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-Tax Advisory & Policy,850A,User Fees & Donations,1500,
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-Tax Advisory & Policy,940A,Sundry and Other Revenues,252000,
Office of the Treasurer,PMM-Materials Management Stores & Distribution,,750A,Inter-Divisional Recoveries,405134,
Office of the Treasurer,PMM-Materials Management Stores & Distribution,,930A,Contribution From Reserves/Reserve Funds,310759,
Office of the Treasurer,PMM-Materials Management Stores & Distribution,,940A,Sundry and Other Revenues,35000,
Office of the Treasurer,PMM-Purchasing,,750A,Inter-Divisional Recoveries,1906529,
Office of the Treasurer,PMM-Purchasing,,850A,User Fees & Donations,520000,
Office of the Treasurer,PMM-Purchasing,,920A,Transfers From Capital,362585,
Office of the Treasurer,PMM-Purchasing,,930A,Contribution From Reserves/Reserve Funds,300000,
Office of the Treasurer,PMM-Purchasing,,940A,Sundry and Other Revenues,143084,
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,PPEB-Employee Benefits & Pension Administration,750A,Inter-Divisional Recoveries,58216,
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,PPEB-Employee Benefits & Pension Administration,930A,Contribution From Reserves/Reserve Funds,52542,
Office of the Treasurer,PPEB-Payroll,PPEB-3rd  Party Payroll Payments & Compliance,750A,Inter-Divisional Recoveries,13075,
Office of the Treasurer,PPEB-Payroll,PPEB-3rd  Party Payroll Payments & Compliance,930A,Contribution From Reserves/Reserve Funds,105085,
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,750A,Inter-Divisional Recoveries,272399,
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,920A,Transfers From Capital,4498298,
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,930A,Contribution From Reserves/Reserve Funds,683052,
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,750A,Inter-Divisional Recoveries,104600,
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,930A,Contribution From Reserves/Reserve Funds,210170,
Office of the Treasurer,RS-Parking Ticket,RS-Parking Ticket Processing,750A,Inter-Divisional Recoveries,3594184,
Office of the Treasurer,RS-Property Tax Billing,RS-Apportionments of Property Tax,850A,User Fees & Donations,15930,
Office of the Treasurer,RS-Property Tax Billing,RS-Property Assessment Reviews,750A,Inter-Divisional Recoveries,870487,
Office of the Treasurer,RS-Property Tax Billing,RS-Property Tax & Payment in Lieu of Tax Billing,850A,User Fees & Donations,908984,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,750A,Inter-Divisional Recoveries,1593781,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,850A,User Fees & Donations,7417604,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Municipal Land Transfer Tax,750A,Inter-Divisional Recoveries,1490171,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,750A,Inter-Divisional Recoveries,1843364,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,750A,Inter-Divisional Recoveries,378983,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,850A,User Fees & Donations,375465,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,750A,Inter-Divisional Recoveries,966910,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,850A,User Fees & Donations,212880,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,750A,Inter-Divisional Recoveries,3415987,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,850A,User Fees & Donations,65499,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,750A,Inter-Divisional Recoveries,2771637,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,850A,User Fees & Donations,164243,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,750A,Inter-Divisional Recoveries,952774,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,850A,User Fees & Donations,3016048,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,920A,Transfers From Capital,191757,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,940A,Sundry and Other Revenues,1717885,
Office of the Treasurer,RS-Utility Billing,RS-Meter Reading Operations,750A,Inter-Divisional Recoveries,1127291,
Office of the Treasurer,RS-Utility Billing,RS-Solid Waste Billings,750A,Inter-Divisional Recoveries,1633543,
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,750A,Inter-Divisional Recoveries,1245911,
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,940A,Sundry and Other Revenues,370000,
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,750A,Inter-Divisional Recoveries,1416000,
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,805A,Provincial Subsidies,3000,
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,850A,User Fees & Donations,1076327,
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,860A,Licences & Permits Revenue,348164,
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,930A,Contribution From Reserves/Reserve Funds,97000,
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,940A,Sundry and Other Revenues,54445,
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,750A,Inter-Divisional Recoveries,2486525,
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,805A,Provincial Subsidies,663472,
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,850A,User Fees & Donations,36525509,
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,860A,Licences & Permits Revenue,748537,
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,940A,Sundry and Other Revenues,152615,
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,805A,Provincial Subsidies,37500,
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,850A,User Fees & Donations,5879596,
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,860A,Licences & Permits Revenue,431459,
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,940A,Sundry and Other Revenues,77569,
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,750A,Inter-Divisional Recoveries,129471,
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,805A,Provincial Subsidies,6000,
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,850A,User Fees & Donations,14431164,
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,860A,Licences & Permits Revenue,2529670,
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,940A,Sundry and Other Revenues,245144,
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,850A,User Fees & Donations,1534574,
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,920A,Transfers From Capital,4824010,
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,930A,Contribution From Reserves/Reserve Funds,0,
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,940A,Sundry and Other Revenues,600,
"Parks, Forestry & Recreation",PR-Parks,Beach Access,750A,Inter-Divisional Recoveries,15000,
"Parks, Forestry & Recreation",PR-Parks,Beach Access,940A,Sundry and Other Revenues,6320,
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,850A,User Fees & Donations,4040818,
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,920A,Transfers From Capital,3537683,
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,940A,Sundry and Other Revenues,1070043,
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",750A,Inter-Divisional Recoveries,1000,
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",860A,Licences & Permits Revenue,179207,
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",930A,Contribution From Reserves/Reserve Funds,524700,
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",940A,Sundry and Other Revenues,37832,
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,750A,Inter-Divisional Recoveries,1291065,
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,850A,User Fees & Donations,6132217,
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,860A,Licences & Permits Revenue,3721233,
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,930A,Contribution From Reserves/Reserve Funds,-81520,Non-normal value
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,940A,Sundry and Other Revenues,930160,
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,750A,Inter-Divisional Recoveries,232600,
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,940A,Sundry and Other Revenues,3488,
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,750A,Inter-Divisional Recoveries,44550,
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,850A,User Fees & Donations,7434021,
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,860A,Licences & Permits Revenue,28517,
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,940A,Sundry and Other Revenues,32832,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,750A,Inter-Divisional Recoveries,37500,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,810A,Federal Subsidies,3500000,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,930A,Contribution From Reserves/Reserve Funds,13182087,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,940A,Sundry and Other Revenues,1753127,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,750A,Inter-Divisional Recoveries,1962500,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,850A,User Fees & Donations,600000,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,930A,Contribution From Reserves/Reserve Funds,797242,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,940A,Sundry and Other Revenues,4511128,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,850A,User Fees & Donations,3209634,
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,850A,User Fees & Donations,1747,
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,920A,Transfers From Capital,1447203,
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,930A,Contribution From Reserves/Reserve Funds,0,
"Policy, Planning, Finance & Administration",Organizational Effectiveness,,750A,Inter-Divisional Recoveries,1191161,
"Policy, Planning, Finance & Administration",Organizational Effectiveness,,940A,Sundry and Other Revenues,222040,
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,805A,Provincial Subsidies,225000,
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,930A,Contribution From Reserves/Reserve Funds,875,
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,940A,Sundry and Other Revenues,9125,
"Policy, Planning, Finance & Administration",PA-Financial Management,Budget Planning & coordination,750A,Inter-Divisional Recoveries,946687,
"Policy, Planning, Finance & Administration",PA-Financial Management,Financial Transaction & Payment Processing,750A,Inter-Divisional Recoveries,3087023,
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,750A,Inter-Divisional Recoveries,205802,
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,920A,Transfers From Capital,114615,
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,750A,Inter-Divisional Recoveries,1029008,
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,920A,Transfers From Capital,573076,
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,750A,Inter-Divisional Recoveries,1234809,
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,920A,Transfers From Capital,687691,
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,940A,Sundry and Other Revenues,103781,
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,750A,Inter-Divisional Recoveries,1646412,
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,920A,Transfers From Capital,916922,
Property Tax,,,940A,Property Tax,3954268271,
Property Tax,Special Levy for Scarborough Subway (Reserve Contribution),,940A,Special Levy for Scarborough Subway (Reserve Contribution),40686000,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,750A,Inter-Divisional Recoveries,3769,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,805A,Provincial Subsidies,18688217,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,810A,Federal Subsidies,17296389,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,920A,Transfers From Capital,43042,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,940A,Sundry and Other Revenues,-181510,Non-normal value
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,750A,Inter-Divisional Recoveries,3769,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,805A,Provincial Subsidies,73856071,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,920A,Transfers From Capital,43042,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,930A,Contribution From Reserves/Reserve Funds,3790,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,940A,Sundry and Other Revenues,128483,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,750A,Inter-Divisional Recoveries,1238,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,805A,Provincial Subsidies,36621010,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,920A,Transfers From Capital,14133,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,930A,Contribution From Reserves/Reserve Funds,9851000,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,940A,Sundry and Other Revenues,30024,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,750A,Inter-Divisional Recoveries,1238,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,805A,Provincial Subsidies,21109770,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,810A,Federal Subsidies,28769182,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,820A,Other Subsidies,16710555,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,920A,Transfers From Capital,14133,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,930A,Contribution From Reserves/Reserve Funds,338484,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,940A,Sundry and Other Revenues,30024,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,750A,Inter-Divisional Recoveries,1238,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,805A,Provincial Subsidies,5644656,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,810A,Federal Subsidies,102309828,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,820A,Other Subsidies,-16710555,Non-normal value
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Social Housing Provider Subsidies,920A,Transfers From Capital,14133,
