_META_START_,,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,,
Fleet Services,FL-Fuel Management,Fuel Acquisition,100A,Salaries And Benefits,13651,
Fleet Services,FL-Fuel Management,Fuel Acquisition,200A,Materials & Supplies,13587624,
Fleet Services,FL-Fuel Management,Fuel Acquisition,400A,Service And Rent,106899,
Fleet Services,FL-Fuel Management,Fuel Acquisition,510A,Contribution To Reserves/Reserve Funds,2447,
Fleet Services,FL-Fuel Management,Fuel Acquisition,700A,Inter-Divisional Charges,68781,
Fleet Services,FL-Fuel Management,Fuel Distribution,100A,Salaries And Benefits,409445,
Fleet Services,FL-Fuel Management,Fuel Distribution,200A,Materials & Supplies,2091,
Fleet Services,FL-Fuel Management,Fuel Distribution,300A,Equipment,370,
Fleet Services,FL-Fuel Management,Fuel Distribution,400A,Service And Rent,296701,
Fleet Services,FL-Fuel Management,Fuel Distribution,510A,Contribution To Reserves/Reserve Funds,1558950,
Fleet Services,FL-Fuel Management,Fuel Distribution,700A,Inter-Divisional Charges,171629,
Heritage Toronto,Heritage Fundraising & Partnership Development,,100A,Salaries And Benefits,238418,
Heritage Toronto,Heritage Fundraising & Partnership Development,,200A,Materials & Supplies,24900,
Heritage Toronto,Heritage Fundraising & Partnership Development,,510A,Contribution To Reserves/Reserve Funds,633,
Heritage Toronto,Heritage Promotion & Education,,100A,Salaries And Benefits,302508,
Heritage Toronto,Heritage Promotion & Education,,200A,Materials & Supplies,42987,
Heritage Toronto,Heritage Promotion & Education,,400A,Service And Rent,158300,
Heritage Toronto,Heritage Promotion & Education,,510A,Contribution To Reserves/Reserve Funds,633,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,100A,Salaries And Benefits,3126654,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,200A,Materials & Supplies,5668,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,300A,Equipment,-859,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,400A,Service And Rent,45568,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,700A,Inter-Divisional Charges,47907,
Information & Technology,IT-Business IT Solutions,IT Common Components,100A,Salaries And Benefits,3215181,
Information & Technology,IT-Business IT Solutions,IT Common Components,200A,Materials & Supplies,11167,
Information & Technology,IT-Business IT Solutions,IT Common Components,300A,Equipment,3847,
Information & Technology,IT-Business IT Solutions,IT Common Components,400A,Service And Rent,107008,
Information & Technology,IT-Business IT Solutions,IT Common Components,700A,Inter-Divisional Charges,48457,
Information & Technology,IT-Business IT Solutions,Solution Implementation,100A,Salaries And Benefits,34596079,
Information & Technology,IT-Business IT Solutions,Solution Implementation,200A,Materials & Supplies,13064,
Information & Technology,IT-Business IT Solutions,Solution Implementation,300A,Equipment,13093,
Information & Technology,IT-Business IT Solutions,Solution Implementation,400A,Service And Rent,26990,
Information & Technology,IT-Business IT Solutions,Solution Implementation,650A,Other Expenditures,119,
Information & Technology,IT-Business IT Solutions,Solution Implementation,700A,Inter-Divisional Charges,47907,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,100A,Salaries And Benefits,8592270,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,200A,Materials & Supplies,18768,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,300A,Equipment,83390,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,400A,Service And Rent,7237052,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,650A,Other Expenditures,198,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,700A,Inter-Divisional Charges,47907,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,100A,Salaries And Benefits,17730248,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,200A,Materials & Supplies,10951,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,300A,Equipment,358291,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,400A,Service And Rent,11299314,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,510A,Contribution To Reserves/Reserve Funds,-1556,Non-normal value
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,650A,Other Expenditures,40,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,700A,Inter-Divisional Charges,55906,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,100A,Salaries And Benefits,5641390,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,200A,Materials & Supplies,21967,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,300A,Equipment,105066,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,400A,Service And Rent,7204445,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,510A,Contribution To Reserves/Reserve Funds,11040,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,650A,Other Expenditures,40,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,700A,Inter-Divisional Charges,64003,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",100A,Salaries And Benefits,13416851,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",200A,Materials & Supplies,17761,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",300A,Equipment,61885,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",400A,Service And Rent,179902,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",510A,Contribution To Reserves/Reserve Funds,47345,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",700A,Inter-Divisional Charges,64964,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,100A,Salaries And Benefits,7023213,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,200A,Materials & Supplies,12921,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,300A,Equipment,277275,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,400A,Service And Rent,327295,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,510A,Contribution To Reserves/Reserve Funds,69736,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,700A,Inter-Divisional Charges,59834,
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,100A,Salaries And Benefits,3463841,
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,200A,Materials & Supplies,2816,
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,300A,Equipment,3428,
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,400A,Service And Rent,11667,
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,700A,Inter-Divisional Charges,47907,
Integrity Commissioner's Office,,,100A,Salaries And Benefits,455221,
Integrity Commissioner's Office,,,200A,Materials & Supplies,1576,
Integrity Commissioner's Office,,,300A,Equipment,53,
Integrity Commissioner's Office,,,400A,Service And Rent,17618,
Integrity Commissioner's Office,,,510A,Contribution To Reserves/Reserve Funds,4365,
Integrity Commissioner's Office,,,700A,Inter-Divisional Charges,400,
Legal Services,Civil Litigation,,100A,Salaries And Benefits,13129693,
Legal Services,Civil Litigation,,200A,Materials & Supplies,91827,
Legal Services,Civil Litigation,,300A,Equipment,10440,
Legal Services,Civil Litigation,,400A,Service And Rent,630423,
Legal Services,Civil Litigation,,510A,Contribution To Reserves/Reserve Funds,22936,
Legal Services,Prosecution,,100A,Salaries And Benefits,9042165,
Legal Services,Prosecution,,200A,Materials & Supplies,109571,
Legal Services,Prosecution,,300A,Equipment,14356,
Legal Services,Prosecution,,400A,Service And Rent,184289,
Legal Services,Prosecution,,510A,Contribution To Reserves/Reserve Funds,22936,
Legal Services,Prosecution,,700A,Inter-Divisional Charges,6685200,
Legal Services,Solicitor,,100A,Salaries And Benefits,19333618,
Legal Services,Solicitor,,200A,Materials & Supplies,240612,
Legal Services,Solicitor,,300A,Equipment,38762,
Legal Services,Solicitor,,400A,Service And Rent,595891,
Legal Services,Solicitor,,510A,Contribution To Reserves/Reserve Funds,23631,
Legal Services,Solicitor,,700A,Inter-Divisional Charges,53000,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,100A,Salaries And Benefits,1202902,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,200A,Materials & Supplies,9700,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,400A,Service And Rent,236665,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,650A,Other Expenditures,138600,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,100A,Salaries And Benefits,1309815,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,200A,Materials & Supplies,3500,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,400A,Service And Rent,4147285,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,700A,Inter-Divisional Charges,11000,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,100A,Salaries And Benefits,1375482,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,200A,Materials & Supplies,9350,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,300A,Equipment,21700,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,400A,Service And Rent,3843703,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,650A,Other Expenditures,22900,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,700A,Inter-Divisional Charges,14800,
Long Term Care Homes & Services,Long Term Care Homes,,100A,Salaries And Benefits,202916702,
Long Term Care Homes & Services,Long Term Care Homes,,200A,Materials & Supplies,19797200,
Long Term Care Homes & Services,Long Term Care Homes,,300A,Equipment,2855800,
Long Term Care Homes & Services,Long Term Care Homes,,400A,Service And Rent,12384854,
Long Term Care Homes & Services,Long Term Care Homes,,510A,Contribution To Reserves/Reserve Funds,1901532,
Long Term Care Homes & Services,Long Term Care Homes,,650A,Other Expenditures,-63200,Non-normal value
Long Term Care Homes & Services,Long Term Care Homes,,700A,Inter-Divisional Charges,599430,
Mayor's Office,,,100A,Salaries And Benefits,2200854,
Mayor's Office,,,200A,Materials & Supplies,4800,
Mayor's Office,,,400A,Service And Rent,84409,
Mayor's Office,,,700A,Inter-Divisional Charges,7047,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,100A,Salaries And Benefits,3887294,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,200A,Materials & Supplies,228880,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,300A,Equipment,5546,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,400A,Service And Rent,280309,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,510A,Contribution To Reserves/Reserve Funds,26844,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,650A,Other Expenditures,13871,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,700A,Inter-Divisional Charges,290397,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,100A,Salaries And Benefits,1789118,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,200A,Materials & Supplies,244162,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,300A,Equipment,13175,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,400A,Service And Rent,311038,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,510A,Contribution To Reserves/Reserve Funds,21402,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,650A,Other Expenditures,7736,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,700A,Inter-Divisional Charges,143063,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,100A,Salaries And Benefits,360990,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,200A,Materials & Supplies,4675,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,300A,Equipment,598,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,400A,Service And Rent,36480,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,510A,Contribution To Reserves/Reserve Funds,10517,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,650A,Other Expenditures,24510,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,700A,Inter-Divisional Charges,43070,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,100A,Salaries And Benefits,1648022,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,200A,Materials & Supplies,273463,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,300A,Equipment,22481,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,400A,Service And Rent,285483,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,510A,Contribution To Reserves/Reserve Funds,15959,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,650A,Other Expenditures,3883,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,700A,Inter-Divisional Charges,74654,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,100A,Salaries And Benefits,1895212,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,200A,Materials & Supplies,23408,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,300A,Equipment,3568,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,400A,Service And Rent,45870,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,510A,Contribution To Reserves/Reserve Funds,12686,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,650A,Other Expenditures,108540,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,700A,Inter-Divisional Charges,1062671,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,100A,Salaries And Benefits,424234,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,200A,Materials & Supplies,3935,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,300A,Equipment,661,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,400A,Service And Rent,6381,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,510A,Contribution To Reserves/Reserve Funds,12686,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,650A,Other Expenditures,16884,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,700A,Inter-Divisional Charges,221081,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,100A,Salaries And Benefits,113401,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,200A,Materials & Supplies,1524,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,300A,Equipment,230,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,400A,Service And Rent,1254,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,650A,Other Expenditures,7236,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,700A,Inter-Divisional Charges,59431,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,100A,Salaries And Benefits,3532753,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,200A,Materials & Supplies,42388,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,300A,Equipment,16297,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,400A,Service And Rent,47070,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,510A,Contribution To Reserves/Reserve Funds,25372,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,650A,Other Expenditures,108540,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,700A,Inter-Divisional Charges,1421512,
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,100A,Salaries And Benefits,1223354,
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,200A,Materials & Supplies,7828,
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,300A,Equipment,60,
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,400A,Service And Rent,11315,
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,510A,Contribution To Reserves/Reserve Funds,5074,
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,700A,Inter-Divisional Charges,57593,
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,100A,Salaries And Benefits,6707718,
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,200A,Materials & Supplies,30780,
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,300A,Equipment,5721,
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,400A,Service And Rent,120068,
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,510A,Contribution To Reserves/Reserve Funds,63431,
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,700A,Inter-Divisional Charges,184097,
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,100A,Salaries And Benefits,1763087,
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,200A,Materials & Supplies,6308,
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,300A,Equipment,137,
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,400A,Service And Rent,22079,
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,510A,Contribution To Reserves/Reserve Funds,12686,
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,700A,Inter-Divisional Charges,51827,
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,100A,Salaries And Benefits,4493227,
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,200A,Materials & Supplies,147377,
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,300A,Equipment,23084,
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,400A,Service And Rent,196353,
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,510A,Contribution To Reserves/Reserve Funds,25372,
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,700A,Inter-Divisional Charges,608203,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,100A,Salaries And Benefits,2519546,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,200A,Materials & Supplies,34265,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,300A,Equipment,82491,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,400A,Service And Rent,69345,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,510A,Contribution To Reserves/Reserve Funds,7612,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,700A,Inter-Divisional Charges,161989,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,100A,Salaries And Benefits,4185904,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,200A,Materials & Supplies,52723,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,300A,Equipment,124170,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,400A,Service And Rent,115837,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,510A,Contribution To Reserves/Reserve Funds,38059,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,700A,Inter-Divisional Charges,284869,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",100A,Salaries And Benefits,5184510,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",200A,Materials & Supplies,59902,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",300A,Equipment,125902,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",400A,Service And Rent,158342,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",510A,Contribution To Reserves/Reserve Funds,25372,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",700A,Inter-Divisional Charges,288031,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,100A,Salaries And Benefits,2636576,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,200A,Materials & Supplies,35142,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,300A,Equipment,82662,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,400A,Service And Rent,74096,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,510A,Contribution To Reserves/Reserve Funds,5074,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,700A,Inter-Divisional Charges,171526,
Non-Program Expenditures,Corporate Accounts,,100A,Salaries And Benefits,51917168,
Non-Program Expenditures,Corporate Accounts,,200A,Materials & Supplies,180000,
Non-Program Expenditures,Corporate Accounts,,400A,Service And Rent,343588003,
Non-Program Expenditures,Corporate Accounts,,510A,Contribution To Reserves/Reserve Funds,77132600,
Non-Program Expenditures,Corporate Accounts,,650A,Other Expenditures,133226169,
Non-Program Expenditures,Corporate Accounts,,700A,Inter-Divisional Charges,18778671,
Non-Program Revenues,Corporate Accounts,,400A,Service And Rent,5747145,
Non-Program Revenues,Corporate Accounts,,510A,Contribution To Reserves/Reserve Funds,49380000,
Non-Program Revenues,Corporate Accounts,,650A,Other Expenditures,310590,
Non-Program Revenues,Corporate Accounts,,700A,Inter-Divisional Charges,5519734,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,100A,Salaries And Benefits,617033,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,200A,Materials & Supplies,2378,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,300A,Equipment,507,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,400A,Service And Rent,12543,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,700A,Inter-Divisional Charges,1369,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,100A,Salaries And Benefits,711111,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,200A,Materials & Supplies,2783,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,300A,Equipment,552,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,400A,Service And Rent,14270,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,700A,Inter-Divisional Charges,1654,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,100A,Salaries And Benefits,908158,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,200A,Materials & Supplies,4000,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,300A,Equipment,573,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,400A,Service And Rent,19429,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,700A,Inter-Divisional Charges,2688,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,100A,Salaries And Benefits,314715,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,200A,Materials & Supplies,3503,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,300A,Equipment,1374,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,400A,Service And Rent,304827,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,650A,Other Expenditures,329,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,700A,Inter-Divisional Charges,537,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,100A,Salaries And Benefits,570148,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,200A,Materials & Supplies,2936,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,300A,Equipment,700,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,400A,Service And Rent,167266,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,650A,Other Expenditures,168,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,700A,Inter-Divisional Charges,748,
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,100A,Salaries And Benefits,1067452,
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,200A,Materials & Supplies,4248,
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,300A,Equipment,1969,
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,400A,Service And Rent,19125,
