Program,Service,Activity,Category,Category Name,Expense/Revenue,Sum - 2016
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,300A,Equipment,Expenses,"9,678"
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,400A,Service And Rent,Expenses,"93,352"
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,510A,Contribution To Reserves/Reserve Funds,Expenses,"7,800"
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,700A,Inter-Divisional Charges,Expenses,"122,437"
Fire Services,FR-Fire Safety Education,School Based Fire Education,100A,Salaries And Benefits,Expenses,"585,517"
Fire Services,FR-Fire Safety Education,School Based Fire Education,200A,Materials & Supplies,Expenses,"14,627"
Fire Services,FR-Fire Safety Education,School Based Fire Education,300A,Equipment,Expenses,894
Fire Services,FR-Fire Safety Education,School Based Fire Education,400A,Service And Rent,Expenses,"8,055"
Fire Services,FR-Fire Safety Education,School Based Fire Education,700A,Inter-Divisional Charges,Expenses,"7,259"
Fleet Services,FL-Fleet Management,Fleet Acquisition,100A,Salaries And Benefits,Expenses,"1,003,521"
Fleet Services,FL-Fleet Management,Fleet Acquisition,200A,Materials & Supplies,Expenses,"3,188"
Fleet Services,FL-Fleet Management,Fleet Acquisition,300A,Equipment,Expenses,82
Fleet Services,FL-Fleet Management,Fleet Acquisition,400A,Service And Rent,Expenses,"313,044"
Fleet Services,FL-Fleet Management,Fleet Acquisition,510A,Contribution To Reserves/Reserve Funds,Expenses,"826,870"
Fleet Services,FL-Fleet Management,Fleet Acquisition,700A,Inter-Divisional Charges,Expenses,"21,887"
Fleet Services,FL-Fleet Management,Fleet Disposal,100A,Salaries And Benefits,Expenses,"173,145"
Fleet Services,FL-Fleet Management,Fleet Maintenance,100A,Salaries And Benefits,Expenses,"15,467,045"
Fleet Services,FL-Fleet Management,Fleet Maintenance,200A,Materials & Supplies,Expenses,"9,673,680"
Fleet Services,FL-Fleet Management,Fleet Maintenance,300A,Equipment,Expenses,"57,692"
Fleet Services,FL-Fleet Management,Fleet Maintenance,400A,Service And Rent,Expenses,"6,054,399"
Fleet Services,FL-Fleet Management,Fleet Maintenance,510A,Contribution To Reserves/Reserve Funds,Expenses,"88,022"
Fleet Services,FL-Fleet Management,Fleet Maintenance,700A,Inter-Divisional Charges,Expenses,"365,934"
Fleet Services,FL-Fleet Management,Vehicle Safety,100A,Salaries And Benefits,Expenses,"1,157,831"
Fleet Services,FL-Fleet Management,Vehicle Safety,200A,Materials & Supplies,Expenses,"13,752"
Fleet Services,FL-Fleet Management,Vehicle Safety,300A,Equipment,Expenses,600
Fleet Services,FL-Fleet Management,Vehicle Safety,400A,Service And Rent,Expenses,"10,263"
Fleet Services,FL-Fleet Management,Vehicle Safety,700A,Inter-Divisional Charges,Expenses,"2,600"
Fleet Services,FL-Fuel Management,Fuel Acquisition,100A,Salaries And Benefits,Expenses,"13,651"
Fleet Services,FL-Fuel Management,Fuel Acquisition,200A,Materials & Supplies,Expenses,"13,587,624"
Fleet Services,FL-Fuel Management,Fuel Acquisition,400A,Service And Rent,Expenses,"106,899"
Fleet Services,FL-Fuel Management,Fuel Acquisition,510A,Contribution To Reserves/Reserve Funds,Expenses,"2,447"
Fleet Services,FL-Fuel Management,Fuel Acquisition,700A,Inter-Divisional Charges,Expenses,"68,781"
Fleet Services,FL-Fuel Management,Fuel Distribution,100A,Salaries And Benefits,Expenses,"409,445"
Fleet Services,FL-Fuel Management,Fuel Distribution,200A,Materials & Supplies,Expenses,"2,091"
Fleet Services,FL-Fuel Management,Fuel Distribution,300A,Equipment,Expenses,370
Fleet Services,FL-Fuel Management,Fuel Distribution,400A,Service And Rent,Expenses,"296,701"
Fleet Services,FL-Fuel Management,Fuel Distribution,510A,Contribution To Reserves/Reserve Funds,Expenses,"1,558,950"
Fleet Services,FL-Fuel Management,Fuel Distribution,700A,Inter-Divisional Charges,Expenses,"171,629"
Heritage Toronto,Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,100A,Salaries And Benefits,Expenses,"238,418"
Heritage Toronto,Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,200A,Materials & Supplies,Expenses,"24,900"
Heritage Toronto,Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,510A,Contribution To Reserves/Reserve Funds,Expenses,633
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,100A,Salaries And Benefits,Expenses,"302,508"
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,200A,Materials & Supplies,Expenses,"42,987"
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,400A,Service And Rent,Expenses,"158,300"
Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,510A,Contribution To Reserves/Reserve Funds,Expenses,633
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,100A,Salaries And Benefits,Expenses,"3,126,654"
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,200A,Materials & Supplies,Expenses,"5,668"
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,300A,Equipment,Expenses,(859)
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,400A,Service And Rent,Expenses,"45,568"
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,700A,Inter-Divisional Charges,Expenses,"47,907"
Information & Technology,IT-Business IT Solutions,IT Common Components,100A,Salaries And Benefits,Expenses,"3,215,181"
Information & Technology,IT-Business IT Solutions,IT Common Components,200A,Materials & Supplies,Expenses,"11,167"
Information & Technology,IT-Business IT Solutions,IT Common Components,300A,Equipment,Expenses,"3,847"
Information & Technology,IT-Business IT Solutions,IT Common Components,400A,Service And Rent,Expenses,"107,008"
Information & Technology,IT-Business IT Solutions,IT Common Components,700A,Inter-Divisional Charges,Expenses,"48,457"
Information & Technology,IT-Business IT Solutions,Solution Implementation,100A,Salaries And Benefits,Expenses,"34,596,079"
Information & Technology,IT-Business IT Solutions,Solution Implementation,200A,Materials & Supplies,Expenses,"13,064"
Information & Technology,IT-Business IT Solutions,Solution Implementation,300A,Equipment,Expenses,"13,093"
Information & Technology,IT-Business IT Solutions,Solution Implementation,400A,Service And Rent,Expenses,"26,990"
Information & Technology,IT-Business IT Solutions,Solution Implementation,650A,Other Expenditures,Expenses,119
Information & Technology,IT-Business IT Solutions,Solution Implementation,700A,Inter-Divisional Charges,Expenses,"47,907"
Information & Technology,IT-Business IT Solutions,Solution Sustainment,100A,Salaries And Benefits,Expenses,"8,592,270"
Information & Technology,IT-Business IT Solutions,Solution Sustainment,200A,Materials & Supplies,Expenses,"18,768"
Information & Technology,IT-Business IT Solutions,Solution Sustainment,300A,Equipment,Expenses,"83,390"
Information & Technology,IT-Business IT Solutions,Solution Sustainment,400A,Service And Rent,Expenses,"7,237,052"
Information & Technology,IT-Business IT Solutions,Solution Sustainment,650A,Other Expenditures,Expenses,198
Information & Technology,IT-Business IT Solutions,Solution Sustainment,700A,Inter-Divisional Charges,Expenses,"47,907"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,100A,Salaries And Benefits,Expenses,"17,730,248"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,200A,Materials & Supplies,Expenses,"10,951"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,300A,Equipment,Expenses,"358,291"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,400A,Service And Rent,Expenses,"11,299,314"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,510A,Contribution To Reserves/Reserve Funds,Expenses,"(1,556)"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,650A,Other Expenditures,Expenses,40
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,700A,Inter-Divisional Charges,Expenses,"55,906"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,100A,Salaries And Benefits,Expenses,"5,641,390"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,200A,Materials & Supplies,Expenses,"21,967"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,300A,Equipment,Expenses,"105,066"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,400A,Service And Rent,Expenses,"7,204,445"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,510A,Contribution To Reserves/Reserve Funds,Expenses,"11,040"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,650A,Other Expenditures,Expenses,40
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,700A,Inter-Divisional Charges,Expenses,"64,003"
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",100A,Salaries And Benefits,Expenses,"13,416,851"
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",200A,Materials & Supplies,Expenses,"17,761"
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",300A,Equipment,Expenses,"61,885"
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",400A,Service And Rent,Expenses,"179,902"
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",510A,Contribution To Reserves/Reserve Funds,Expenses,"47,345"
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",700A,Inter-Divisional Charges,Expenses,"64,964"
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,100A,Salaries And Benefits,Expenses,"7,023,213"
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,200A,Materials & Supplies,Expenses,"12,921"
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,300A,Equipment,Expenses,"277,275"
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,400A,Service And Rent,Expenses,"327,295"
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,510A,Contribution To Reserves/Reserve Funds,Expenses,"69,736"
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,700A,Inter-Divisional Charges,Expenses,"59,834"
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,100A,Salaries And Benefits,Expenses,"3,463,841"
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,200A,Materials & Supplies,Expenses,"2,816"
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,300A,Equipment,Expenses,"3,428"
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,400A,Service And Rent,Expenses,"11,667"
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,700A,Inter-Divisional Charges,Expenses,"47,907"
Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,100A,Salaries And Benefits,Expenses,"455,221"
Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,200A,Materials & Supplies,Expenses,"1,576"
Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,300A,Equipment,Expenses,53
Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,400A,Service And Rent,Expenses,"17,618"
Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,510A,Contribution To Reserves/Reserve Funds,Expenses,"4,365"
Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,700A,Inter-Divisional Charges,Expenses,400
Legal Services,Civil Litigation,Civil Litigation,100A,Salaries And Benefits,Expenses,"13,129,693"
Legal Services,Civil Litigation,Civil Litigation,200A,Materials & Supplies,Expenses,"91,827"
Legal Services,Civil Litigation,Civil Litigation,300A,Equipment,Expenses,"10,440"
Legal Services,Civil Litigation,Civil Litigation,400A,Service And Rent,Expenses,"630,423"
Legal Services,Civil Litigation,Civil Litigation,510A,Contribution To Reserves/Reserve Funds,Expenses,"22,936"
Legal Services,Prosecution,Prosecution,100A,Salaries And Benefits,Expenses,"9,042,165"
Legal Services,Prosecution,Prosecution,200A,Materials & Supplies,Expenses,"109,571"
Legal Services,Prosecution,Prosecution,300A,Equipment,Expenses,"14,356"
Legal Services,Prosecution,Prosecution,400A,Service And Rent,Expenses,"184,289"
Legal Services,Prosecution,Prosecution,510A,Contribution To Reserves/Reserve Funds,Expenses,"22,936"
Legal Services,Prosecution,Prosecution,700A,Inter-Divisional Charges,Expenses,"6,685,200"
Legal Services,Solicitor,Solicitor,100A,Salaries And Benefits,Expenses,"19,333,618"
Legal Services,Solicitor,Solicitor,200A,Materials & Supplies,Expenses,"240,612"
Legal Services,Solicitor,Solicitor,300A,Equipment,Expenses,"38,762"
Legal Services,Solicitor,Solicitor,400A,Service And Rent,Expenses,"595,891"
Legal Services,Solicitor,Solicitor,510A,Contribution To Reserves/Reserve Funds,Expenses,"23,631"
Legal Services,Solicitor,Solicitor,700A,Inter-Divisional Charges,Expenses,"53,000"
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,100A,Salaries And Benefits,Expenses,"1,202,902"
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,200A,Materials & Supplies,Expenses,"9,700"
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,400A,Service And Rent,Expenses,"236,665"
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,650A,Other Expenditures,Expenses,"138,600"
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,100A,Salaries And Benefits,Expenses,"1,309,815"
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,200A,Materials & Supplies,Expenses,"3,500"
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,400A,Service And Rent,Expenses,"4,147,285"
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,700A,Inter-Divisional Charges,Expenses,"11,000"
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,100A,Salaries And Benefits,Expenses,"1,375,482"
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,200A,Materials & Supplies,Expenses,"9,350"
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,300A,Equipment,Expenses,"21,700"
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,400A,Service And Rent,Expenses,"3,843,703"
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,650A,Other Expenditures,Expenses,"22,900"
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,700A,Inter-Divisional Charges,Expenses,"14,800"
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,100A,Salaries And Benefits,Expenses,"202,916,702"
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,200A,Materials & Supplies,Expenses,"19,797,200"
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,300A,Equipment,Expenses,"2,855,800"
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,400A,Service And Rent,Expenses,"12,384,854"
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,510A,Contribution To Reserves/Reserve Funds,Expenses,"1,901,532"
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,650A,Other Expenditures,Expenses,"(63,200)"
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,700A,Inter-Divisional Charges,Expenses,"599,430"
Mayor's Office,Mayor's Office,Mayor's Office,100A,Salaries And Benefits,Expenses,"2,200,854"
Mayor's Office,Mayor's Office,Mayor's Office,200A,Materials & Supplies,Expenses,"4,800"
Mayor's Office,Mayor's Office,Mayor's Office,400A,Service And Rent,Expenses,"84,409"
Mayor's Office,Mayor's Office,Mayor's Office,700A,Inter-Divisional Charges,Expenses,"7,047"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,100A,Salaries And Benefits,Expenses,"3,887,294"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,200A,Materials & Supplies,Expenses,"228,880"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,300A,Equipment,Expenses,"5,546"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,400A,Service And Rent,Expenses,"280,309"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,510A,Contribution To Reserves/Reserve Funds,Expenses,"26,844"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,650A,Other Expenditures,Expenses,"13,871"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,700A,Inter-Divisional Charges,Expenses,"290,397"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,100A,Salaries And Benefits,Expenses,"1,789,118"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,200A,Materials & Supplies,Expenses,"244,162"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,300A,Equipment,Expenses,"13,175"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,400A,Service And Rent,Expenses,"311,038"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,510A,Contribution To Reserves/Reserve Funds,Expenses,"21,402"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,650A,Other Expenditures,Expenses,"7,736"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,700A,Inter-Divisional Charges,Expenses,"143,063"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,100A,Salaries And Benefits,Expenses,"360,990"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,200A,Materials & Supplies,Expenses,"4,675"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,300A,Equipment,Expenses,598
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,400A,Service And Rent,Expenses,"36,480"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,510A,Contribution To Reserves/Reserve Funds,Expenses,"10,517"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,650A,Other Expenditures,Expenses,"24,510"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,700A,Inter-Divisional Charges,Expenses,"43,070"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,100A,Salaries And Benefits,Expenses,"1,648,022"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,200A,Materials & Supplies,Expenses,"273,463"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,300A,Equipment,Expenses,"22,481"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,400A,Service And Rent,Expenses,"285,483"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,510A,Contribution To Reserves/Reserve Funds,Expenses,"15,959"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,650A,Other Expenditures,Expenses,"3,883"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,700A,Inter-Divisional Charges,Expenses,"74,654"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,100A,Salaries And Benefits,Expenses,"1,895,212"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,200A,Materials & Supplies,Expenses,"23,408"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,300A,Equipment,Expenses,"3,568"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,400A,Service And Rent,Expenses,"45,870"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,510A,Contribution To Reserves/Reserve Funds,Expenses,"12,686"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,650A,Other Expenditures,Expenses,"108,540"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,700A,Inter-Divisional Charges,Expenses,"1,062,671"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,100A,Salaries And Benefits,Expenses,"424,234"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,200A,Materials & Supplies,Expenses,"3,935"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,300A,Equipment,Expenses,661
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,400A,Service And Rent,Expenses,"6,381"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,510A,Contribution To Reserves/Reserve Funds,Expenses,"12,686"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,650A,Other Expenditures,Expenses,"16,884"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,700A,Inter-Divisional Charges,Expenses,"221,081"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,100A,Salaries And Benefits,Expenses,"113,401"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,200A,Materials & Supplies,Expenses,"1,524"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,300A,Equipment,Expenses,230
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,400A,Service And Rent,Expenses,"1,254"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,650A,Other Expenditures,Expenses,"7,236"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,700A,Inter-Divisional Charges,Expenses,"59,431"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,100A,Salaries And Benefits,Expenses,"3,532,753"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,200A,Materials & Supplies,Expenses,"42,388"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,300A,Equipment,Expenses,"16,297"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,400A,Service And Rent,Expenses,"47,070"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,510A,Contribution To Reserves/Reserve Funds,Expenses,"25,372"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,650A,Other Expenditures,Expenses,"108,540"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,700A,Inter-Divisional Charges,Expenses,"1,421,512"
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,100A,Salaries And Benefits,Expenses,"1,223,354"
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,200A,Materials & Supplies,Expenses,"7,828"
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,300A,Equipment,Expenses,60
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,400A,Service And Rent,Expenses,"11,315"
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,510A,Contribution To Reserves/Reserve Funds,Expenses,"5,074"
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,700A,Inter-Divisional Charges,Expenses,"57,593"
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,100A,Salaries And Benefits,Expenses,"6,707,718"
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,200A,Materials & Supplies,Expenses,"30,780"
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,300A,Equipment,Expenses,"5,721"
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,400A,Service And Rent,Expenses,"120,068"
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,510A,Contribution To Reserves/Reserve Funds,Expenses,"63,431"
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,700A,Inter-Divisional Charges,Expenses,"184,097"
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,100A,Salaries And Benefits,Expenses,"1,763,087"
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,200A,Materials & Supplies,Expenses,"6,308"
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,300A,Equipment,Expenses,137
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,400A,Service And Rent,Expenses,"22,079"
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,510A,Contribution To Reserves/Reserve Funds,Expenses,"12,686"
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,700A,Inter-Divisional Charges,Expenses,"51,827"
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,100A,Salaries And Benefits,Expenses,"4,493,227"
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,200A,Materials & Supplies,Expenses,"147,377"
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,300A,Equipment,Expenses,"23,084"
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,400A,Service And Rent,Expenses,"196,353"
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,510A,Contribution To Reserves/Reserve Funds,Expenses,"25,372"
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,700A,Inter-Divisional Charges,Expenses,"608,203"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,100A,Salaries And Benefits,Expenses,"2,519,546"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,200A,Materials & Supplies,Expenses,"34,265"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,300A,Equipment,Expenses,"82,491"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,400A,Service And Rent,Expenses,"69,345"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,510A,Contribution To Reserves/Reserve Funds,Expenses,"7,612"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,700A,Inter-Divisional Charges,Expenses,"161,989"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,100A,Salaries And Benefits,Expenses,"4,185,904"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,200A,Materials & Supplies,Expenses,"52,723"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,300A,Equipment,Expenses,"124,170"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,400A,Service And Rent,Expenses,"115,837"
