_META_START_,,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,,
EXHIBPLACE,Exhibition Place,Exhibitions & Events,Exhibitions & Events,300A,Equipment,12000
EXHIBPLACE,Exhibition Place,Exhibitions & Events,Exhibitions & Events,200A,Materials & Supplies,887000
EXHIBPLACE,Exhibition Place,Exhibitions & Events,Exhibitions & Events,650A,Other Expenditures,-12473218
EXHIBPLACE,Exhibition Place,Exhibitions & Events,Exhibitions & Events,100A,Salaries And Benefits,21748763
EXHIBPLACE,Exhibition Place,Exhibitions & Events,Exhibitions & Events,400A,Service And Rent,4125492
FACILITIES,"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,CA-Environment & Energy,510A,Contribution To Reserves/Reserve Funds,579720.3
FACILITIES,"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,CA-Environment & Energy,300A,Equipment,46922.72
FACILITIES,"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,CA-Environment & Energy,700A,Inter-Divisional Charges,106474.76
FACILITIES,"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,CA-Environment & Energy,200A,Materials & Supplies,28232417.02
FACILITIES,"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,CA-Environment & Energy,650A,Other Expenditures,4649944
FACILITIES,"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,CA-Environment & Energy,100A,Salaries And Benefits,7346609.82
FACILITIES,"Facilities, Real Estate, Environment & Energy",CA-Environment & Energy,CA-Environment & Energy,400A,Service And Rent,2984728.05
FACILITIES,"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,CA-Facilities Management,510A,Contribution To Reserves/Reserve Funds,280944
FACILITIES,"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,CA-Facilities Management,300A,Equipment,550700.71
FACILITIES,"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,CA-Facilities Management,700A,Inter-Divisional Charges,1383045.79
FACILITIES,"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,CA-Facilities Management,200A,Materials & Supplies,3825886.59
FACILITIES,"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,CA-Facilities Management,100A,Salaries And Benefits,78641346.29
FACILITIES,"Facilities, Real Estate, Environment & Energy",CA-Facilities Management,CA-Facilities Management,400A,Service And Rent,36795691.97
FACILITIES,"Facilities, Real Estate, Environment & Energy",CA-Real Estate,CA-Real Estate,510A,Contribution To Reserves/Reserve Funds,1523866.14
FACILITIES,"Facilities, Real Estate, Environment & Energy",CA-Real Estate,CA-Real Estate,300A,Equipment,44839.23
FACILITIES,"Facilities, Real Estate, Environment & Energy",CA-Real Estate,CA-Real Estate,700A,Inter-Divisional Charges,138710.85
FACILITIES,"Facilities, Real Estate, Environment & Energy",CA-Real Estate,CA-Real Estate,200A,Materials & Supplies,212195.45
FACILITIES,"Facilities, Real Estate, Environment & Energy",CA-Real Estate,CA-Real Estate,650A,Other Expenditures,1432233
FACILITIES,"Facilities, Real Estate, Environment & Energy",CA-Real Estate,CA-Real Estate,100A,Salaries And Benefits,9529422.77
FACILITIES,"Facilities, Real Estate, Environment & Energy",CA-Real Estate,CA-Real Estate,400A,Service And Rent,14814758.38
FIRE,Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,510A,Contribution To Reserves/Reserve Funds,8643674.96
FIRE,Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,300A,Equipment,540676.66
FIRE,Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,700A,Inter-Divisional Charges,7558621.69
FIRE,Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,200A,Materials & Supplies,8374641.69
FIRE,Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,100A,Salaries And Benefits,373998416.49
FIRE,Fire Services,Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,400A,Service And Rent,5955177.95
FIRE,Fire Services,FR-Disaster Response & Event Support,FR-Disaster Response & Event Support,300A,Equipment,252022.99
FIRE,Fire Services,FR-Disaster Response & Event Support,FR-Disaster Response & Event Support,700A,Inter-Divisional Charges,69000
FIRE,Fire Services,FR-Disaster Response & Event Support,FR-Disaster Response & Event Support,200A,Materials & Supplies,128463.73
FIRE,Fire Services,FR-Disaster Response & Event Support,FR-Disaster Response & Event Support,100A,Salaries And Benefits,737439.58
FIRE,Fire Services,FR-Disaster Response & Event Support,FR-Disaster Response & Event Support,400A,Service And Rent,259006.5
FIRE,Fire Services,"FR-Fire Prevention, Inspection, & Enforcement","FR-Fire Prevention, Inspection, & Enforcement",510A,Contribution To Reserves/Reserve Funds,205233.22
FIRE,Fire Services,"FR-Fire Prevention, Inspection, & Enforcement","FR-Fire Prevention, Inspection, & Enforcement",300A,Equipment,112186.68
FIRE,Fire Services,"FR-Fire Prevention, Inspection, & Enforcement","FR-Fire Prevention, Inspection, & Enforcement",700A,Inter-Divisional Charges,266604.2
FIRE,Fire Services,"FR-Fire Prevention, Inspection, & Enforcement","FR-Fire Prevention, Inspection, & Enforcement",200A,Materials & Supplies,422068.21
FIRE,Fire Services,"FR-Fire Prevention, Inspection, & Enforcement","FR-Fire Prevention, Inspection, & Enforcement",100A,Salaries And Benefits,21346606.05
FIRE,Fire Services,"FR-Fire Prevention, Inspection, & Enforcement","FR-Fire Prevention, Inspection, & Enforcement",400A,Service And Rent,121824.29
FIRE,Fire Services,FR-Fire Safety Education,FR-Fire Safety Education,510A,Contribution To Reserves/Reserve Funds,7800
FIRE,Fire Services,FR-Fire Safety Education,FR-Fire Safety Education,300A,Equipment,10571.07
FIRE,Fire Services,FR-Fire Safety Education,FR-Fire Safety Education,700A,Inter-Divisional Charges,129696
FIRE,Fire Services,FR-Fire Safety Education,FR-Fire Safety Education,200A,Materials & Supplies,116478.25
FIRE,Fire Services,FR-Fire Safety Education,FR-Fire Safety Education,100A,Salaries And Benefits,4568653.39
FIRE,Fire Services,FR-Fire Safety Education,FR-Fire Safety Education,400A,Service And Rent,101408.87
FLEET,Fleet Services,FL-Fleet Management,FL-Fleet Management,510A,Contribution To Reserves/Reserve Funds,914892.62
FLEET,Fleet Services,FL-Fleet Management,FL-Fleet Management,300A,Equipment,58373.55
FLEET,Fleet Services,FL-Fleet Management,FL-Fleet Management,700A,Inter-Divisional Charges,390421.02
FLEET,Fleet Services,FL-Fleet Management,FL-Fleet Management,200A,Materials & Supplies,9696595.95
FLEET,Fleet Services,FL-Fleet Management,FL-Fleet Management,100A,Salaries And Benefits,17801542.39
FLEET,Fleet Services,FL-Fleet Management,FL-Fleet Management,400A,Service And Rent,6497627.91
FLEET,Fleet Services,FL-Fuel Management,FL-Fuel Management,510A,Contribution To Reserves/Reserve Funds,1561396.77
FLEET,Fleet Services,FL-Fuel Management,FL-Fuel Management,300A,Equipment,370
FLEET,Fleet Services,FL-Fuel Management,FL-Fuel Management,700A,Inter-Divisional Charges,240410.33
FLEET,Fleet Services,FL-Fuel Management,FL-Fuel Management,200A,Materials & Supplies,13624088.45
FLEET,Fleet Services,FL-Fuel Management,FL-Fuel Management,100A,Salaries And Benefits,423096.24
FLEET,Fleet Services,FL-Fuel Management,FL-Fuel Management,400A,Service And Rent,403538.32
HERITAGE,Heritage Toronto,Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,510A,Contribution To Reserves/Reserve Funds,632.89
HERITAGE,Heritage Toronto,Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,200A,Materials & Supplies,24900
HERITAGE,Heritage Toronto,Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,100A,Salaries And Benefits,238418.01
HERITAGE,Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,510A,Contribution To Reserves/Reserve Funds,632.9
HERITAGE,Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,200A,Materials & Supplies,42987.05
HERITAGE,Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,100A,Salaries And Benefits,302508.37
HERITAGE,Heritage Toronto,Heritage Promotion & Education,Heritage Promotion & Education,400A,Service And Rent,158300
IT,Information & Technology,IT-Business IT Solutions,IT-Business IT Solutions,300A,Equipment,99471.45
IT,Information & Technology,IT-Business IT Solutions,IT-Business IT Solutions,700A,Inter-Divisional Charges,192179.68
IT,Information & Technology,IT-Business IT Solutions,IT-Business IT Solutions,200A,Materials & Supplies,48667.52
IT,Information & Technology,IT-Business IT Solutions,IT-Business IT Solutions,650A,Other Expenditures,316.56
IT,Information & Technology,IT-Business IT Solutions,IT-Business IT Solutions,100A,Salaries And Benefits,49530183.45
IT,Information & Technology,IT-Business IT Solutions,IT-Business IT Solutions,400A,Service And Rent,7416619.31
IT,Information & Technology,IT-Computer & Communications Technology Infrastructure,IT-Computer & Communications Technology Infrastructure,510A,Contribution To Reserves/Reserve Funds,9483.6
IT,Information & Technology,IT-Computer & Communications Technology Infrastructure,IT-Computer & Communications Technology Infrastructure,300A,Equipment,463357.6
IT,Information & Technology,IT-Computer & Communications Technology Infrastructure,IT-Computer & Communications Technology Infrastructure,700A,Inter-Divisional Charges,119908.9
IT,Information & Technology,IT-Computer & Communications Technology Infrastructure,IT-Computer & Communications Technology Infrastructure,200A,Materials & Supplies,32917.49
IT,Information & Technology,IT-Computer & Communications Technology Infrastructure,IT-Computer & Communications Technology Infrastructure,650A,Other Expenditures,79.14
IT,Information & Technology,IT-Computer & Communications Technology Infrastructure,IT-Computer & Communications Technology Infrastructure,100A,Salaries And Benefits,23371637.61
IT,Information & Technology,IT-Computer & Communications Technology Infrastructure,IT-Computer & Communications Technology Infrastructure,400A,Service And Rent,18503769.38
IT,Information & Technology,IT-Enterprise IT Planning & Client Services,IT-Enterprise IT Planning & Client Services,510A,Contribution To Reserves/Reserve Funds,117081.65
IT,Information & Technology,IT-Enterprise IT Planning & Client Services,IT-Enterprise IT Planning & Client Services,300A,Equipment,342785.37
IT,Information & Technology,IT-Enterprise IT Planning & Client Services,IT-Enterprise IT Planning & Client Services,700A,Inter-Divisional Charges,172705.55
IT,Information & Technology,IT-Enterprise IT Planning & Client Services,IT-Enterprise IT Planning & Client Services,200A,Materials & Supplies,33498.22
IT,Information & Technology,IT-Enterprise IT Planning & Client Services,IT-Enterprise IT Planning & Client Services,100A,Salaries And Benefits,23903905.4
IT,Information & Technology,IT-Enterprise IT Planning & Client Services,IT-Enterprise IT Planning & Client Services,400A,Service And Rent,518664.95
INTEGRITYCOMM,Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,510A,Contribution To Reserves/Reserve Funds,4365.48
INTEGRITYCOMM,Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,300A,Equipment,53.16
INTEGRITYCOMM,Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,700A,Inter-Divisional Charges,400
INTEGRITYCOMM,Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,200A,Materials & Supplies,1575.85
INTEGRITYCOMM,Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,100A,Salaries And Benefits,455221.18
INTEGRITYCOMM,Integrity Commissioner's Office,Integrity Commissioner's Office,Integrity Commissioner's Office,400A,Service And Rent,17618.37
LEGAL,Legal Services,Civil Litigation,Civil Litigation,510A,Contribution To Reserves/Reserve Funds,22935.64
LEGAL,Legal Services,Civil Litigation,Civil Litigation,300A,Equipment,10439.81
LEGAL,Legal Services,Civil Litigation,Civil Litigation,200A,Materials & Supplies,91827.3
LEGAL,Legal Services,Civil Litigation,Civil Litigation,100A,Salaries And Benefits,13194203.49
LEGAL,Legal Services,Civil Litigation,Civil Litigation,400A,Service And Rent,630423.42
LEGAL,Legal Services,Prosecution,Prosecution,510A,Contribution To Reserves/Reserve Funds,22935.64
LEGAL,Legal Services,Prosecution,Prosecution,300A,Equipment,14356.32
LEGAL,Legal Services,Prosecution,Prosecution,700A,Inter-Divisional Charges,6685200
LEGAL,Legal Services,Prosecution,Prosecution,200A,Materials & Supplies,109571.21
LEGAL,Legal Services,Prosecution,Prosecution,100A,Salaries And Benefits,9042164.56
LEGAL,Legal Services,Prosecution,Prosecution,400A,Service And Rent,184288.76
LEGAL,Legal Services,Solicitor,Solicitor,510A,Contribution To Reserves/Reserve Funds,23630.59
LEGAL,Legal Services,Solicitor,Solicitor,300A,Equipment,38762.2
LEGAL,Legal Services,Solicitor,Solicitor,700A,Inter-Divisional Charges,53000
LEGAL,Legal Services,Solicitor,Solicitor,200A,Materials & Supplies,240612.25
LEGAL,Legal Services,Solicitor,Solicitor,100A,Salaries And Benefits,19398129.08
LEGAL,Legal Services,Solicitor,Solicitor,400A,Service And Rent,595890.99
LONGTERMHOME,Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,HA-Communtiy Based Long-Term Care,300A,Equipment,21700
LONGTERMHOME,Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,HA-Communtiy Based Long-Term Care,700A,Inter-Divisional Charges,25800
LONGTERMHOME,Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,HA-Communtiy Based Long-Term Care,200A,Materials & Supplies,22550
LONGTERMHOME,Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,HA-Communtiy Based Long-Term Care,650A,Other Expenditures,161500
LONGTERMHOME,Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,HA-Communtiy Based Long-Term Care,100A,Salaries And Benefits,3888198.94
LONGTERMHOME,Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,HA-Communtiy Based Long-Term Care,400A,Service And Rent,8977652.92
LONGTERMHOME,Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,510A,Contribution To Reserves/Reserve Funds,1901531.92
LONGTERMHOME,Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,300A,Equipment,2855800
LONGTERMHOME,Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,700A,Inter-Divisional Charges,599429.91
LONGTERMHOME,Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,200A,Materials & Supplies,19797200
LONGTERMHOME,Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,650A,Other Expenditures,-63200
LONGTERMHOME,Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,100A,Salaries And Benefits,202916701.78
LONGTERMHOME,Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,400A,Service And Rent,12384854.38
MAYOR,Mayor's Office,Mayor's Office,Mayor's Office,700A,Inter-Divisional Charges,7047
MAYOR,Mayor's Office,Mayor's Office,Mayor's Office,200A,Materials & Supplies,4800
MAYOR,Mayor's Office,Mayor's Office,Mayor's Office,100A,Salaries And Benefits,2200853.44
MAYOR,Mayor's Office,Mayor's Office,Mayor's Office,400A,Service And Rent,84409.4
LICENCING,Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering","MS-Animal Care, Control & Sheltering",510A,Contribution To Reserves/Reserve Funds,74722.01
LICENCING,Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering","MS-Animal Care, Control & Sheltering",300A,Equipment,41800.06
LICENCING,Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering","MS-Animal Care, Control & Sheltering",700A,Inter-Divisional Charges,551184.53
LICENCING,Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering","MS-Animal Care, Control & Sheltering",200A,Materials & Supplies,751180.39
LICENCING,Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering","MS-Animal Care, Control & Sheltering",650A,Other Expenditures,49999.99
LICENCING,Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering","MS-Animal Care, Control & Sheltering",100A,Salaries And Benefits,7685423.5
LICENCING,Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering","MS-Animal Care, Control & Sheltering",400A,Service And Rent,913310.33
LICENCING,Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting","MS-Business Licensing, Enforcement, & Permitting",510A,Contribution To Reserves/Reserve Funds,50744.72
LICENCING,Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting","MS-Business Licensing, Enforcement, & Permitting",300A,Equipment,20754.02
LICENCING,Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting","MS-Business Licensing, Enforcement, & Permitting",700A,Inter-Divisional Charges,2764694.56
LICENCING,Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting","MS-Business Licensing, Enforcement, & Permitting",200A,Materials & Supplies,71255.3
LICENCING,Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting","MS-Business Licensing, Enforcement, & Permitting",650A,Other Expenditures,19200
LICENCING,Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting","MS-Business Licensing, Enforcement, & Permitting",100A,Salaries And Benefits,5965599.15
LICENCING,Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting","MS-Business Licensing, Enforcement, & Permitting",400A,Service And Rent,100574.95
LICENCING,Municipal Licensing & Standards,MS-By-Law Enforcement,MS-By-Law Enforcement,510A,Contribution To Reserves/Reserve Funds,106563.93
LICENCING,Municipal Licensing & Standards,MS-By-Law Enforcement,MS-By-Law Enforcement,300A,Equipment,29001.98
LICENCING,Municipal Licensing & Standards,MS-By-Law Enforcement,MS-By-Law Enforcement,700A,Inter-Divisional Charges,901719.98
LICENCING,Municipal Licensing & Standards,MS-By-Law Enforcement,MS-By-Law Enforcement,200A,Materials & Supplies,192292.73
LICENCING,Municipal Licensing & Standards,MS-By-Law Enforcement,MS-By-Law Enforcement,100A,Salaries And Benefits,14187385.5
LICENCING,Municipal Licensing & Standards,MS-By-Law Enforcement,MS-By-Law Enforcement,400A,Service And Rent,349813.97
LICENCING,Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","MS-Property Standards, Inspection & Compliance",510A,Contribution To Reserves/Reserve Funds,76117.09
LICENCING,Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","MS-Property Standards, Inspection & Compliance",300A,Equipment,415225.42
LICENCING,Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","MS-Property Standards, Inspection & Compliance",700A,Inter-Divisional Charges,906414.15
LICENCING,Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","MS-Property Standards, Inspection & Compliance",200A,Materials & Supplies,182032.57
LICENCING,Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","MS-Property Standards, Inspection & Compliance",100A,Salaries And Benefits,14526535.28
LICENCING,Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","MS-Property Standards, Inspection & Compliance",400A,Service And Rent,417619.51
CORPEXPENDITURES,Non-Program Expenditures,Corporate Accounts,Corporate Accounts,505A,Contribution To Capital,391483.04
CORPEXPENDITURES,Non-Program Expenditures,Corporate Accounts,Corporate Accounts,510A,Contribution To Reserves/Reserve Funds,77132600
CORPEXPENDITURES,Non-Program Expenditures,Corporate Accounts,Corporate Accounts,700A,Inter-Divisional Charges,19728671.83
CORPEXPENDITURES,Non-Program Expenditures,Corporate Accounts,Corporate Accounts,200A,Materials & Supplies,180000
CORPEXPENDITURES,Non-Program Expenditures,Corporate Accounts,Corporate Accounts,650A,Other Expenditures,133226169.12
CORPEXPENDITURES,Non-Program Expenditures,Corporate Accounts,Corporate Accounts,100A,Salaries And Benefits,110905063.47
CORPEXPENDITURES,Non-Program Expenditures,Corporate Accounts,Corporate Accounts,400A,Service And Rent,274642243.63
CORPREVENUES,Non-Program Revenues,Corporate Accounts,Corporate Accounts,510A,Contribution To Reserves/Reserve Funds,49380000.04
CORPREVENUES,Non-Program Revenues,Corporate Accounts,Corporate Accounts,700A,Inter-Divisional Charges,5519734.24
CORPREVENUES,Non-Program Revenues,Corporate Accounts,Corporate Accounts,650A,Other Expenditures,310590
CORPREVENUES,Non-Program Revenues,Corporate Accounts,Corporate Accounts,400A,Service And Rent,5747144.99
CORPEXPENDITURES,Non-Program Expenditures,Corporate Accounts,Corporate Accounts,510AS,Special Levy for Scarborough Subway,40698854
CFO,Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development","CPF-Financial Strategies, Analysis & Policy Development",300A,Equipment,1632.28
CFO,Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development","CPF-Financial Strategies, Analysis & Policy Development",700A,Inter-Divisional Charges,5711.37
CFO,Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development","CPF-Financial Strategies, Analysis & Policy Development",200A,Materials & Supplies,9161.33
CFO,Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development","CPF-Financial Strategies, Analysis & Policy Development",100A,Salaries And Benefits,2236304.8
CFO,Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development","CPF-Financial Strategies, Analysis & Policy Development",400A,Service And Rent,46241.55
CFO,Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment & Debt Management,300A,Equipment,2073.31
CFO,Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment & Debt Management,700A,Inter-Divisional Charges,1284.57
CFO,Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment & Debt Management,200A,Materials & Supplies,6438.66
CFO,Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment & Debt Management,650A,Other Expenditures,497.48
CFO,Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment & Debt Management,100A,Salaries And Benefits,884862.58
CFO,Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment & Debt Management,400A,Service And Rent,472093.18
CFO,Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Risk Management & Insurance,510A,Contribution To Reserves/Reserve Funds,77406
CFO,Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Risk Management & Insurance,300A,Equipment,3040.41
CFO,Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Risk Management & Insurance,700A,Inter-Divisional Charges,2140
CFO,Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Risk Management & Insurance,200A,Materials & Supplies,7105.01
CFO,Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Risk Management & Insurance,650A,Other Expenditures,2.52
CFO,Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Risk Management & Insurance,100A,Salaries And Benefits,1738326.07
CFO,Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Risk Management & Insurance,400A,Service And Rent,35058.62
CFO,Office of the Chief Financial Officer,F&A-Executive Leadership,F&A-Executive Leadership,700A,Inter-Divisional Charges,135350
CFO,Office of the Chief Financial Officer,F&A-Executive Leadership,F&A-Executive Leadership,200A,Materials & Supplies,2391
CFO,Office of the Chief Financial Officer,F&A-Executive Leadership,F&A-Executive Leadership,100A,Salaries And Benefits,926802.8
CFO,Office of the Chief Financial Officer,F&A-Executive Leadership,F&A-Executive Leadership,400A,Service And Rent,13111
CFO,Office of the Chief Financial Officer,F&A-Financial Management & Program Support,F&A-Financial Management & Program Support,700A,Inter-Divisional Charges,52733
CFO,Office of the Chief Financial Officer,F&A-Financial Management & Program Support,F&A-Financial Management & Program Support,200A,Materials & Supplies,5139
CFO,Office of the Chief Financial Officer,F&A-Financial Management & Program Support,F&A-Financial Management & Program Support,100A,Salaries And Benefits,1455756.56
CFO,Office of the Chief Financial Officer,F&A-Financial Management & Program Support,F&A-Financial Management & Program Support,400A,Service And Rent,12586.82
CFO,Office of the Chief Financial Officer,F&A-Organizational Management Consulting,F&A-Organizational Management Consulting,200A,Materials & Supplies,340
CFO,Office of the Chief Financial Officer,F&A-Organizational Management Consulting,F&A-Organizational Management Consulting,100A,Salaries And Benefits,290208.6
CFO,Office of the Chief Financial Officer,F&A-Organizational Management Consulting,F&A-Organizational Management Consulting,400A,Service And Rent,1461.95
CFO,Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Management,700A,Inter-Divisional Charges,26688
CFO,Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Management,200A,Materials & Supplies,15735.44
CFO,Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Management,100A,Salaries And Benefits,5815284.23
CFO,Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Management,400A,Service And Rent,76377.85
CFO,Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,700A,Inter-Divisional Charges,7972
CFO,Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,200A,Materials & Supplies,4730.56
CFO,Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,100A,Salaries And Benefits,2181372.11
CFO,Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,400A,Service And Rent,23572.39
LOBBYREG,Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,510A,Contribution To Reserves/Reserve Funds,1578.14
LOBBYREG,Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,300A,Equipment,286.08
LOBBYREG,Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,700A,Inter-Divisional Charges,600
LOBBYREG,Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,200A,Materials & Supplies,7610.52
LOBBYREG,Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,100A,Salaries And Benefits,1053367.17
LOBBYREG,Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,400A,Service And Rent,79647.25
OMBUDSMAN,Office of the Ombudsman,Office of the Ombudsman,Office of the Ombudsman,510A,Contribution To Reserves/Reserve Funds,2082.09
OMBUDSMAN,Office of the Ombudsman,Office of the Ombudsman,Office of the Ombudsman,300A,Equipment,7222.32
OMBUDSMAN,Office of the Ombudsman,Office of the Ombudsman,Office of the Ombudsman,700A,Inter-Divisional Charges,12405.44
OMBUDSMAN,Office of the Ombudsman,Office of the Ombudsman,Office of the Ombudsman,200A,Materials & Supplies,12717.88
OMBUDSMAN,Office of the Ombudsman,Office of the Ombudsman,Office of the Ombudsman,100A,Salaries And Benefits,1553734.77
OMBUDSMAN,Office of the Ombudsman,Office of the Ombudsman,Office of the Ombudsman,400A,Service And Rent,226396.04
TREASURER,Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial Reporting & Control,510A,Contribution To Reserves/Reserve Funds,29688.04
TREASURER,Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial Reporting & Control,300A,Equipment,2182.86
TREASURER,Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial Reporting & Control,700A,Inter-Divisional Charges,33481.3
TREASURER,Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial Reporting & Control,200A,Materials & Supplies,21333.85
TREASURER,Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial Reporting & Control,100A,Salaries And Benefits,4853922.73
TREASURER,Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial Reporting & Control,400A,Service And Rent,187951.94
TREASURER,Office of the Treasurer,ASD-Payment Processing,ASD-Payment Processing,300A,Equipment,292.94
TREASURER,Office of the Treasurer,ASD-Payment Processing,ASD-Payment Processing,700A,Inter-Divisional Charges,125500
TREASURER,Office of the Treasurer,ASD-Payment Processing,ASD-Payment Processing,200A,Materials & Supplies,2285.22
