_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,
POLICE,Toronto Police Service,300A,Equipment,1430.5,
POLICE,Toronto Police Service,400A,Services & Rents,35573.8,
POLICE,Toronto Police Service,505A,Contributions to Capital,,
POLICE,Toronto Police Service,510A,Contributions to Reserve/Res Funds,32644,
POLICE,Toronto Police Service,650A,Other Expenditures,,
POLICE,Toronto Police Service,700A,Interdivisional Charges,21131.8,
PUBLICHEALTH,Toronto Public Health,100A,Salaries and Benefits,170352,
PUBLICHEALTH,Toronto Public Health,200A,Materials and Supplies,5962.3,
PUBLICHEALTH,Toronto Public Health,300A,Equipment,899.9,
PUBLICHEALTH,Toronto Public Health,400A,Services & Rents,37844.9,
PUBLICHEALTH,Toronto Public Health,505A,Contributions to Capital,1446.5,
PUBLICHEALTH,Toronto Public Health,510A,Contributions to Reserve/Res Funds,,
PUBLICHEALTH,Toronto Public Health,650A,Other Expenditures,6348.9,
PUBLICHEALTH,Toronto Public Health,700A,Interdivisional Charges,15933.2,
LIBRARY,Toronto Library Board,100A,Salaries and Benefits,134191.9,
LIBRARY,Toronto Library Board,200A,Materials and Supplies,20035,
LIBRARY,Toronto Library Board,300A,Equipment,454.3,
LIBRARY,Toronto Library Board,400A,Services & Rents,22119.6,
LIBRARY,Toronto Library Board,505A,Contributions to Capital,1828,
LIBRARY,Toronto Library Board,510A,Contributions to Reserve/Res Funds,775.8,
LIBRARY,Toronto Library Board,650A,Other Expenditures,4,
LIBRARY,Toronto Library Board,700A,Interdivisional Charges,,
REGIONCONSERV,Toronto & Region Conservation Authority (TRCA),100A,Salaries and Benefits,29102.1,
REGIONCONSERV,Toronto & Region Conservation Authority (TRCA),200A,Materials and Supplies,4283.9,
REGIONCONSERV,Toronto & Region Conservation Authority (TRCA),300A,Equipment,732.8,
REGIONCONSERV,Toronto & Region Conservation Authority (TRCA),400A,Services & Rents,3445.3,
REGIONCONSERV,Toronto & Region Conservation Authority (TRCA),505A,Contributions to Capital,,
REGIONCONSERV,Toronto & Region Conservation Authority (TRCA),510A,Contributions to Reserve/Res Funds,,
REGIONCONSERV,Toronto & Region Conservation Authority (TRCA),650A,Other Expenditures,,
REGIONCONSERV,Toronto & Region Conservation Authority (TRCA),700A,Interdivisional Charges,,
WATER,Toronto Water,100A,Salaries and Benefits,156842.7,
WATER,Toronto Water,200A,Materials and Supplies,91588.7,
WATER,Toronto Water,300A,Equipment,2330.7,
WATER,Toronto Water,400A,Services & Rents,38842.8,
WATER,Toronto Water,505A,Contributions to Capital,511779.7,
WATER,Toronto Water,510A,Contributions to Reserve/Res Funds,6965.5,
WATER,Toronto Water,650A,Other Expenditures,18805.2,
WATER,Toronto Water,700A,Interdivisional Charges,66177.6,
ZOO,Toronto Zoo,100A,Salaries and Benefits,26673.1,
ZOO,Toronto Zoo,200A,Materials and Supplies,6180.1,
ZOO,Toronto Zoo,300A,Equipment,640,
ZOO,Toronto Zoo,400A,Services & Rents,10599.9,
ZOO,Toronto Zoo,650A,Cost of Sales,1431.8,
ZOO,Toronto Zoo,505A,Contributions to Capital,,
ZOO,Toronto Zoo,510A,Contributions to Reserve/Res Funds,136,
ZOO,Toronto Zoo,650A,Other Expenditures,,
ZOO,Toronto Zoo,700A,Interdivisional Charges,,
TRANSPORTATION,Transportation Services,100A,Salaries and Benefits,90390.6,
TRANSPORTATION,Transportation Services,200A,Materials and Supplies,43517.325,
TRANSPORTATION,Transportation Services,300A,Equipment,759.971,
TRANSPORTATION,Transportation Services,400A,Services & Rents,160267.1,
TRANSPORTATION,Transportation Services,505A,Contributions to Capital,160.7,
TRANSPORTATION,Transportation Services,510A,Contributions to Reserve/Res Funds,18848.57,
TRANSPORTATION,Transportation Services,650A,Other Expenditures,147.098,
TRANSPORTATION,Transportation Services,700A,Interdivisional Charges,13063.7,
TTCCONV,Toronto Transit Commission - Conventional,100A,Salaries and Benefits,1042671.9,
TTCCONV,Toronto Transit Commission - Conventional,200A,Materials and Supplies,280860.7,
TTCCONV,Toronto Transit Commission - Conventional,300A,Equipment,27137.1,
TTCCONV,Toronto Transit Commission - Conventional,400A,Services & Rents,51656.2,
TTCCONV,Toronto Transit Commission - Conventional,505A,Contributions to Capital,,
TTCCONV,Toronto Transit Commission - Conventional,510A,Contributions to Reserve/Res Funds,,
TTCCONV,Toronto Transit Commission - Conventional,650A,Other Expenditures,36142.6,
TTCCONV,Toronto Transit Commission - Conventional,700A,Interdivisional Charges,3479,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,100A,Salaries and Benefits,50472.3,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,200A,Materials and Supplies,10751,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,300A,Equipment,,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,400A,Services & Rents,38401.4,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,505A,Contributions to Capital,,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,510A,Contributions to Reserve/Res Funds,,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,650A,Other Expenditures,582,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,700A,Interdivisional Charges,,
YONGEDUNDAS,Yonge Dundas Square,100A,Salaries and Benefits,428.337,
YONGEDUNDAS,Yonge Dundas Square,200A,Materials and Supplies,184.123,
YONGEDUNDAS,Yonge Dundas Square,300A,Equipment,40,
YONGEDUNDAS,Yonge Dundas Square,400A,Services & Rents,1310.495,
YONGEDUNDAS,Yonge Dundas Square,505A,Contributions to Capital,,
YONGEDUNDAS,Yonge Dundas Square,510A,Contributions to Reserve/Res Funds,2.356,
YONGEDUNDAS,Yonge Dundas Square,650A,Other Expenditures,,
YONGEDUNDAS,Yonge Dundas Square,700A,Interdivisional Charges,,
