_META_START_,,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,,
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Development Review,200A,Materials & Supplies,4438,
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Development Review,100A,Salaries And Benefits,789281,
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Development Review,400A,Service And Rent,1467,
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,510A,Contribution To Reserves/Reserve Funds,234324,
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,300A,Equipment,60573,
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,700A,Inter-Divisional Charges,257162,
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,200A,Materials & Supplies,360148,
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,100A,Salaries And Benefits,17380628,
Fire Services,"FR-Fire Prevention, Inspection, & Enforcement",Fire Code Enforcement,400A,Service And Rent,146218,
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,510A,Contribution To Reserves/Reserve Funds,15073,
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,300A,Equipment,9471,
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,700A,Inter-Divisional Charges,122453,
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,200A,Materials & Supplies,96603,
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,100A,Salaries And Benefits,3608511,
Fire Services,FR-Fire Safety Education,Campaign Based Fire Education,400A,Service And Rent,90963,
Fire Services,FR-Fire Safety Education,School Based Fire Education,300A,Equipment,874,
Fire Services,FR-Fire Safety Education,School Based Fire Education,700A,Inter-Divisional Charges,7080,
Fire Services,FR-Fire Safety Education,School Based Fire Education,200A,Materials & Supplies,14319,
Fire Services,FR-Fire Safety Education,School Based Fire Education,100A,Salaries And Benefits,502963,
Fire Services,FR-Fire Safety Education,School Based Fire Education,400A,Service And Rent,8082,
Fleet Services,FL-Fleet Management,Fleet Acquisition,510A,Contribution To Reserves/Reserve Funds,561003,
Fleet Services,FL-Fleet Management,Fleet Acquisition,300A,Equipment,476,
Fleet Services,FL-Fleet Management,Fleet Acquisition,700A,Inter-Divisional Charges,21290,
Fleet Services,FL-Fleet Management,Fleet Acquisition,200A,Materials & Supplies,3547,
Fleet Services,FL-Fleet Management,Fleet Acquisition,100A,Salaries And Benefits,1101767,
Fleet Services,FL-Fleet Management,Fleet Acquisition,400A,Service And Rent,309423,
Fleet Services,FL-Fleet Management,Fleet Disposal,100A,Salaries And Benefits,237209,
Fleet Services,FL-Fleet Management,Fleet Maintenance,510A,Contribution To Reserves/Reserve Funds,88022,
Fleet Services,FL-Fleet Management,Fleet Maintenance,300A,Equipment,115160,
Fleet Services,FL-Fleet Management,Fleet Maintenance,700A,Inter-Divisional Charges,314171,
Fleet Services,FL-Fleet Management,Fleet Maintenance,200A,Materials & Supplies,8463570,
Fleet Services,FL-Fleet Management,Fleet Maintenance,100A,Salaries And Benefits,14678543,
Fleet Services,FL-Fleet Management,Fleet Maintenance,400A,Service And Rent,6928291,
Fleet Services,FL-Fleet Management,Vehicle Safety,300A,Equipment,592,
Fleet Services,FL-Fleet Management,Vehicle Safety,700A,Inter-Divisional Charges,2600,
Fleet Services,FL-Fleet Management,Vehicle Safety,200A,Materials & Supplies,14915,
Fleet Services,FL-Fleet Management,Vehicle Safety,100A,Salaries And Benefits,1010396,
Fleet Services,FL-Fleet Management,Vehicle Safety,400A,Service And Rent,10500,
Fleet Services,FL-Fuel Management,Fuel Acquisition,510A,Contribution To Reserves/Reserve Funds,2447,
Fleet Services,FL-Fuel Management,Fuel Acquisition,700A,Inter-Divisional Charges,125285,
Fleet Services,FL-Fuel Management,Fuel Acquisition,200A,Materials & Supplies,15750435,
Fleet Services,FL-Fuel Management,Fuel Acquisition,400A,Service And Rent,106899,
Fleet Services,FL-Fuel Management,Fuel Distribution,510A,Contribution To Reserves/Reserve Funds,8556,
Fleet Services,FL-Fuel Management,Fuel Distribution,300A,Equipment,210,
Fleet Services,FL-Fuel Management,Fuel Distribution,700A,Inter-Divisional Charges,118981,
Fleet Services,FL-Fuel Management,Fuel Distribution,200A,Materials & Supplies,1650,
Fleet Services,FL-Fuel Management,Fuel Distribution,100A,Salaries And Benefits,444859,
Fleet Services,FL-Fuel Management,Fuel Distribution,400A,Service And Rent,288184,
Heritage Toronto,Heritage Fundraising & Partnership Development,,510A,Contribution To Reserves/Reserve Funds,443,
Heritage Toronto,Heritage Fundraising & Partnership Development,,200A,Materials & Supplies,28160,
Heritage Toronto,Heritage Fundraising & Partnership Development,,650A,Other Expenditures,2400,
Heritage Toronto,Heritage Fundraising & Partnership Development,,100A,Salaries And Benefits,192869,
Heritage Toronto,Heritage Fundraising & Partnership Development,,400A,Service And Rent,53400,
Heritage Toronto,Heritage Promotion & Education,,510A,Contribution To Reserves/Reserve Funds,823,
Heritage Toronto,Heritage Promotion & Education,,200A,Materials & Supplies,42240,
Heritage Toronto,Heritage Promotion & Education,,650A,Other Expenditures,3600,
Heritage Toronto,Heritage Promotion & Education,,100A,Salaries And Benefits,357431,
Heritage Toronto,Heritage Promotion & Education,,400A,Service And Rent,80100,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,300A,Equipment,141,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,700A,Inter-Divisional Charges,17363,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,200A,Materials & Supplies,5118,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,100A,Salaries And Benefits,2821810,
Information & Technology,IT-Business IT Solutions,Authoritative Data Custodianship,400A,Service And Rent,19704,
Information & Technology,IT-Business IT Solutions,IT Common Components,300A,Equipment,5047,
Information & Technology,IT-Business IT Solutions,IT Common Components,700A,Inter-Divisional Charges,17913,
Information & Technology,IT-Business IT Solutions,IT Common Components,200A,Materials & Supplies,11167,
Information & Technology,IT-Business IT Solutions,IT Common Components,100A,Salaries And Benefits,3764544,
Information & Technology,IT-Business IT Solutions,IT Common Components,400A,Service And Rent,170476,
Information & Technology,IT-Business IT Solutions,Solution Implementation,300A,Equipment,22803,
Information & Technology,IT-Business IT Solutions,Solution Implementation,700A,Inter-Divisional Charges,39067,
Information & Technology,IT-Business IT Solutions,Solution Implementation,200A,Materials & Supplies,12541,
Information & Technology,IT-Business IT Solutions,Solution Implementation,650A,Other Expenditures,119,
Information & Technology,IT-Business IT Solutions,Solution Implementation,100A,Salaries And Benefits,22462527,
Information & Technology,IT-Business IT Solutions,Solution Implementation,400A,Service And Rent,456593,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,300A,Equipment,71900,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,700A,Inter-Divisional Charges,26104,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,200A,Materials & Supplies,20887,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,650A,Other Expenditures,198,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,100A,Salaries And Benefits,7918419,
Information & Technology,IT-Business IT Solutions,Solution Sustainment,400A,Service And Rent,5561999,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,510A,Contribution To Reserves/Reserve Funds,-1556,Non-normal value
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,300A,Equipment,368176,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,700A,Inter-Divisional Charges,31298,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,200A,Materials & Supplies,13698,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,650A,Other Expenditures,40,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,100A,Salaries And Benefits,20723895,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,400A,Service And Rent,9389110,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,510A,Contribution To Reserves/Reserve Funds,11040,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,300A,Equipment,105391,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,700A,Inter-Divisional Charges,28473,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,200A,Materials & Supplies,22819,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,650A,Other Expenditures,40,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,100A,Salaries And Benefits,6906633,
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,400A,Service And Rent,8088140,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",510A,Contribution To Reserves/Reserve Funds,47345,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",300A,Equipment,38877,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",700A,Inter-Divisional Charges,242514,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",200A,Materials & Supplies,20483,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",100A,Salaries And Benefits,15624576,
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",400A,Service And Rent,326344,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,510A,Contribution To Reserves/Reserve Funds,69736,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,300A,Equipment,627485,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,700A,Inter-Divisional Charges,70855,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,200A,Materials & Supplies,12967,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,100A,Salaries And Benefits,10340006,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,400A,Service And Rent,879561,
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,300A,Equipment,3428,
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,700A,Inter-Divisional Charges,17363,
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,200A,Materials & Supplies,2816,
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,100A,Salaries And Benefits,4091386,
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,400A,Service And Rent,11667,
Integrity Commissioner's Office,,,510A,Contribution To Reserves/Reserve Funds,4365,
Integrity Commissioner's Office,,,300A,Equipment,6452,
Integrity Commissioner's Office,,,700A,Inter-Divisional Charges,400,
Integrity Commissioner's Office,,,200A,Materials & Supplies,1556,
Integrity Commissioner's Office,,,100A,Salaries And Benefits,387754,
Integrity Commissioner's Office,,,400A,Service And Rent,27242,
Legal Services,Civil Litigation,,510A,Contribution To Reserves/Reserve Funds,22936,
Legal Services,Civil Litigation,,300A,Equipment,10440,
Legal Services,Civil Litigation,,200A,Materials & Supplies,91827,
Legal Services,Civil Litigation,,100A,Salaries And Benefits,12777644,
Legal Services,Civil Litigation,,400A,Service And Rent,630423,
Legal Services,Prosecution,,510A,Contribution To Reserves/Reserve Funds,22936,
Legal Services,Prosecution,,300A,Equipment,14356,
Legal Services,Prosecution,,700A,Inter-Divisional Charges,7054200,
Legal Services,Prosecution,,200A,Materials & Supplies,109571,
Legal Services,Prosecution,,100A,Salaries And Benefits,8782083,
Legal Services,Prosecution,,400A,Service And Rent,184289,
Legal Services,Solicitor,,510A,Contribution To Reserves/Reserve Funds,23631,
Legal Services,Solicitor,,300A,Equipment,84762,
Legal Services,Solicitor,,700A,Inter-Divisional Charges,53000,
Legal Services,Solicitor,,200A,Materials & Supplies,205932,
Legal Services,Solicitor,,100A,Salaries And Benefits,18903966,
Legal Services,Solicitor,,400A,Service And Rent,595891,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,200A,Materials & Supplies,9700,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,650A,Other Expenditures,138600,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,100A,Salaries And Benefits,1173000,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,400A,Service And Rent,236600,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,510A,Contribution To Reserves/Reserve Funds,3100,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,700A,Inter-Divisional Charges,11000,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,200A,Materials & Supplies,3500,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,100A,Salaries And Benefits,1309515,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,400A,Service And Rent,4144485,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,300A,Equipment,21700,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,700A,Inter-Divisional Charges,15200,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,200A,Materials & Supplies,11900,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,650A,Other Expenditures,22900,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,100A,Salaries And Benefits,1375151,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,400A,Service And Rent,3707449,
Long Term Care Homes & Services,Long Term Care Homes,,510A,Contribution To Reserves/Reserve Funds,1898432,
Long Term Care Homes & Services,Long Term Care Homes,,300A,Equipment,2851700,
Long Term Care Homes & Services,Long Term Care Homes,,700A,Inter-Divisional Charges,663723,
Long Term Care Homes & Services,Long Term Care Homes,,200A,Materials & Supplies,18565100,
Long Term Care Homes & Services,Long Term Care Homes,,650A,Other Expenditures,-46650,Non-normal value
Long Term Care Homes & Services,Long Term Care Homes,,100A,Salaries And Benefits,193923634,
Long Term Care Homes & Services,Long Term Care Homes,,400A,Service And Rent,12098888,
Mayor's Office,,,700A,Inter-Divisional Charges,5000,
Mayor's Office,,,200A,Materials & Supplies,5000,
Mayor's Office,,,100A,Salaries And Benefits,2199586,
Mayor's Office,,,400A,Service And Rent,87524,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,510A,Contribution To Reserves/Reserve Funds,82082,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,300A,Equipment,5110,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,700A,Inter-Divisional Charges,316602,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,200A,Materials & Supplies,225020,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,650A,Other Expenditures,13871,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,100A,Salaries And Benefits,3894745,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,400A,Service And Rent,283733,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,510A,Contribution To Reserves/Reserve Funds,62830,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,300A,Equipment,133059,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,700A,Inter-Divisional Charges,201976,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,200A,Materials & Supplies,213826,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,650A,Other Expenditures,7736,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,100A,Salaries And Benefits,1762417,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,400A,Service And Rent,292403,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,510A,Contribution To Reserves/Reserve Funds,24326,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,300A,Equipment,963,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,700A,Inter-Divisional Charges,50004,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,200A,Materials & Supplies,4633,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,650A,Other Expenditures,24510,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,100A,Salaries And Benefits,358126,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,400A,Service And Rent,37295,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,510A,Contribution To Reserves/Reserve Funds,43578,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,300A,Equipment,203268,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,700A,Inter-Divisional Charges,105140,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,200A,Materials & Supplies,230719,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,650A,Other Expenditures,3883,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,100A,Salaries And Benefits,1620337,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,400A,Service And Rent,256880,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,510A,Contribution To Reserves/Reserve Funds,12686,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,300A,Equipment,3568,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,700A,Inter-Divisional Charges,811439,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,200A,Materials & Supplies,23358,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,650A,Other Expenditures,90000,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,100A,Salaries And Benefits,1812466,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,400A,Service And Rent,46320,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,510A,Contribution To Reserves/Reserve Funds,12686,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,300A,Equipment,661,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,700A,Inter-Divisional Charges,152533,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,200A,Materials & Supplies,3885,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,650A,Other Expenditures,14000,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,100A,Salaries And Benefits,408180,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,400A,Service And Rent,6451,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,300A,Equipment,230,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,700A,Inter-Divisional Charges,49328,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,200A,Materials & Supplies,1524,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,650A,Other Expenditures,6000,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,100A,Salaries And Benefits,108162,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,400A,Service And Rent,1284,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,510A,Contribution To Reserves/Reserve Funds,25372,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,300A,Equipment,16297,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,700A,Inter-Divisional Charges,1259361,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,200A,Materials & Supplies,42288,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,650A,Other Expenditures,90000,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,100A,Salaries And Benefits,3452669,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,400A,Service And Rent,52120,
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,510A,Contribution To Reserves/Reserve Funds,5074,
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,300A,Equipment,60,
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,700A,Inter-Divisional Charges,9849,
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,200A,Materials & Supplies,7808,
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,100A,Salaries And Benefits,1265349,
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,400A,Service And Rent,11315,
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,510A,Contribution To Reserves/Reserve Funds,88319,
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,300A,Equipment,5721,
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,700A,Inter-Divisional Charges,169148,
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,200A,Materials & Supplies,30530,
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,100A,Salaries And Benefits,6462001,
Municipal Licensing & Standards,MS-By-Law Enforcement,License & Permit Enforcement,400A,Service And Rent,120468,
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,510A,Contribution To Reserves/Reserve Funds,12686,
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,300A,Equipment,137,
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,700A,Inter-Divisional Charges,41647,
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,200A,Materials & Supplies,6258,
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,100A,Salaries And Benefits,886906,
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,400A,Service And Rent,22079,
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,510A,Contribution To Reserves/Reserve Funds,303590,
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,300A,Equipment,23084,
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,700A,Inter-Divisional Charges,626903,
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,200A,Materials & Supplies,147277,
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,100A,Salaries And Benefits,5361742,
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,400A,Service And Rent,196353,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,510A,Contribution To Reserves/Reserve Funds,7612,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,300A,Equipment,2491,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,700A,Inter-Divisional Charges,135189,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,200A,Materials & Supplies,34235,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,100A,Salaries And Benefits,2576186,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,400A,Service And Rent,69345,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,510A,Contribution To Reserves/Reserve Funds,38059,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,300A,Equipment,4170,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,700A,Inter-Divisional Charges,244174,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,200A,Materials & Supplies,52573,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,100A,Salaries And Benefits,4254942,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,400A,Service And Rent,115837,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",510A,Contribution To Reserves/Reserve Funds,25372,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",300A,Equipment,5902,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",700A,Inter-Divisional Charges,248715,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",200A,Materials & Supplies,59802,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",100A,Salaries And Benefits,5114963,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",400A,Service And Rent,158342,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,510A,Contribution To Reserves/Reserve Funds,5074,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,300A,Equipment,2662,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,700A,Inter-Divisional Charges,144982,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,200A,Materials & Supplies,35122,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,100A,Salaries And Benefits,2682372,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,400A,Service And Rent,74096,
Non-Program Expenditures,Corporate Accounts,,510A,Contribution To Reserves/Reserve Funds,76162600,
Non-Program Expenditures,Corporate Accounts,,700A,Inter-Divisional Charges,18504182,
Non-Program Expenditures,Corporate Accounts,,200A,Materials & Supplies,1125600,
Non-Program Expenditures,Corporate Accounts,,650A,Other Expenditures,149396573,
Non-Program Expenditures,Corporate Accounts,,100A,Salaries And Benefits,55041113,
Non-Program Expenditures,Corporate Accounts,,400A,Service And Rent,307964120,
Non-Program Revenues,Corporate Accounts,,510A,Contribution To Reserves/Reserve Funds,107481000,
Non-Program Revenues,Corporate Accounts,,700A,Inter-Divisional Charges,3368131,
