311 Toronto,311 Service Delivery,311 Service Delivery,Inter-Divisional Recoveries,750A,5293589,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Contribution From Reserves/Reserve Funds,930A,4000,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Inter-Divisional Recoveries,750A,50000,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Licences & Permits Revenue,860A,133023,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Sundry and Other Revenues,940A,86626,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,User Fees & Donations,850A,295337,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Licences & Permits Revenue,860A,1095705,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Sundry and Other Revenues,940A,-19153,Non-normal value
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,User Fees & Donations,850A,356,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Contribution From Reserves/Reserve Funds,930A,6000,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Licences & Permits Revenue,860A,29829,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Sundry and Other Revenues,940A,48283,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,User Fees & Donations,850A,438711,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,Licences & Permits Revenue,860A,11971324,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,Sundry and Other Revenues,940A,42697,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,User Fees & Donations,850A,791256,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,Licences & Permits Revenue,860A,1088302,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,Sundry and Other Revenues,940A,3882,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,User Fees & Donations,850A,71932,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,Licences & Permits Revenue,860A,8706417,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,Sundry and Other Revenues,940A,31053,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,User Fees & Donations,850A,575459,
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,Licences & Permits Revenue,860A,286118,
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,Sundry and Other Revenues,940A,1250,
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,Inter-Divisional Recoveries,750A,1491461,
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,User Fees & Donations,850A,10181,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,Licences & Permits Revenue,860A,42680,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,Sundry and Other Revenues,940A,2000,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,User Fees & Donations,850A,234750,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,Licences & Permits Revenue,860A,64020,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,Sundry and Other Revenues,940A,3000,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,User Fees & Donations,850A,427124,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",Licences & Permits Revenue,860A,64020,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",Sundry and Other Revenues,940A,3000,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",User Fees & Donations,850A,427124,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,Licences & Permits Revenue,860A,42680,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,Sundry and Other Revenues,940A,2000,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,User Fees & Donations,850A,272250,
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,Contribution From Reserves/Reserve Funds,930A,159878514,
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,Sundry and Other Revenues,940A,6621288,
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,User Fees & Donations,850A,1952942,
Non-Program Revenues,Corporate Accounts,Corporate Accounts,Contribution From Reserves/Reserve Funds,930A,91600000,
Non-Program Revenues,Corporate Accounts,Corporate Accounts,Inter-Divisional Recoveries,750A,35299700,
Non-Program Revenues,Corporate Accounts,Corporate Accounts,Licences & Permits Revenue,860A,4002823,
Non-Program Revenues,Corporate Accounts,Corporate Accounts,Provincial Subsidies,805A,42978535,
Non-Program Revenues,Corporate Accounts,Corporate Accounts,Sundry and Other Revenues,940A,1046900691,
Non-Program Revenues,Corporate Accounts,Corporate Accounts,User Fees & Donations,850A,1994876,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,Contribution From Reserves/Reserve Funds,930A,89286,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,Inter-Divisional Recoveries,750A,28281,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,Sundry and Other Revenues,940A,20799,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,Contribution From Reserves/Reserve Funds,930A,107623,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,Inter-Divisional Recoveries,750A,32995,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,Sundry and Other Revenues,940A,25226,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,Contribution From Reserves/Reserve Funds,930A,98670,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,Inter-Divisional Recoveries,750A,108321,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,Sundry and Other Revenues,940A,21067,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,Contribution From Reserves/Reserve Funds,930A,13920,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,Inter-Divisional Recoveries,750A,542148,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,Contribution From Reserves/Reserve Funds,930A,25412,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,Inter-Divisional Recoveries,750A,698389,
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,Contribution From Reserves/Reserve Funds,930A,1030052,
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,Inter-Divisional Recoveries,750A,71646,
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,Contribution From Reserves/Reserve Funds,930A,616860,
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,Inter-Divisional Recoveries,750A,183963,
Office of the Chief Financial Officer,F&A-Executive Leadership,F&A-Executive Leadership,Contribution From Reserves/Reserve Funds,930A,99015,
Office of the Chief Financial Officer,F&A-Executive Leadership,F&A-Executive Leadership,Inter-Divisional Recoveries,750A,87300,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,Inter-Divisional Recoveries,750A,381778,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,Transfers From Capital,920A,577585,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,Inter-Divisional Recoveries,750A,238612,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,Transfers From Capital,920A,577585,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,Inter-Divisional Recoveries,750A,114534,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,Transfers From Capital,920A,481323,
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,Inter-Divisional Recoveries,750A,219521,
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,Transfers From Capital,920A,288793,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,Inter-Divisional Recoveries,750A,69070,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,Sundry and Other Revenues,940A,12300,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,Transfers From Capital,920A,31500,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial Statement Preparation,Inter-Divisional Recoveries,750A,161350,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Management Reporting,Inter-Divisional Recoveries,750A,75720,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Management Reporting,Transfers From Capital,920A,13500,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Provincial & Federal Reports Submission,Inter-Divisional Recoveries,750A,30240,
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,Inter-Divisional Recoveries,750A,282116,
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,Sundry and Other Revenues,940A,512582,
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,Transfers From Capital,920A,223737,
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Receivable Processing,Sundry and Other Revenues,940A,337700,
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Receivable Processing,User Fees & Donations,850A,8000,
Office of the Treasurer,ASD-Payment Processing,ASD-Corporate Banking,Transfers From Capital,920A,8999,
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,Inter-Divisional Recoveries,750A,11504,
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,Sundry and Other Revenues,940A,97383,
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,Transfers From Capital,920A,10562,
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-SAP User Support,Transfers From Capital,920A,191501,
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-Tax Advisory & Policy,Sundry and Other Revenues,940A,252000,
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-Tax Advisory & Policy,User Fees & Donations,850A,1500,
Office of the Treasurer,PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,Contribution From Reserves/Reserve Funds,930A,326822,
Office of the Treasurer,PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,Inter-Divisional Recoveries,750A,407210,
Office of the Treasurer,PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,Sundry and Other Revenues,940A,35000,
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,Contribution From Reserves/Reserve Funds,930A,300000,
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,Inter-Divisional Recoveries,750A,1780173,
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,Sundry and Other Revenues,940A,143084,
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,Transfers From Capital,920A,334750,
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,User Fees & Donations,850A,520000,
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,PPEB-Employee Benefits & Pension Administration,Contribution From Reserves/Reserve Funds,930A,52542,
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,PPEB-Employee Benefits & Pension Administration,Inter-Divisional Recoveries,750A,58216,
Office of the Treasurer,PPEB-Payroll,PPEB-3rd  Party Payroll Payments & Compliance,Contribution From Reserves/Reserve Funds,930A,105085,
Office of the Treasurer,PPEB-Payroll,PPEB-3rd  Party Payroll Payments & Compliance,Inter-Divisional Recoveries,750A,13075,
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,Contribution From Reserves/Reserve Funds,930A,683052,
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,Inter-Divisional Recoveries,750A,272399,
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,Transfers From Capital,920A,3770309,
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,Contribution From Reserves/Reserve Funds,930A,210170,
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,Inter-Divisional Recoveries,750A,104600,
Office of the Treasurer,RS-Parking Ticket,RS-Parking Ticket Processing,Inter-Divisional Recoveries,750A,3503665,
Office of the Treasurer,RS-Property Tax Billing,RS-Apportionments of Property Tax,User Fees & Donations,850A,15615,
Office of the Treasurer,RS-Property Tax Billing,RS-Property Assessment Reviews,Inter-Divisional Recoveries,750A,871946,
Office of the Treasurer,RS-Property Tax Billing,RS-Property Tax & Payment in Lieu of Tax Billing,User Fees & Donations,850A,891009,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,Inter-Divisional Recoveries,750A,1583918,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,User Fees & Donations,850A,7266205,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Municipal Land Transfer Tax,Inter-Divisional Recoveries,750A,1466060,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,Inter-Divisional Recoveries,750A,1906629,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,Inter-Divisional Recoveries,750A,371727,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,User Fees & Donations,850A,367895,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,Inter-Divisional Recoveries,750A,959889,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,User Fees & Donations,850A,212880,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,Inter-Divisional Recoveries,750A,3474841,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,User Fees & Donations,850A,64181,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,Inter-Divisional Recoveries,750A,2717618,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,User Fees & Donations,850A,160871,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,Inter-Divisional Recoveries,750A,948290,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,Sundry and Other Revenues,940A,1717885,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,User Fees & Donations,850A,2427777,
Office of the Treasurer,RS-Utility Billing,RS-Meter Reading Operations,Inter-Divisional Recoveries,750A,1126096,
Office of the Treasurer,RS-Utility Billing,RS-Solid Waste Billings,Inter-Divisional Recoveries,750A,1705608,
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,Inter-Divisional Recoveries,750A,1408598,
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,Sundry and Other Revenues,940A,293000,
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Contribution From Reserves/Reserve Funds,930A,477124,
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Inter-Divisional Recoveries,750A,2720725,
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Provincial Subsidies,805A,13000,
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Sundry and Other Revenues,940A,54445,
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,User Fees & Donations,850A,385866,
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Contribution From Reserves/Reserve Funds,930A,42000,
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Inter-Divisional Recoveries,750A,1219399,
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Provincial Subsidies,805A,563472,
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Sundry and Other Revenues,940A,152615,
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,User Fees & Donations,850A,30478314,
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Contribution From Reserves/Reserve Funds,930A,28000,
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Inter-Divisional Recoveries,750A,46349,
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Provincial Subsidies,805A,37500,
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Sundry and Other Revenues,940A,77569,
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,User Fees & Donations,850A,7887100,
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Contribution From Reserves/Reserve Funds,930A,56000,
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Inter-Divisional Recoveries,750A,37985,
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Licences & Permits Revenue,860A,4205896,
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Provincial Subsidies,805A,6000,
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Sundry and Other Revenues,940A,538446,
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,User Fees & Donations,850A,16270570,
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Contribution From Reserves/Reserve Funds,930A,39760,
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Sundry and Other Revenues,940A,600,
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Transfers From Capital,920A,3266399,
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,User Fees & Donations,850A,1534574,
"Parks, Forestry & Recreation",PR-Parks,Beach Access,Licences & Permits Revenue,860A,451,
"Parks, Forestry & Recreation",PR-Parks,Beach Access,Sundry and Other Revenues,940A,6320,
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Contribution From Reserves/Reserve Funds,930A,27832,
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Sundry and Other Revenues,940A,1270043,
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Transfers From Capital,920A,2286480,
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,User Fees & Donations,850A,4040818,
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Contribution From Reserves/Reserve Funds,930A,524700,
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Inter-Divisional Recoveries,750A,1000,
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Licences & Permits Revenue,860A,222691,
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Sundry and Other Revenues,940A,67730,
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Contribution From Reserves/Reserve Funds,930A,1260383,
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Inter-Divisional Recoveries,750A,1258681,
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Licences & Permits Revenue,860A,3869131,
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Provincial Subsidies,805A,170000,
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Sundry and Other Revenues,940A,987660,
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,User Fees & Donations,850A,5956135,
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,Inter-Divisional Recoveries,750A,232600,
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,Licences & Permits Revenue,860A,84,
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,Sundry and Other Revenues,940A,3488,
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,Inter-Divisional Recoveries,750A,44550,
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,User Fees & Donations,850A,6737659,
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,Licences & Permits Revenue,860A,27672,
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,Sundry and Other Revenues,940A,32832,
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,User Fees & Donations,850A,78301,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Contribution From Reserves/Reserve Funds,930A,17924364,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Federal Subsidies,810A,3500000,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Inter-Divisional Recoveries,750A,37500,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Sundry and Other Revenues,940A,148752,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Contribution From Reserves/Reserve Funds,930A,2475446,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Inter-Divisional Recoveries,750A,1962500,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Sundry and Other Revenues,940A,365503,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,User Fees & Donations,850A,600000,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,User Fees & Donations,850A,2712188,
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,Contribution From Reserves/Reserve Funds,930A,11928,
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,Transfers From Capital,920A,979920,
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,User Fees & Donations,850A,1747,
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,Inter-Divisional Recoveries,750A,1044194,
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,Sundry and Other Revenues,940A,222040,
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Contribution From Reserves/Reserve Funds,930A,875,
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Provincial Subsidies,805A,225000,
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Sundry and Other Revenues,940A,9125,
"Policy, Planning, Finance & Administration",PA-Financial Management,Budget Planning & coordination,Inter-Divisional Recoveries,750A,966829,
"Policy, Planning, Finance & Administration",PA-Financial Management,Financial Transaction & Payment Processing,Inter-Divisional Recoveries,750A,3152705,
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,Inter-Divisional Recoveries,750A,210180,
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,Transfers From Capital,920A,114615,
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,Inter-Divisional Recoveries,750A,1050902,
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,Transfers From Capital,920A,573076,
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,Inter-Divisional Recoveries,750A,1261082,
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,Transfers From Capital,920A,785299,
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,Inter-Divisional Recoveries,750A,1681443,
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,Transfers From Capital,920A,916922,
Property Tax,Property Tax,Property Tax,Property Tax,940A,3848634765,
Property Tax,Special Levy for Scarborough Subway (Reserve Contribution),Special Levy for Scarborough Subway (Reserve Contribution),Special Levy for Scarborough Subway (Reserve Contribution),940A,24846399,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Contribution From Reserves/Reserve Funds,930A,416000,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Federal Subsidies,810A,17296389,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Inter-Divisional Recoveries,750A,3769,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Provincial Subsidies,805A,18677996,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Sundry and Other Revenues,940A,-179778,Non-normal value
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Transfers From Capital,920A,70012,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,Contribution From Reserves/Reserve Funds,930A,3790,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,Inter-Divisional Recoveries,750A,3769,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,Provincial Subsidies,805A,75542467,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,Sundry and Other Revenues,940A,127610,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,Transfers From Capital,920A,50012,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,User Fees & Donations,850A,472800,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,Contribution From Reserves/Reserve Funds,930A,7550000,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,Inter-Divisional Recoveries,750A,1238,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,Provincial Subsidies,805A,29183089,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,Sundry and Other Revenues,940A,29738,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,Transfers From Capital,920A,16422,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Contribution From Reserves/Reserve Funds,930A,5993188,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Federal Subsidies,810A,30741183,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Inter-Divisional Recoveries,750A,1238,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Other Subsidies,820A,16710555,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,Provincial Subsidies,805A,20241333,
