311 Toronto,311 Service Delivery,311 Service Delivery,Inter-Divisional Recoveries,750A,Revenues,5293589,
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Transfers From Capital,920A,Revenues,3704333,
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,Contribution From Reserves/Reserve Funds,930A,Revenues,143910,
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,Inter-Divisional Recoveries,750A,Revenues,9558,
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,Transfers From Capital,920A,Revenues,2313024,
Legal Services,Civil Litigation,Civil Litigation,Contribution From Reserves/Reserve Funds,930A,Revenues,300000,
Legal Services,Civil Litigation,Civil Litigation,Inter-Divisional Recoveries,750A,Revenues,5278602,
Legal Services,Prosecution,Prosecution,Inter-Divisional Recoveries,750A,Revenues,13758142,
Legal Services,Solicitor,Solicitor,Inter-Divisional Recoveries,750A,Revenues,3125734,
Legal Services,Solicitor,Solicitor,Sundry and Other Revenues,940A,Revenues,3106558,
Legal Services,Solicitor,Solicitor,Transfers From Capital,920A,Revenues,1162621,
Legal Services,Solicitor,Solicitor,User Fees & Donations,850A,Revenues,2529571,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,Provincial Subsidies,805A,Revenues,1374900,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,User Fees & Donations,850A,Revenues,183000,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,Provincial Subsidies,805A,Revenues,4076300,
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,Provincial Subsidies,805A,Revenues,5154300,
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Inter-Divisional Recoveries,750A,Revenues,72800,
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Provincial Subsidies,805A,Revenues,136213621,
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Sundry and Other Revenues,940A,Revenues,138000,
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Transfers From Capital,920A,Revenues,260000,
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,User Fees & Donations,850A,Revenues,48469700,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Licences & Permits Revenue,860A,Revenues,833812,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Sundry and Other Revenues,940A,Revenues,114244,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,User Fees & Donations,850A,Revenues,46484,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Contribution From Reserves/Reserve Funds,930A,Revenues,4000,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Inter-Divisional Recoveries,750A,Revenues,50000,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Licences & Permits Revenue,860A,Revenues,133023,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Sundry and Other Revenues,940A,Revenues,86626,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,User Fees & Donations,850A,Revenues,295337,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Licences & Permits Revenue,860A,Revenues,1095705,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Sundry and Other Revenues,940A,Revenues,-19153,Non-normal value
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,User Fees & Donations,850A,Revenues,356,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Contribution From Reserves/Reserve Funds,930A,Revenues,6000,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Licences & Permits Revenue,860A,Revenues,29829,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Sundry and Other Revenues,940A,Revenues,48283,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,User Fees & Donations,850A,Revenues,438711,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,Licences & Permits Revenue,860A,Revenues,11971324,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,Sundry and Other Revenues,940A,Revenues,42697,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,User Fees & Donations,850A,Revenues,791256,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,Licences & Permits Revenue,860A,Revenues,1088302,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,Sundry and Other Revenues,940A,Revenues,3882,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,User Fees & Donations,850A,Revenues,71932,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,Licences & Permits Revenue,860A,Revenues,8706417,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,Sundry and Other Revenues,940A,Revenues,31053,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,User Fees & Donations,850A,Revenues,575459,
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,Licences & Permits Revenue,860A,Revenues,286118,
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,Sundry and Other Revenues,940A,Revenues,1250,
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,Inter-Divisional Recoveries,750A,Revenues,1491461,
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,User Fees & Donations,850A,Revenues,10181,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,Licences & Permits Revenue,860A,Revenues,42680,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,Sundry and Other Revenues,940A,Revenues,2000,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,User Fees & Donations,850A,Revenues,234750,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,Licences & Permits Revenue,860A,Revenues,64020,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,Sundry and Other Revenues,940A,Revenues,3000,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,User Fees & Donations,850A,Revenues,427124,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",Licences & Permits Revenue,860A,Revenues,64020,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",Sundry and Other Revenues,940A,Revenues,3000,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",User Fees & Donations,850A,Revenues,427124,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,Licences & Permits Revenue,860A,Revenues,42680,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,Sundry and Other Revenues,940A,Revenues,2000,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,User Fees & Donations,850A,Revenues,272250,
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,Contribution From Reserves/Reserve Funds,930A,Revenues,159878514,
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,Sundry and Other Revenues,940A,Revenues,6621288,
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,User Fees & Donations,850A,Revenues,1952942,
Non-Program Revenues,Corporate Accounts,Corporate Accounts,Contribution From Reserves/Reserve Funds,930A,Revenues,91600000,
Non-Program Revenues,Corporate Accounts,Corporate Accounts,Inter-Divisional Recoveries,750A,Revenues,35299700,
Non-Program Revenues,Corporate Accounts,Corporate Accounts,Licences & Permits Revenue,860A,Revenues,4002823,
Non-Program Revenues,Corporate Accounts,Corporate Accounts,Provincial Subsidies,805A,Revenues,42978535,
Non-Program Revenues,Corporate Accounts,Corporate Accounts,Sundry and Other Revenues,940A,Revenues,1046900691,
Non-Program Revenues,Corporate Accounts,Corporate Accounts,User Fees & Donations,850A,Revenues,1994876,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,Contribution From Reserves/Reserve Funds,930A,Revenues,89286,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,Inter-Divisional Recoveries,750A,Revenues,28281,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,Sundry and Other Revenues,940A,Revenues,20799,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,Contribution From Reserves/Reserve Funds,930A,Revenues,107623,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,Inter-Divisional Recoveries,750A,Revenues,32995,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,Sundry and Other Revenues,940A,Revenues,25226,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,Contribution From Reserves/Reserve Funds,930A,Revenues,98670,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,Inter-Divisional Recoveries,750A,Revenues,108321,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,Sundry and Other Revenues,940A,Revenues,21067,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,Contribution From Reserves/Reserve Funds,930A,Revenues,13920,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,Inter-Divisional Recoveries,750A,Revenues,542148,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,Contribution From Reserves/Reserve Funds,930A,Revenues,25412,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,Inter-Divisional Recoveries,750A,Revenues,698389,
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,Contribution From Reserves/Reserve Funds,930A,Revenues,1030052,
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,Inter-Divisional Recoveries,750A,Revenues,71646,
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,Contribution From Reserves/Reserve Funds,930A,Revenues,616860,
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,Inter-Divisional Recoveries,750A,Revenues,183963,
Office of the Chief Financial Officer,F&A-Executive Leadership,F&A-Executive Leadership,Contribution From Reserves/Reserve Funds,930A,Revenues,99015,
Office of the Chief Financial Officer,F&A-Executive Leadership,F&A-Executive Leadership,Inter-Divisional Recoveries,750A,Revenues,87300,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,Inter-Divisional Recoveries,750A,Revenues,381778,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,Transfers From Capital,920A,Revenues,577585,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,Inter-Divisional Recoveries,750A,Revenues,238612,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,Transfers From Capital,920A,Revenues,577585,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,Inter-Divisional Recoveries,750A,Revenues,114534,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,Transfers From Capital,920A,Revenues,481323,
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,Inter-Divisional Recoveries,750A,Revenues,219521,
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,Transfers From Capital,920A,Revenues,288793,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,Inter-Divisional Recoveries,750A,Revenues,69070,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,Sundry and Other Revenues,940A,Revenues,12300,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,Transfers From Capital,920A,Revenues,31500,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial Statement Preparation,Inter-Divisional Recoveries,750A,Revenues,161350,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Management Reporting,Inter-Divisional Recoveries,750A,Revenues,75720,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Management Reporting,Transfers From Capital,920A,Revenues,13500,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Provincial & Federal Reports Submission,Inter-Divisional Recoveries,750A,Revenues,30240,
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,Inter-Divisional Recoveries,750A,Revenues,282116,
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,Sundry and Other Revenues,940A,Revenues,512582,
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,Transfers From Capital,920A,Revenues,223737,
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Receivable Processing,Sundry and Other Revenues,940A,Revenues,337700,
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Receivable Processing,User Fees & Donations,850A,Revenues,8000,
Office of the Treasurer,ASD-Payment Processing,ASD-Corporate Banking,Transfers From Capital,920A,Revenues,8999,
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,Inter-Divisional Recoveries,750A,Revenues,11504,
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,Sundry and Other Revenues,940A,Revenues,97383,
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,Transfers From Capital,920A,Revenues,10562,
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-SAP User Support,Transfers From Capital,920A,Revenues,191501,
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-Tax Advisory & Policy,Sundry and Other Revenues,940A,Revenues,252000,
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-Tax Advisory & Policy,User Fees & Donations,850A,Revenues,1500,
Office of the Treasurer,PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,Contribution From Reserves/Reserve Funds,930A,Revenues,326822,
Office of the Treasurer,PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,Inter-Divisional Recoveries,750A,Revenues,407210,
Office of the Treasurer,PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,Sundry and Other Revenues,940A,Revenues,35000,
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,Contribution From Reserves/Reserve Funds,930A,Revenues,300000,
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,Inter-Divisional Recoveries,750A,Revenues,1780173,
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,Sundry and Other Revenues,940A,Revenues,143084,
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,Transfers From Capital,920A,Revenues,334750,
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,User Fees & Donations,850A,Revenues,520000,
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,PPEB-Employee Benefits & Pension Administration,Contribution From Reserves/Reserve Funds,930A,Revenues,52542,
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,PPEB-Employee Benefits & Pension Administration,Inter-Divisional Recoveries,750A,Revenues,58216,
Office of the Treasurer,PPEB-Payroll,PPEB-3rd  Party Payroll Payments & Compliance,Contribution From Reserves/Reserve Funds,930A,Revenues,105085,
Office of the Treasurer,PPEB-Payroll,PPEB-3rd  Party Payroll Payments & Compliance,Inter-Divisional Recoveries,750A,Revenues,13075,
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,Contribution From Reserves/Reserve Funds,930A,Revenues,683052,
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,Inter-Divisional Recoveries,750A,Revenues,272399,
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,Transfers From Capital,920A,Revenues,3770309,
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,Contribution From Reserves/Reserve Funds,930A,Revenues,210170,
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,Inter-Divisional Recoveries,750A,Revenues,104600,
Office of the Treasurer,RS-Parking Ticket,RS-Parking Ticket Processing,Inter-Divisional Recoveries,750A,Revenues,3503665,
Office of the Treasurer,RS-Property Tax Billing,RS-Apportionments of Property Tax,User Fees & Donations,850A,Revenues,15615,
Office of the Treasurer,RS-Property Tax Billing,RS-Property Assessment Reviews,Inter-Divisional Recoveries,750A,Revenues,871946,
Office of the Treasurer,RS-Property Tax Billing,RS-Property Tax & Payment in Lieu of Tax Billing,User Fees & Donations,850A,Revenues,891009,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,Inter-Divisional Recoveries,750A,Revenues,1583918,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,User Fees & Donations,850A,Revenues,7266205,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Municipal Land Transfer Tax,Inter-Divisional Recoveries,750A,Revenues,1466060,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,Inter-Divisional Recoveries,750A,Revenues,1906629,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,Inter-Divisional Recoveries,750A,Revenues,371727,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,User Fees & Donations,850A,Revenues,367895,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,Inter-Divisional Recoveries,750A,Revenues,959889,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,User Fees & Donations,850A,Revenues,212880,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,Inter-Divisional Recoveries,750A,Revenues,3474841,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,User Fees & Donations,850A,Revenues,64181,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,Inter-Divisional Recoveries,750A,Revenues,2717618,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,User Fees & Donations,850A,Revenues,160871,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,Inter-Divisional Recoveries,750A,Revenues,948290,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,Sundry and Other Revenues,940A,Revenues,1717885,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,User Fees & Donations,850A,Revenues,2427777,
Office of the Treasurer,RS-Utility Billing,RS-Meter Reading Operations,Inter-Divisional Recoveries,750A,Revenues,1126096,
Office of the Treasurer,RS-Utility Billing,RS-Solid Waste Billings,Inter-Divisional Recoveries,750A,Revenues,1705608,
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,Inter-Divisional Recoveries,750A,Revenues,1408598,
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,Sundry and Other Revenues,940A,Revenues,293000,
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Contribution From Reserves/Reserve Funds,930A,Revenues,477124,
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Inter-Divisional Recoveries,750A,Revenues,2720725,
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Provincial Subsidies,805A,Revenues,13000,
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Sundry and Other Revenues,940A,Revenues,54445,
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,User Fees & Donations,850A,Revenues,385866,
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Contribution From Reserves/Reserve Funds,930A,Revenues,42000,
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Inter-Divisional Recoveries,750A,Revenues,1219399,
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Provincial Subsidies,805A,Revenues,563472,
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Sundry and Other Revenues,940A,Revenues,152615,
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,User Fees & Donations,850A,Revenues,30478314,
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Contribution From Reserves/Reserve Funds,930A,Revenues,28000,
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Inter-Divisional Recoveries,750A,Revenues,46349,
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Provincial Subsidies,805A,Revenues,37500,
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Sundry and Other Revenues,940A,Revenues,77569,
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,User Fees & Donations,850A,Revenues,7887100,
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Contribution From Reserves/Reserve Funds,930A,Revenues,56000,
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Inter-Divisional Recoveries,750A,Revenues,37985,
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Licences & Permits Revenue,860A,Revenues,4205896,
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Provincial Subsidies,805A,Revenues,6000,
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Sundry and Other Revenues,940A,Revenues,538446,
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,User Fees & Donations,850A,Revenues,16270570,
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Contribution From Reserves/Reserve Funds,930A,Revenues,39760,
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Sundry and Other Revenues,940A,Revenues,600,
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Transfers From Capital,920A,Revenues,3266399,
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,User Fees & Donations,850A,Revenues,1534574,
"Parks, Forestry & Recreation",PR-Parks,Beach Access,Licences & Permits Revenue,860A,Revenues,451,
"Parks, Forestry & Recreation",PR-Parks,Beach Access,Sundry and Other Revenues,940A,Revenues,6320,
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Contribution From Reserves/Reserve Funds,930A,Revenues,27832,
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Sundry and Other Revenues,940A,Revenues,1270043,
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Transfers From Capital,920A,Revenues,2286480,
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,User Fees & Donations,850A,Revenues,4040818,
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Contribution From Reserves/Reserve Funds,930A,Revenues,524700,
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Inter-Divisional Recoveries,750A,Revenues,1000,
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Licences & Permits Revenue,860A,Revenues,222691,
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Sundry and Other Revenues,940A,Revenues,67730,
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Contribution From Reserves/Reserve Funds,930A,Revenues,1260383,
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Inter-Divisional Recoveries,750A,Revenues,1258681,
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Licences & Permits Revenue,860A,Revenues,3869131,
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Provincial Subsidies,805A,Revenues,170000,
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Sundry and Other Revenues,940A,Revenues,987660,
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,User Fees & Donations,850A,Revenues,5956135,
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,Inter-Divisional Recoveries,750A,Revenues,232600,
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,Licences & Permits Revenue,860A,Revenues,84,
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,Sundry and Other Revenues,940A,Revenues,3488,
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,Inter-Divisional Recoveries,750A,Revenues,44550,
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,User Fees & Donations,850A,Revenues,6737659,
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,Licences & Permits Revenue,860A,Revenues,27672,
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,Sundry and Other Revenues,940A,Revenues,32832,
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,User Fees & Donations,850A,Revenues,78301,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Contribution From Reserves/Reserve Funds,930A,Revenues,17924364,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Federal Subsidies,810A,Revenues,3500000,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Inter-Divisional Recoveries,750A,Revenues,37500,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Sundry and Other Revenues,940A,Revenues,148752,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Contribution From Reserves/Reserve Funds,930A,Revenues,2475446,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Inter-Divisional Recoveries,750A,Revenues,1962500,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Sundry and Other Revenues,940A,Revenues,365503,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,User Fees & Donations,850A,Revenues,600000,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,User Fees & Donations,850A,Revenues,2712188,
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,Contribution From Reserves/Reserve Funds,930A,Revenues,11928,
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,Transfers From Capital,920A,Revenues,979920,
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,User Fees & Donations,850A,Revenues,1747,
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,Inter-Divisional Recoveries,750A,Revenues,1044194,
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,Sundry and Other Revenues,940A,Revenues,222040,
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Contribution From Reserves/Reserve Funds,930A,Revenues,875,
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Provincial Subsidies,805A,Revenues,225000,
