311 Toronto,311 Service Delivery,311 Service Delivery,Inter-Divisional Recoveries,750A,Revenues,"(5,293,589)"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Contribution From Reserves/Reserve Funds,930A,Revenues,"(2,182,311)"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Inter-Divisional Recoveries,750A,Revenues,"(2,762,093)"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Sundry and Other Revenues,940A,Revenues,"(90,809)"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,Transfers From Capital,920A,Revenues,"(4,916,216)"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Contribution From Reserves/Reserve Funds,930A,Revenues,"(62,996)"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Inter-Divisional Recoveries,750A,Revenues,"(5,014,769)"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Sundry and Other Revenues,940A,Revenues,"(5,591)"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,Transfers From Capital,920A,Revenues,"(345,143)"
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Contribution From Reserves/Reserve Funds,930A,Revenues,"(769,273)"
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Inter-Divisional Recoveries,750A,Revenues,"(836,610)"
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Sundry and Other Revenues,940A,Revenues,"(24,402)"
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",Transfers From Capital,920A,Revenues,"(3,675,778)"
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Contribution From Reserves/Reserve Funds,930A,Revenues,"(665,008)"
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Inter-Divisional Recoveries,750A,Revenues,"(690,076)"
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Sundry and Other Revenues,940A,Revenues,"(410,326)"
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,Transfers From Capital,920A,Revenues,"(3,704,333)"
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,Contribution From Reserves/Reserve Funds,930A,Revenues,"(143,910)"
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,Inter-Divisional Recoveries,750A,Revenues,"(9,558)"
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,Transfers From Capital,920A,Revenues,"(2,313,024)"
Legal Services,Civil Litigation,Civil Litigation,Contribution From Reserves/Reserve Funds,930A,Revenues,"(300,000)"
Legal Services,Civil Litigation,Civil Litigation,Inter-Divisional Recoveries,750A,Revenues,"(5,278,602)"
Legal Services,Prosecution,Prosecution,Inter-Divisional Recoveries,750A,Revenues,"(13,758,142)"
Legal Services,Solicitor,Solicitor,Inter-Divisional Recoveries,750A,Revenues,"(3,125,734)"
Legal Services,Solicitor,Solicitor,Sundry and Other Revenues,940A,Revenues,"(3,106,558)"
Legal Services,Solicitor,Solicitor,Transfers From Capital,920A,Revenues,"(1,162,621)"
Legal Services,Solicitor,Solicitor,User Fees & Donations,850A,Revenues,"(2,529,571)"
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,Provincial Subsidies,805A,Revenues,"(1,374,900)"
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,User Fees & Donations,850A,Revenues,"(183,000)"
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,Provincial Subsidies,805A,Revenues,"(4,076,300)"
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,Provincial Subsidies,805A,Revenues,"(5,154,300)"
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Inter-Divisional Recoveries,750A,Revenues,"(72,800)"
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Provincial Subsidies,805A,Revenues,"(136,213,621)"
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Sundry and Other Revenues,940A,Revenues,"(138,000)"
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Transfers From Capital,920A,Revenues,"(260,000)"
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,User Fees & Donations,850A,Revenues,"(48,469,700)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Licences & Permits Revenue,860A,Revenues,"(833,812)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Sundry and Other Revenues,940A,Revenues,"(114,244)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,User Fees & Donations,850A,Revenues,"(46,484)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Contribution From Reserves/Reserve Funds,930A,Revenues,"(4,000)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Inter-Divisional Recoveries,750A,Revenues,"(50,000)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Licences & Permits Revenue,860A,Revenues,"(133,023)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Sundry and Other Revenues,940A,Revenues,"(86,626)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,User Fees & Donations,850A,Revenues,"(295,337)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Licences & Permits Revenue,860A,Revenues,"(1,095,705)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Sundry and Other Revenues,940A,Revenues,19153
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,User Fees & Donations,850A,Revenues,(356)
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Contribution From Reserves/Reserve Funds,930A,Revenues,"(6,000)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Licences & Permits Revenue,860A,Revenues,"(29,829)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Sundry and Other Revenues,940A,Revenues,"(48,283)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,User Fees & Donations,850A,Revenues,"(438,711)"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,Licences & Permits Revenue,860A,Revenues,"(11,971,324)"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,Sundry and Other Revenues,940A,Revenues,"(42,697)"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,User Fees & Donations,850A,Revenues,"(791,256)"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,Licences & Permits Revenue,860A,Revenues,"(1,088,302)"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,Sundry and Other Revenues,940A,Revenues,"(3,882)"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,User Fees & Donations,850A,Revenues,"(71,932)"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,Licences & Permits Revenue,860A,Revenues,"(8,706,417)"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,Sundry and Other Revenues,940A,Revenues,"(31,053)"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,User Fees & Donations,850A,Revenues,"(575,459)"
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,Licences & Permits Revenue,860A,Revenues,"(286,118)"
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,Sundry and Other Revenues,940A,Revenues,"(1,250)"
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,Inter-Divisional Recoveries,750A,Revenues,"(1,491,461)"
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,User Fees & Donations,850A,Revenues,"(10,181)"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,Licences & Permits Revenue,860A,Revenues,"(42,680)"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,Sundry and Other Revenues,940A,Revenues,"(2,000)"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,User Fees & Donations,850A,Revenues,"(234,750)"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,Licences & Permits Revenue,860A,Revenues,"(64,020)"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,Sundry and Other Revenues,940A,Revenues,"(3,000)"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,User Fees & Donations,850A,Revenues,"(427,124)"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",Licences & Permits Revenue,860A,Revenues,"(64,020)"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",Sundry and Other Revenues,940A,Revenues,"(3,000)"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",User Fees & Donations,850A,Revenues,"(427,124)"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,Licences & Permits Revenue,860A,Revenues,"(42,680)"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,Sundry and Other Revenues,940A,Revenues,"(2,000)"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,User Fees & Donations,850A,Revenues,"(272,250)"
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,Contribution From Reserves/Reserve Funds,930A,Revenues,"(159,878,514)"
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,Sundry and Other Revenues,940A,Revenues,"(6,621,288)"
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,User Fees & Donations,850A,Revenues,"(1,952,942)"
Non-Program Revenues,Corporate Accounts,Corporate Accounts,Contribution From Reserves/Reserve Funds,930A,Revenues,"(91,600,000)"
Non-Program Revenues,Corporate Accounts,Corporate Accounts,Inter-Divisional Recoveries,750A,Revenues,"(35,299,700)"
Non-Program Revenues,Corporate Accounts,Corporate Accounts,Licences & Permits Revenue,860A,Revenues,"(4,002,823)"
Non-Program Revenues,Corporate Accounts,Corporate Accounts,Provincial Subsidies,805A,Revenues,"(42,978,535)"
Non-Program Revenues,Corporate Accounts,Corporate Accounts,Sundry and Other Revenues,940A,Revenues,"(1,046,900,691)"
Non-Program Revenues,Corporate Accounts,Corporate Accounts,User Fees & Donations,850A,Revenues,"(1,994,876)"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,Contribution From Reserves/Reserve Funds,930A,Revenues,"(89,286)"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,Inter-Divisional Recoveries,750A,Revenues,"(28,281)"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,Sundry and Other Revenues,940A,Revenues,"(20,799)"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,Contribution From Reserves/Reserve Funds,930A,Revenues,"(107,623)"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,Inter-Divisional Recoveries,750A,Revenues,"(32,995)"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,Sundry and Other Revenues,940A,Revenues,"(25,226)"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,Contribution From Reserves/Reserve Funds,930A,Revenues,"(98,670)"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,Inter-Divisional Recoveries,750A,Revenues,"(108,321)"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,Sundry and Other Revenues,940A,Revenues,"(21,067)"
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,Contribution From Reserves/Reserve Funds,930A,Revenues,"(13,920)"
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,Inter-Divisional Recoveries,750A,Revenues,"(542,148)"
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,Contribution From Reserves/Reserve Funds,930A,Revenues,"(25,412)"
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,Inter-Divisional Recoveries,750A,Revenues,"(698,389)"
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,Contribution From Reserves/Reserve Funds,930A,Revenues,"(1,030,052)"
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,Inter-Divisional Recoveries,750A,Revenues,"(71,646)"
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,Contribution From Reserves/Reserve Funds,930A,Revenues,"(616,860)"
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,Inter-Divisional Recoveries,750A,Revenues,"(183,963)"
Office of the Chief Financial Officer,F&A-Executive Leadership,F&A-Executive Leadership,Contribution From Reserves/Reserve Funds,930A,Revenues,"(99,015)"
Office of the Chief Financial Officer,F&A-Executive Leadership,F&A-Executive Leadership,Inter-Divisional Recoveries,750A,Revenues,"(87,300)"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,Inter-Divisional Recoveries,750A,Revenues,"(381,778)"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,Transfers From Capital,920A,Revenues,"(577,585)"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,Inter-Divisional Recoveries,750A,Revenues,"(238,612)"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,Transfers From Capital,920A,Revenues,"(577,585)"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,Inter-Divisional Recoveries,750A,Revenues,"(114,534)"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,Transfers From Capital,920A,Revenues,"(481,323)"
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,Inter-Divisional Recoveries,750A,Revenues,"(219,521)"
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,Transfers From Capital,920A,Revenues,"(288,793)"
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,Inter-Divisional Recoveries,750A,Revenues,"(69,070)"
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,Sundry and Other Revenues,940A,Revenues,"(12,300)"
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,Transfers From Capital,920A,Revenues,"(31,500)"
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial Statement Preparation,Inter-Divisional Recoveries,750A,Revenues,"(161,350)"
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Management Reporting,Inter-Divisional Recoveries,750A,Revenues,"(75,720)"
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Management Reporting,Transfers From Capital,920A,Revenues,"(13,500)"
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Provincial & Federal Reports Submission,Inter-Divisional Recoveries,750A,Revenues,"(30,240)"
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,Inter-Divisional Recoveries,750A,Revenues,"(282,116)"
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,Sundry and Other Revenues,940A,Revenues,"(512,582)"
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,Transfers From Capital,920A,Revenues,"(223,737)"
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Receivable Processing,Sundry and Other Revenues,940A,Revenues,"(337,700)"
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Receivable Processing,User Fees & Donations,850A,Revenues,"(8,000)"
Office of the Treasurer,ASD-Payment Processing,ASD-Corporate Banking,Transfers From Capital,920A,Revenues,"(8,999)"
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,Inter-Divisional Recoveries,750A,Revenues,"(11,504)"
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,Sundry and Other Revenues,940A,Revenues,"(97,383)"
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,Transfers From Capital,920A,Revenues,"(10,562)"
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-SAP User Support,Transfers From Capital,920A,Revenues,"(191,501)"
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-Tax Advisory & Policy,Sundry and Other Revenues,940A,Revenues,"(252,000)"
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-Tax Advisory & Policy,User Fees & Donations,850A,Revenues,"(1,500)"
Office of the Treasurer,PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,Contribution From Reserves/Reserve Funds,930A,Revenues,"(326,822)"
Office of the Treasurer,PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,Inter-Divisional Recoveries,750A,Revenues,"(407,210)"
Office of the Treasurer,PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,Sundry and Other Revenues,940A,Revenues,"(35,000)"
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,Contribution From Reserves/Reserve Funds,930A,Revenues,"(300,000)"
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,Inter-Divisional Recoveries,750A,Revenues,"(1,780,173)"
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,Sundry and Other Revenues,940A,Revenues,"(143,084)"
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,Transfers From Capital,920A,Revenues,"(334,750)"
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,User Fees & Donations,850A,Revenues,"(520,000)"
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,PPEB-Employee Benefits & Pension Administration,Contribution From Reserves/Reserve Funds,930A,Revenues,"(52,542)"
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,PPEB-Employee Benefits & Pension Administration,Inter-Divisional Recoveries,750A,Revenues,"(58,216)"
Office of the Treasurer,PPEB-Payroll,PPEB-3rd  Party Payroll Payments & Compliance,Contribution From Reserves/Reserve Funds,930A,Revenues,"(105,085)"
Office of the Treasurer,PPEB-Payroll,PPEB-3rd  Party Payroll Payments & Compliance,Inter-Divisional Recoveries,750A,Revenues,"(13,075)"
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,Contribution From Reserves/Reserve Funds,930A,Revenues,"(683,052)"
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,Inter-Divisional Recoveries,750A,Revenues,"(272,399)"
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,Transfers From Capital,920A,Revenues,"(3,770,309)"
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,Contribution From Reserves/Reserve Funds,930A,Revenues,"(210,170)"
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,Inter-Divisional Recoveries,750A,Revenues,"(104,600)"
Office of the Treasurer,RS-Parking Ticket,RS-Parking Ticket Processing,Inter-Divisional Recoveries,750A,Revenues,"(3,503,665)"
Office of the Treasurer,RS-Property Tax Billing,RS-Apportionments of Property Tax,User Fees & Donations,850A,Revenues,"(15,615)"
Office of the Treasurer,RS-Property Tax Billing,RS-Property Assessment Reviews,Inter-Divisional Recoveries,750A,Revenues,"(871,946)"
Office of the Treasurer,RS-Property Tax Billing,RS-Property Tax & Payment in Lieu of Tax Billing,User Fees & Donations,850A,Revenues,"(891,009)"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,Inter-Divisional Recoveries,750A,Revenues,"(1,583,918)"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,User Fees & Donations,850A,Revenues,"(7,266,205)"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Municipal Land Transfer Tax,Inter-Divisional Recoveries,750A,Revenues,"(1,466,060)"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,Inter-Divisional Recoveries,750A,Revenues,"(1,906,629)"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,Inter-Divisional Recoveries,750A,Revenues,"(371,727)"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,User Fees & Donations,850A,Revenues,"(367,895)"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,Inter-Divisional Recoveries,750A,Revenues,"(959,889)"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,User Fees & Donations,850A,Revenues,"(212,880)"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,Inter-Divisional Recoveries,750A,Revenues,"(3,474,841)"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,User Fees & Donations,850A,Revenues,"(64,181)"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,Inter-Divisional Recoveries,750A,Revenues,"(2,717,618)"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,User Fees & Donations,850A,Revenues,"(160,871)"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,Inter-Divisional Recoveries,750A,Revenues,"(948,290)"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,Sundry and Other Revenues,940A,Revenues,"(1,717,885)"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,User Fees & Donations,850A,Revenues,"(2,427,777)"
Office of the Treasurer,RS-Utility Billing,RS-Meter Reading Operations,Inter-Divisional Recoveries,750A,Revenues,"(1,126,096)"
Office of the Treasurer,RS-Utility Billing,RS-Solid Waste Billings,Inter-Divisional Recoveries,750A,Revenues,"(1,705,608)"
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,Inter-Divisional Recoveries,750A,Revenues,"(1,408,598)"
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,Sundry and Other Revenues,940A,Revenues,"(293,000)"
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Contribution From Reserves/Reserve Funds,930A,Revenues,"(477,124)"
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Inter-Divisional Recoveries,750A,Revenues,"(2,720,725)"
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Provincial Subsidies,805A,Revenues,"(13,000)"
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Sundry and Other Revenues,940A,Revenues,"(54,445)"
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,User Fees & Donations,850A,Revenues,"(385,866)"
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Contribution From Reserves/Reserve Funds,930A,Revenues,"(42,000)"
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Inter-Divisional Recoveries,750A,Revenues,"(1,219,399)"
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Provincial Subsidies,805A,Revenues,"(563,472)"
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Sundry and Other Revenues,940A,Revenues,"(152,615)"
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,User Fees & Donations,850A,Revenues,"(30,478,314)"
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Contribution From Reserves/Reserve Funds,930A,Revenues,"(28,000)"
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Inter-Divisional Recoveries,750A,Revenues,"(46,349)"
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Provincial Subsidies,805A,Revenues,"(37,500)"
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Sundry and Other Revenues,940A,Revenues,"(77,569)"
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,User Fees & Donations,850A,Revenues,"(7,887,100)"
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Contribution From Reserves/Reserve Funds,930A,Revenues,"(56,000)"
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Inter-Divisional Recoveries,750A,Revenues,"(37,985)"
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Licences & Permits Revenue,860A,Revenues,"(4,205,896)"
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Provincial Subsidies,805A,Revenues,"(6,000)"
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Sundry and Other Revenues,940A,Revenues,"(538,446)"
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,User Fees & Donations,850A,Revenues,"(16,270,570)"
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Contribution From Reserves/Reserve Funds,930A,Revenues,"(39,760)"
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Sundry and Other Revenues,940A,Revenues,(600)
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Transfers From Capital,920A,Revenues,"(3,266,399)"
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,User Fees & Donations,850A,Revenues,"(1,534,574)"
"Parks, Forestry & Recreation",PR-Parks,Beach Access,Licences & Permits Revenue,860A,Revenues,(451)
"Parks, Forestry & Recreation",PR-Parks,Beach Access,Sundry and Other Revenues,940A,Revenues,"(6,320)"
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Contribution From Reserves/Reserve Funds,930A,Revenues,"(27,832)"
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Sundry and Other Revenues,940A,Revenues,"(1,270,043)"
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Transfers From Capital,920A,Revenues,"(2,286,480)"
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,User Fees & Donations,850A,Revenues,"(4,040,818)"
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Contribution From Reserves/Reserve Funds,930A,Revenues,"(524,700)"
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Inter-Divisional Recoveries,750A,Revenues,"(1,000)"
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Licences & Permits Revenue,860A,Revenues,"(222,691)"
