Program,Service,Activity,Category,Category Name,Expense/Revenue,Sum - 2016
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,930A,Contribution From Reserves/Reserve Funds,Revenues,"(3,185,858)"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Computing Infrastructure,940A,Sundry and Other Revenues,Revenues,"(90,809)"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,750A,Inter-Divisional Recoveries,Revenues,"(4,999,814)"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,920A,Transfers From Capital,Revenues,"(259,914)"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,930A,Contribution From Reserves/Reserve Funds,Revenues,"(16,413)"
Information & Technology,IT-Computer & Communications Technology Infrastructure,Network & Telecommunications,940A,Sundry and Other Revenues,Revenues,"(5,591)"
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",750A,Inter-Divisional Recoveries,Revenues,"(509,866)"
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",920A,Transfers From Capital,Revenues,"(1,559,405)"
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",930A,Contribution From Reserves/Reserve Funds,Revenues,"(30,000)"
Information & Technology,IT-Enterprise IT Planning & Client Services,"Client Support, Advice & Consultation",940A,Sundry and Other Revenues,Revenues,"(24,402)"
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,750A,Inter-Divisional Recoveries,Revenues,"(1,151,365)"
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,920A,Transfers From Capital,Revenues,"(629,581)"
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,930A,Contribution From Reserves/Reserve Funds,Revenues,"(310,714)"
Information & Technology,IT-Enterprise IT Planning & Client Services,Enterprise Planning & Architecture,940A,Sundry and Other Revenues,Revenues,"(410,326)"
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,750A,Inter-Divisional Recoveries,Revenues,"(11,008)"
Information & Technology,IT-Enterprise IT Planning & Client Services,IT Project Management,920A,Transfers From Capital,Revenues,"(1,353,369)"
Legal Services,Civil Litigation,Civil Litigation,750A,Inter-Divisional Recoveries,Revenues,"(5,391,940)"
Legal Services,Civil Litigation,Civil Litigation,930A,Contribution From Reserves/Reserve Funds,Revenues,"(700,000)"
Legal Services,Prosecution,Prosecution,750A,Inter-Divisional Recoveries,Revenues,"(13,842,691)"
Legal Services,Solicitor,Solicitor,750A,Inter-Divisional Recoveries,Revenues,"(3,035,945)"
Legal Services,Solicitor,Solicitor,850A,User Fees & Donations,Revenues,"(2,529,571)"
Legal Services,Solicitor,Solicitor,920A,Transfers From Capital,Revenues,"(1,322,621)"
Legal Services,Solicitor,Solicitor,930A,Contribution From Reserves/Reserve Funds,Revenues,"(201,246)"
Legal Services,Solicitor,Solicitor,940A,Sundry and Other Revenues,Revenues,"(3,408,314)"
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,805A,Provincial Subsidies,Revenues,"(1,374,900)"
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,850A,User Fees & Donations,Revenues,"(213,000)"
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,805A,Provincial Subsidies,Revenues,"(4,076,300)"
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,805A,Provincial Subsidies,Revenues,"(5,287,900)"
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,750A,Inter-Divisional Recoveries,Revenues,"(89,700)"
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,805A,Provincial Subsidies,Revenues,"(142,944,723)"
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,850A,User Fees & Donations,Revenues,"(50,987,800)"
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,920A,Transfers From Capital,Revenues,"(260,000)"
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,930A,Contribution From Reserves/Reserve Funds,Revenues,"(103,400)"
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,940A,Sundry and Other Revenues,Revenues,"(139,000)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,850A,User Fees & Donations,Revenues,"(62,277)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,860A,Licences & Permits Revenue,Revenues,"(732,754)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,940A,Sundry and Other Revenues,Revenues,"(209,762)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,850A,User Fees & Donations,Revenues,"(235,704)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,860A,Licences & Permits Revenue,Revenues,"(98,328)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,930A,Contribution From Reserves/Reserve Funds,Revenues,"(4,000)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,940A,Sundry and Other Revenues,Revenues,"(159,210)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,850A,User Fees & Donations,Revenues,(485)
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,860A,Licences & Permits Revenue,Revenues,"(845,161)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,940A,Sundry and Other Revenues,Revenues,"(3,157)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,850A,User Fees & Donations,Revenues,"(326,572)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,860A,Licences & Permits Revenue,Revenues,"(17,110)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,930A,Contribution From Reserves/Reserve Funds,Revenues,"(6,000)"
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,940A,Sundry and Other Revenues,Revenues,"(88,785)"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,850A,User Fees & Donations,Revenues,"(543,574)"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,860A,Licences & Permits Revenue,Revenues,"(10,855,461)"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,940A,Sundry and Other Revenues,Revenues,"(32,910)"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,850A,User Fees & Donations,Revenues,"(84,556)"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,860A,Licences & Permits Revenue,Revenues,"(1,688,627)"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,940A,Sundry and Other Revenues,Revenues,"(5,119)"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,850A,User Fees & Donations,Revenues,"(36,238)"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,860A,Licences & Permits Revenue,Revenues,"(723,697)"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,940A,Sundry and Other Revenues,Revenues,"(2,194)"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,850A,User Fees & Donations,Revenues,"(543,574)"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,860A,Licences & Permits Revenue,Revenues,"(10,855,461)"
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,940A,Sundry and Other Revenues,Revenues,"(32,910)"
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,860A,Licences & Permits Revenue,Revenues,"(286,399)"
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,750A,Inter-Divisional Recoveries,Revenues,"(1,491,461)"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,850A,User Fees & Donations,Revenues,"(109,013)"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,860A,Licences & Permits Revenue,Revenues,"(43,524)"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,850A,User Fees & Donations,Revenues,"(164,025)"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,860A,Licences & Permits Revenue,Revenues,"(65,285)"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",850A,User Fees & Donations,Revenues,"(164,025)"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",860A,Licences & Permits Revenue,Revenues,"(65,285)"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,850A,User Fees & Donations,Revenues,"(109,266)"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,860A,Licences & Permits Revenue,Revenues,"(43,524)"
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,850A,User Fees & Donations,Revenues,"(7,359,250)"
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,930A,Contribution From Reserves/Reserve Funds,Revenues,"(160,312,677)"
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,940A,Sundry and Other Revenues,Revenues,"(7,407,400)"
Non-Program Revenues,Corporate Accounts,Corporate Accounts,750A,Inter-Divisional Recoveries,Revenues,"(35,299,700)"
Non-Program Revenues,Corporate Accounts,Corporate Accounts,850A,User Fees & Donations,Revenues,"(1,960,000)"
Non-Program Revenues,Corporate Accounts,Corporate Accounts,860A,Licences & Permits Revenue,Revenues,"(4,146,608)"
Non-Program Revenues,Corporate Accounts,Corporate Accounts,930A,Contribution From Reserves/Reserve Funds,Revenues,"(91,600,000)"
Non-Program Revenues,Corporate Accounts,Corporate Accounts,940A,Sundry and Other Revenues,Revenues,"(1,088,893,056)"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,750A,Inter-Divisional Recoveries,Revenues,"(29,427)"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,930A,Contribution From Reserves/Reserve Funds,Revenues,"(92,637)"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,940A,Sundry and Other Revenues,Revenues,"(11,626)"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,750A,Inter-Divisional Recoveries,Revenues,"(34,332)"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,930A,Contribution From Reserves/Reserve Funds,Revenues,"(111,661)"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,940A,Sundry and Other Revenues,Revenues,"(14,099)"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,750A,Inter-Divisional Recoveries,Revenues,"(110,130)"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,930A,Contribution From Reserves/Reserve Funds,Revenues,"(102,399)"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,940A,Sundry and Other Revenues,Revenues,"(11,775)"
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,750A,Inter-Divisional Recoveries,Revenues,"(538,447)"
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,930A,Contribution From Reserves/Reserve Funds,Revenues,"(14,484)"
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,750A,Inter-Divisional Recoveries,Revenues,"(756,984)"
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,930A,Contribution From Reserves/Reserve Funds,Revenues,"(26,442)"
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,750A,Inter-Divisional Recoveries,Revenues,"(74,550)"
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,930A,Contribution From Reserves/Reserve Funds,Revenues,"(1,044,030)"
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,750A,Inter-Divisional Recoveries,Revenues,"(192,644)"
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,930A,Contribution From Reserves/Reserve Funds,Revenues,"(625,482)"
Office of the Chief Financial Officer,F&A-Executive Leadership,F&A-Executive Leadership,750A,Inter-Divisional Recoveries,Revenues,"(87,300)"
Office of the Chief Financial Officer,F&A-Executive Leadership,F&A-Executive Leadership,930A,Contribution From Reserves/Reserve Funds,Revenues,"(114,772)"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,750A,Inter-Divisional Recoveries,Revenues,"(393,579)"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,920A,Transfers From Capital,Revenues,"(551,130)"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,930A,Contribution From Reserves/Reserve Funds,Revenues,"(35,863)"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,750A,Inter-Divisional Recoveries,Revenues,"(245,987)"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,920A,Transfers From Capital,Revenues,"(551,130)"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,930A,Contribution From Reserves/Reserve Funds,Revenues,"(22,415)"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,750A,Inter-Divisional Recoveries,Revenues,"(118,073)"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,920A,Transfers From Capital,Revenues,"(459,278)"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,930A,Contribution From Reserves/Reserve Funds,Revenues,"(10,759)"
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,750A,Inter-Divisional Recoveries,Revenues,"(226,307)"
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,920A,Transfers From Capital,Revenues,"(275,567)"
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,930A,Contribution From Reserves/Reserve Funds,Revenues,"(20,621)"
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,750A,Inter-Divisional Recoveries,Revenues,"(69,070)"
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,920A,Transfers From Capital,Revenues,"(31,500)"
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,940A,Sundry and Other Revenues,Revenues,"(13,800)"
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial Statement Preparation,750A,Inter-Divisional Recoveries,Revenues,"(161,350)"
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Management Reporting,750A,Inter-Divisional Recoveries,Revenues,"(75,720)"
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Management Reporting,920A,Transfers From Capital,Revenues,"(13,500)"
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Provincial & Federal Reports Submission,750A,Inter-Divisional Recoveries,Revenues,"(30,240)"
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,750A,Inter-Divisional Recoveries,Revenues,"(282,116)"
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,920A,Transfers From Capital,Revenues,"(222,737)"
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,940A,Sundry and Other Revenues,Revenues,"(559,582)"
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Receivable Processing,850A,User Fees & Donations,Revenues,"(8,000)"
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Receivable Processing,940A,Sundry and Other Revenues,Revenues,"(386,200)"
Office of the Treasurer,ASD-Payment Processing,ASD-Corporate Banking,920A,Transfers From Capital,Revenues,"(8,999)"
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,750A,Inter-Divisional Recoveries,Revenues,"(11,504)"
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,920A,Transfers From Capital,Revenues,"(10,562)"
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,940A,Sundry and Other Revenues,Revenues,"(100,383)"
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-SAP User Support,920A,Transfers From Capital,Revenues,"(184,201)"
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-Tax Advisory & Policy,850A,User Fees & Donations,Revenues,"(1,500)"
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-Tax Advisory & Policy,940A,Sundry and Other Revenues,Revenues,"(252,000)"
Office of the Treasurer,PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,750A,Inter-Divisional Recoveries,Revenues,"(405,134)"
Office of the Treasurer,PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,930A,Contribution From Reserves/Reserve Funds,Revenues,"(310,759)"
Office of the Treasurer,PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,940A,Sundry and Other Revenues,Revenues,"(35,000)"
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,750A,Inter-Divisional Recoveries,Revenues,"(1,906,529)"
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,850A,User Fees & Donations,Revenues,"(520,000)"
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,920A,Transfers From Capital,Revenues,"(362,585)"
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,930A,Contribution From Reserves/Reserve Funds,Revenues,"(300,000)"
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,940A,Sundry and Other Revenues,Revenues,"(143,084)"
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,PPEB-Employee Benefits & Pension Administration,750A,Inter-Divisional Recoveries,Revenues,"(58,216)"
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,PPEB-Employee Benefits & Pension Administration,930A,Contribution From Reserves/Reserve Funds,Revenues,"(52,542)"
Office of the Treasurer,PPEB-Payroll,PPEB-3rd  Party Payroll Payments & Compliance,750A,Inter-Divisional Recoveries,Revenues,"(13,075)"
Office of the Treasurer,PPEB-Payroll,PPEB-3rd  Party Payroll Payments & Compliance,930A,Contribution From Reserves/Reserve Funds,Revenues,"(105,085)"
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,750A,Inter-Divisional Recoveries,Revenues,"(272,399)"
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,920A,Transfers From Capital,Revenues,"(4,498,298)"
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,930A,Contribution From Reserves/Reserve Funds,Revenues,"(683,052)"
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,750A,Inter-Divisional Recoveries,Revenues,"(104,600)"
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,930A,Contribution From Reserves/Reserve Funds,Revenues,"(210,170)"
Office of the Treasurer,RS-Parking Ticket,RS-Parking Ticket Processing,750A,Inter-Divisional Recoveries,Revenues,"(3,594,184)"
Office of the Treasurer,RS-Property Tax Billing,RS-Apportionments of Property Tax,850A,User Fees & Donations,Revenues,"(15,930)"
Office of the Treasurer,RS-Property Tax Billing,RS-Property Assessment Reviews,750A,Inter-Divisional Recoveries,Revenues,"(870,487)"
Office of the Treasurer,RS-Property Tax Billing,RS-Property Tax & Payment in Lieu of Tax Billing,850A,User Fees & Donations,Revenues,"(908,984)"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,750A,Inter-Divisional Recoveries,Revenues,"(1,593,781)"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,850A,User Fees & Donations,Revenues,"(7,417,604)"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Municipal Land Transfer Tax,750A,Inter-Divisional Recoveries,Revenues,"(1,490,171)"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,750A,Inter-Divisional Recoveries,Revenues,"(1,843,364)"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,750A,Inter-Divisional Recoveries,Revenues,"(378,983)"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,850A,User Fees & Donations,Revenues,"(375,465)"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,750A,Inter-Divisional Recoveries,Revenues,"(966,910)"
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,850A,User Fees & Donations,Revenues,"(212,880)"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,750A,Inter-Divisional Recoveries,Revenues,"(3,415,987)"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,850A,User Fees & Donations,Revenues,"(65,499)"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,750A,Inter-Divisional Recoveries,Revenues,"(2,771,637)"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,850A,User Fees & Donations,Revenues,"(164,243)"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,750A,Inter-Divisional Recoveries,Revenues,"(952,774)"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,850A,User Fees & Donations,Revenues,"(3,016,048)"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,920A,Transfers From Capital,Revenues,"(191,757)"
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,940A,Sundry and Other Revenues,Revenues,"(1,717,885)"
Office of the Treasurer,RS-Utility Billing,RS-Meter Reading Operations,750A,Inter-Divisional Recoveries,Revenues,"(1,127,291)"
Office of the Treasurer,RS-Utility Billing,RS-Solid Waste Billings,750A,Inter-Divisional Recoveries,Revenues,"(1,633,543)"
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,750A,Inter-Divisional Recoveries,Revenues,"(1,245,911)"
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,940A,Sundry and Other Revenues,Revenues,"(370,000)"
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,750A,Inter-Divisional Recoveries,Revenues,"(1,416,000)"
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,805A,Provincial Subsidies,Revenues,"(3,000)"
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,850A,User Fees & Donations,Revenues,"(1,076,327)"
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,860A,Licences & Permits Revenue,Revenues,"(348,164)"
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,930A,Contribution From Reserves/Reserve Funds,Revenues,"(97,000)"
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,940A,Sundry and Other Revenues,Revenues,"(54,445)"
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,750A,Inter-Divisional Recoveries,Revenues,"(2,486,525)"
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,805A,Provincial Subsidies,Revenues,"(663,472)"
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,850A,User Fees & Donations,Revenues,"(36,525,509)"
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,860A,Licences & Permits Revenue,Revenues,"(748,537)"
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,940A,Sundry and Other Revenues,Revenues,"(152,615)"
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,805A,Provincial Subsidies,Revenues,"(37,500)"
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,850A,User Fees & Donations,Revenues,"(5,879,596)"
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,860A,Licences & Permits Revenue,Revenues,"(431,459)"
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,940A,Sundry and Other Revenues,Revenues,"(77,569)"
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,750A,Inter-Divisional Recoveries,Revenues,"(129,471)"
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,805A,Provincial Subsidies,Revenues,"(6,000)"
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,850A,User Fees & Donations,Revenues,"(14,431,164)"
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,860A,Licences & Permits Revenue,Revenues,"(2,529,670)"
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,940A,Sundry and Other Revenues,Revenues,"(245,144)"
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,850A,User Fees & Donations,Revenues,"(1,534,574)"
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,920A,Transfers From Capital,Revenues,"(4,824,010)"
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,930A,Contribution From Reserves/Reserve Funds,Revenues,(0)
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,940A,Sundry and Other Revenues,Revenues,(600)
"Parks, Forestry & Recreation",PR-Parks,Beach Access,750A,Inter-Divisional Recoveries,Revenues,"(15,000)"
"Parks, Forestry & Recreation",PR-Parks,Beach Access,940A,Sundry and Other Revenues,Revenues,"(6,320)"
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,850A,User Fees & Donations,Revenues,"(4,040,818)"
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,920A,Transfers From Capital,Revenues,"(3,537,683)"
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,940A,Sundry and Other Revenues,Revenues,"(1,070,043)"
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",750A,Inter-Divisional Recoveries,Revenues,"(1,000)"
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",860A,Licences & Permits Revenue,Revenues,"(179,207)"
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",930A,Contribution From Reserves/Reserve Funds,Revenues,"(524,700)"
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",940A,Sundry and Other Revenues,Revenues,"(37,832)"
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,750A,Inter-Divisional Recoveries,Revenues,"(1,291,065)"
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,850A,User Fees & Donations,Revenues,"(6,132,217)"
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,860A,Licences & Permits Revenue,Revenues,"(3,721,233)"
