311 Toronto,311 Service Delivery,311 Service Delivery,750A,Inter-Divisional Recoveries,Revenues,5693589
Legal Services,Solicitor,Solicitor,850A,User Fees & Donations,Revenues,2529571
Legal Services,Solicitor,Solicitor,920A,Transfers From Capital,Revenues,1322621
Legal Services,Solicitor,Solicitor,930A,Contribution From Reserves/Reserve Funds,Revenues,201246
Legal Services,Solicitor,Solicitor,940A,Sundry and Other Revenues,Revenues,3408314
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,805A,Provincial Subsidies,Revenues,1374900
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Adult Day Program,850A,User Fees & Donations,Revenues,213000
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,805A,Provincial Subsidies,Revenues,4076300
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,805A,Provincial Subsidies,Revenues,5287900
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,750A,Inter-Divisional Recoveries,Revenues,89700
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,805A,Provincial Subsidies,Revenues,142944723
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,850A,User Fees & Donations,Revenues,50987800
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,920A,Transfers From Capital,Revenues,260000
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,930A,Contribution From Reserves/Reserve Funds,Revenues,103400
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,940A,Sundry and Other Revenues,Revenues,139000
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,850A,User Fees & Donations,Revenues,62277
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,860A,Licences & Permits Revenue,Revenues,732754
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,940A,Sundry and Other Revenues,Revenues,209762
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,850A,User Fees & Donations,Revenues,235704
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,860A,Licences & Permits Revenue,Revenues,98328
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,930A,Contribution From Reserves/Reserve Funds,Revenues,4000
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,940A,Sundry and Other Revenues,Revenues,159210
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,850A,User Fees & Donations,Revenues,485
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,860A,Licences & Permits Revenue,Revenues,845161
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,940A,Sundry and Other Revenues,Revenues,3157
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,850A,User Fees & Donations,Revenues,326572
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,860A,Licences & Permits Revenue,Revenues,17110
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,930A,Contribution From Reserves/Reserve Funds,Revenues,6000
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,940A,Sundry and Other Revenues,Revenues,88785
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,850A,User Fees & Donations,Revenues,543574
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,860A,Licences & Permits Revenue,Revenues,10855461
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,940A,Sundry and Other Revenues,Revenues,32910
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,850A,User Fees & Donations,Revenues,84556
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,860A,Licences & Permits Revenue,Revenues,1688627
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,940A,Sundry and Other Revenues,Revenues,5119
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,850A,User Fees & Donations,Revenues,36238
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,860A,Licences & Permits Revenue,Revenues,723697
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,940A,Sundry and Other Revenues,Revenues,2194
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,850A,User Fees & Donations,Revenues,543574
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,860A,Licences & Permits Revenue,Revenues,10855461
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,940A,Sundry and Other Revenues,Revenues,32910
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,860A,Licences & Permits Revenue,Revenues,286399
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,750A,Inter-Divisional Recoveries,Revenues,1491461
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,850A,User Fees & Donations,Revenues,109013
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,860A,Licences & Permits Revenue,Revenues,43524
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,850A,User Fees & Donations,Revenues,164025
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,860A,Licences & Permits Revenue,Revenues,65285
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",850A,User Fees & Donations,Revenues,164025
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",860A,Licences & Permits Revenue,Revenues,65285
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,850A,User Fees & Donations,Revenues,109266
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,860A,Licences & Permits Revenue,Revenues,43524
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,850A,User Fees & Donations,Revenues,7359250
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,930A,Contribution From Reserves/Reserve Funds,Revenues,160312677
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,940A,Sundry and Other Revenues,Revenues,7407400
Non-Program Revenues,Corporate Accounts,Corporate Accounts,750A,Inter-Divisional Recoveries,Revenues,35299700
Non-Program Revenues,Corporate Accounts,Corporate Accounts,850A,User Fees & Donations,Revenues,1960000
Non-Program Revenues,Corporate Accounts,Corporate Accounts,860A,Licences & Permits Revenue,Revenues,4146608
Non-Program Revenues,Corporate Accounts,Corporate Accounts,930A,Contribution From Reserves/Reserve Funds,Revenues,91600000
Non-Program Revenues,Corporate Accounts,Corporate Accounts,940A,Sundry and Other Revenues,Revenues,1088893056
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,750A,Inter-Divisional Recoveries,Revenues,29427
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,930A,Contribution From Reserves/Reserve Funds,Revenues,92637
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,940A,Sundry and Other Revenues,Revenues,11626
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,750A,Inter-Divisional Recoveries,Revenues,34332
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,930A,Contribution From Reserves/Reserve Funds,Revenues,111661
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,940A,Sundry and Other Revenues,Revenues,14099
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,750A,Inter-Divisional Recoveries,Revenues,110130
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,930A,Contribution From Reserves/Reserve Funds,Revenues,102399
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,940A,Sundry and Other Revenues,Revenues,11775
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,750A,Inter-Divisional Recoveries,Revenues,538447
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,930A,Contribution From Reserves/Reserve Funds,Revenues,14484
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,750A,Inter-Divisional Recoveries,Revenues,756984
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,930A,Contribution From Reserves/Reserve Funds,Revenues,26442
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,750A,Inter-Divisional Recoveries,Revenues,74550
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,930A,Contribution From Reserves/Reserve Funds,Revenues,1044030
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,750A,Inter-Divisional Recoveries,Revenues,192644
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,930A,Contribution From Reserves/Reserve Funds,Revenues,625482
Office of the Chief Financial Officer,F&A-Executive Leadership,F&A-Executive Leadership,750A,Inter-Divisional Recoveries,Revenues,87300
Office of the Chief Financial Officer,F&A-Executive Leadership,F&A-Executive Leadership,930A,Contribution From Reserves/Reserve Funds,Revenues,114772
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,750A,Inter-Divisional Recoveries,Revenues,393579
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,920A,Transfers From Capital,Revenues,551130
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,930A,Contribution From Reserves/Reserve Funds,Revenues,35863
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,750A,Inter-Divisional Recoveries,Revenues,245987
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,920A,Transfers From Capital,Revenues,551130
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,930A,Contribution From Reserves/Reserve Funds,Revenues,22415
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,750A,Inter-Divisional Recoveries,Revenues,118073
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,920A,Transfers From Capital,Revenues,459278
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,930A,Contribution From Reserves/Reserve Funds,Revenues,10759
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,750A,Inter-Divisional Recoveries,Revenues,226307
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,920A,Transfers From Capital,Revenues,275567
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,930A,Contribution From Reserves/Reserve Funds,Revenues,20621
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,750A,Inter-Divisional Recoveries,Revenues,69070
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,920A,Transfers From Capital,Revenues,31500
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,940A,Sundry and Other Revenues,Revenues,13800
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial Statement Preparation,750A,Inter-Divisional Recoveries,Revenues,161350
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Management Reporting,750A,Inter-Divisional Recoveries,Revenues,75720
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Management Reporting,920A,Transfers From Capital,Revenues,13500
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Provincial & Federal Reports Submission,750A,Inter-Divisional Recoveries,Revenues,30240
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,750A,Inter-Divisional Recoveries,Revenues,282116
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,920A,Transfers From Capital,Revenues,222737
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,940A,Sundry and Other Revenues,Revenues,559582
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Receivable Processing,850A,User Fees & Donations,Revenues,8000
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Receivable Processing,940A,Sundry and Other Revenues,Revenues,386200
Office of the Treasurer,ASD-Payment Processing,ASD-Corporate Banking,920A,Transfers From Capital,Revenues,8999
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,750A,Inter-Divisional Recoveries,Revenues,11504
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,920A,Transfers From Capital,Revenues,10562
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,940A,Sundry and Other Revenues,Revenues,100383
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-SAP User Support,920A,Transfers From Capital,Revenues,184201
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-Tax Advisory & Policy,850A,User Fees & Donations,Revenues,1500
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-Tax Advisory & Policy,940A,Sundry and Other Revenues,Revenues,252000
Office of the Treasurer,PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,750A,Inter-Divisional Recoveries,Revenues,405134
Office of the Treasurer,PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,930A,Contribution From Reserves/Reserve Funds,Revenues,310759
Office of the Treasurer,PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,940A,Sundry and Other Revenues,Revenues,35000
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,750A,Inter-Divisional Recoveries,Revenues,1906529
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,850A,User Fees & Donations,Revenues,520000
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,920A,Transfers From Capital,Revenues,362585
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,930A,Contribution From Reserves/Reserve Funds,Revenues,300000
Office of the Treasurer,PMM-Purchasing,PMM-Purchasing,940A,Sundry and Other Revenues,Revenues,143084
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,PPEB-Employee Benefits & Pension Administration,750A,Inter-Divisional Recoveries,Revenues,58216
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,PPEB-Employee Benefits & Pension Administration,930A,Contribution From Reserves/Reserve Funds,Revenues,52542
Office of the Treasurer,PPEB-Payroll,PPEB-3rd  Party Payroll Payments & Compliance,750A,Inter-Divisional Recoveries,Revenues,13075
Office of the Treasurer,PPEB-Payroll,PPEB-3rd  Party Payroll Payments & Compliance,930A,Contribution From Reserves/Reserve Funds,Revenues,105085
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,750A,Inter-Divisional Recoveries,Revenues,272399
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,920A,Transfers From Capital,Revenues,4498298
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,930A,Contribution From Reserves/Reserve Funds,Revenues,683052
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,750A,Inter-Divisional Recoveries,Revenues,104600
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,930A,Contribution From Reserves/Reserve Funds,Revenues,210170
Office of the Treasurer,RS-Parking Ticket,RS-Parking Ticket Processing,750A,Inter-Divisional Recoveries,Revenues,3594184
Office of the Treasurer,RS-Property Tax Billing,RS-Apportionments of Property Tax,850A,User Fees & Donations,Revenues,15930
Office of the Treasurer,RS-Property Tax Billing,RS-Property Assessment Reviews,750A,Inter-Divisional Recoveries,Revenues,870487
Office of the Treasurer,RS-Property Tax Billing,RS-Property Tax & Payment in Lieu of Tax Billing,850A,User Fees & Donations,Revenues,908984
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,750A,Inter-Divisional Recoveries,Revenues,1593781
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,850A,User Fees & Donations,Revenues,7417604
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Municipal Land Transfer Tax,750A,Inter-Divisional Recoveries,Revenues,1490171
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,750A,Inter-Divisional Recoveries,Revenues,1843364
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,750A,Inter-Divisional Recoveries,Revenues,378983
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,850A,User Fees & Donations,Revenues,375465
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,750A,Inter-Divisional Recoveries,Revenues,966910
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,850A,User Fees & Donations,Revenues,212880
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,750A,Inter-Divisional Recoveries,Revenues,3415987
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,850A,User Fees & Donations,Revenues,65499
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,750A,Inter-Divisional Recoveries,Revenues,2771637
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,850A,User Fees & Donations,Revenues,164243
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,750A,Inter-Divisional Recoveries,Revenues,952774
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,850A,User Fees & Donations,Revenues,3016048
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,920A,Transfers From Capital,Revenues,191757
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,940A,Sundry and Other Revenues,Revenues,1717885
Office of the Treasurer,RS-Utility Billing,RS-Meter Reading Operations,750A,Inter-Divisional Recoveries,Revenues,1127291
Office of the Treasurer,RS-Utility Billing,RS-Solid Waste Billings,750A,Inter-Divisional Recoveries,Revenues,1633543
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,750A,Inter-Divisional Recoveries,Revenues,1245911
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,940A,Sundry and Other Revenues,Revenues,370000
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,750A,Inter-Divisional Recoveries,Revenues,1416000
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,805A,Provincial Subsidies,Revenues,3000
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,850A,User Fees & Donations,Revenues,1076327
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,860A,Licences & Permits Revenue,Revenues,348164
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,930A,Contribution From Reserves/Reserve Funds,Revenues,97000
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,940A,Sundry and Other Revenues,Revenues,54445
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,750A,Inter-Divisional Recoveries,Revenues,2486525
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,805A,Provincial Subsidies,Revenues,663472
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,850A,User Fees & Donations,Revenues,36525509
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,860A,Licences & Permits Revenue,Revenues,748537
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,940A,Sundry and Other Revenues,Revenues,152615
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,805A,Provincial Subsidies,Revenues,37500
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,850A,User Fees & Donations,Revenues,5879596
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,860A,Licences & Permits Revenue,Revenues,431459
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,940A,Sundry and Other Revenues,Revenues,77569
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,750A,Inter-Divisional Recoveries,Revenues,129471
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,805A,Provincial Subsidies,Revenues,6000
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,850A,User Fees & Donations,Revenues,14431164
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,860A,Licences & Permits Revenue,Revenues,2529670
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,940A,Sundry and Other Revenues,Revenues,245144
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,850A,User Fees & Donations,Revenues,1534574
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,920A,Transfers From Capital,Revenues,4824010
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,930A,Contribution From Reserves/Reserve Funds,Revenues,0
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,940A,Sundry and Other Revenues,Revenues,600
"Parks, Forestry & Recreation",PR-Parks,Beach Access,750A,Inter-Divisional Recoveries,Revenues,15000
"Parks, Forestry & Recreation",PR-Parks,Beach Access,940A,Sundry and Other Revenues,Revenues,6320
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,850A,User Fees & Donations,Revenues,4040818
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,920A,Transfers From Capital,Revenues,3537683
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,940A,Sundry and Other Revenues,Revenues,1070043
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",750A,Inter-Divisional Recoveries,Revenues,1000
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",860A,Licences & Permits Revenue,Revenues,179207
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",930A,Contribution From Reserves/Reserve Funds,Revenues,524700
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",940A,Sundry and Other Revenues,Revenues,37832
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,750A,Inter-Divisional Recoveries,Revenues,1291065
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,850A,User Fees & Donations,Revenues,6132217
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,860A,Licences & Permits Revenue,Revenues,3721233
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,930A,Contribution From Reserves/Reserve Funds,Revenues,-81520
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,940A,Sundry and Other Revenues,Revenues,930160
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,750A,Inter-Divisional Recoveries,Revenues,232600
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,940A,Sundry and Other Revenues,Revenues,3488
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,750A,Inter-Divisional Recoveries,Revenues,44550
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,850A,User Fees & Donations,Revenues,7434021
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,860A,Licences & Permits Revenue,Revenues,28517
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,940A,Sundry and Other Revenues,Revenues,32832
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,750A,Inter-Divisional Recoveries,Revenues,37500
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,810A,Federal Subsidies,Revenues,3500000
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,930A,Contribution From Reserves/Reserve Funds,Revenues,13182087
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,940A,Sundry and Other Revenues,Revenues,1753127
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,750A,Inter-Divisional Recoveries,Revenues,1962500
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,850A,User Fees & Donations,Revenues,600000
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,930A,Contribution From Reserves/Reserve Funds,Revenues,797242
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,940A,Sundry and Other Revenues,Revenues,4511128
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,850A,User Fees & Donations,Revenues,3209634
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,850A,User Fees & Donations,Revenues,1747
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,920A,Transfers From Capital,Revenues,1447203
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,930A,Contribution From Reserves/Reserve Funds,Revenues,-0
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,750A,Inter-Divisional Recoveries,Revenues,1191161
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,940A,Sundry and Other Revenues,Revenues,222040
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,805A,Provincial Subsidies,Revenues,225000
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,930A,Contribution From Reserves/Reserve Funds,Revenues,875
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,940A,Sundry and Other Revenues,Revenues,9125
"Policy, Planning, Finance & Administration",PA-Financial Management,Budget Planning & coordination,750A,Inter-Divisional Recoveries,Revenues,946687
"Policy, Planning, Finance & Administration",PA-Financial Management,Financial Transaction & Payment Processing,750A,Inter-Divisional Recoveries,Revenues,3087023
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,750A,Inter-Divisional Recoveries,Revenues,205802
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,920A,Transfers From Capital,Revenues,114615
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,750A,Inter-Divisional Recoveries,Revenues,1029008
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,920A,Transfers From Capital,Revenues,573076
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,750A,Inter-Divisional Recoveries,Revenues,1234809
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,920A,Transfers From Capital,Revenues,687691
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,940A,Sundry and Other Revenues,Revenues,103781
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,750A,Inter-Divisional Recoveries,Revenues,1646412
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,920A,Transfers From Capital,Revenues,916922
Property Tax,Property Tax,Property Tax,940A,Property Tax,Revenues,3954268271
