_META_START_,,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,850A,User Fees & Donations,46484,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,930A,Contribution From Reserves/Reserve Funds,4000,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,750A,Inter-Divisional Recoveries,50000,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,860A,Licences & Permits Revenue,133023,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,940A,Sundry and Other Revenues,86626,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,850A,User Fees & Donations,295337,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,860A,Licences & Permits Revenue,1095705,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,940A,Sundry and Other Revenues,-19153,Non-normal value
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,850A,User Fees & Donations,356,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,930A,Contribution From Reserves/Reserve Funds,6000,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,860A,Licences & Permits Revenue,29829,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,940A,Sundry and Other Revenues,48283,
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,850A,User Fees & Donations,438711,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,860A,Licences & Permits Revenue,11971324,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,940A,Sundry and Other Revenues,42697,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,850A,User Fees & Donations,791256,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,860A,Licences & Permits Revenue,1088302,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,940A,Sundry and Other Revenues,3882,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,850A,User Fees & Donations,71932,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,860A,Licences & Permits Revenue,8706417,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,940A,Sundry and Other Revenues,31053,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,850A,User Fees & Donations,575459,
Municipal Licensing & Standards,MS-By-Law Enforcement,Animal By-Law Enforcement,860A,Licences & Permits Revenue,286118,
Municipal Licensing & Standards,MS-By-Law Enforcement,Parks By-Law Enforcement,940A,Sundry and Other Revenues,1250,
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,750A,Inter-Divisional Recoveries,1491461,
Municipal Licensing & Standards,MS-By-Law Enforcement,Waste By-Law Enforcement,850A,User Fees & Donations,10181,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,860A,Licences & Permits Revenue,42680,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,940A,Sundry and Other Revenues,2000,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Exemptions & Permits,850A,User Fees & Donations,234750,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,860A,Licences & Permits Revenue,64020,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,940A,Sundry and Other Revenues,3000,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,850A,User Fees & Donations,427124,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",860A,Licences & Permits Revenue,64020,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",940A,Sundry and Other Revenues,3000,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",850A,User Fees & Donations,427124,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,860A,Licences & Permits Revenue,42680,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,940A,Sundry and Other Revenues,2000,
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,850A,User Fees & Donations,272250,
Non-Program Expenditures,Corporate Accounts,,930A,Contribution From Reserves/Reserve Funds,159878514,
Non-Program Expenditures,Corporate Accounts,,940A,Sundry and Other Revenues,6621288,
Non-Program Expenditures,Corporate Accounts,,850A,User Fees & Donations,1952942,
Non-Program Revenues,Corporate Accounts,,930A,Contribution From Reserves/Reserve Funds,91600000,
Non-Program Revenues,Corporate Accounts,,750A,Inter-Divisional Recoveries,35299700,
Non-Program Revenues,Corporate Accounts,,860A,Licences & Permits Revenue,4002823,
Non-Program Revenues,Corporate Accounts,,805A,Provincial Subsidies,42978535,
Non-Program Revenues,Corporate Accounts,,940A,Sundry and Other Revenues,1046900691,
Non-Program Revenues,Corporate Accounts,,850A,User Fees & Donations,1994876,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,930A,Contribution From Reserves/Reserve Funds,89286,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,750A,Inter-Divisional Recoveries,28281,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,940A,Sundry and Other Revenues,20799,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,930A,Contribution From Reserves/Reserve Funds,107623,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,750A,Inter-Divisional Recoveries,32995,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,940A,Sundry and Other Revenues,25226,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,930A,Contribution From Reserves/Reserve Funds,98670,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,750A,Inter-Divisional Recoveries,108321,
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,940A,Sundry and Other Revenues,21067,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,930A,Contribution From Reserves/Reserve Funds,13920,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,750A,Inter-Divisional Recoveries,542148,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,930A,Contribution From Reserves/Reserve Funds,25412,
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,750A,Inter-Divisional Recoveries,698389,
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,930A,Contribution From Reserves/Reserve Funds,1030052,
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,750A,Inter-Divisional Recoveries,71646,
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,930A,Contribution From Reserves/Reserve Funds,616860,
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,750A,Inter-Divisional Recoveries,183963,
Office of the Chief Financial Officer,F&A-Executive Leadership,,930A,Contribution From Reserves/Reserve Funds,99015,
Office of the Chief Financial Officer,F&A-Executive Leadership,,750A,Inter-Divisional Recoveries,87300,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,750A,Inter-Divisional Recoveries,381778,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,920A,Transfers From Capital,577585,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,750A,Inter-Divisional Recoveries,238612,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,920A,Transfers From Capital,577585,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,750A,Inter-Divisional Recoveries,114534,
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,920A,Transfers From Capital,481323,
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,,750A,Inter-Divisional Recoveries,219521,
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,,920A,Transfers From Capital,288793,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,750A,Inter-Divisional Recoveries,69070,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,940A,Sundry and Other Revenues,12300,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,920A,Transfers From Capital,31500,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial Statement Preparation,750A,Inter-Divisional Recoveries,161350,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Management Reporting,750A,Inter-Divisional Recoveries,75720,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Management Reporting,920A,Transfers From Capital,13500,
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Provincial & Federal Reports Submission,750A,Inter-Divisional Recoveries,30240,
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,750A,Inter-Divisional Recoveries,282116,
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,940A,Sundry and Other Revenues,512582,
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Payable Processing,920A,Transfers From Capital,223737,
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Receivable Processing,940A,Sundry and Other Revenues,337700,
Office of the Treasurer,ASD-Payment Processing,ASD-Accounts Receivable Processing,850A,User Fees & Donations,8000,
Office of the Treasurer,ASD-Payment Processing,ASD-Corporate Banking,920A,Transfers From Capital,8999,
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,750A,Inter-Divisional Recoveries,11504,
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,940A,Sundry and Other Revenues,97383,
Office of the Treasurer,ASD-Payment Processing,ASD-PCard Processing,920A,Transfers From Capital,10562,
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-SAP User Support,920A,Transfers From Capital,191501,
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-Tax Advisory & Policy,940A,Sundry and Other Revenues,252000,
Office of the Treasurer,ASD-Tax & Financial System Support,ASD-Tax Advisory & Policy,850A,User Fees & Donations,1500,
Office of the Treasurer,PMM-Materials Management Stores & Distribution,,930A,Contribution From Reserves/Reserve Funds,326822,
Office of the Treasurer,PMM-Materials Management Stores & Distribution,,750A,Inter-Divisional Recoveries,407210,
Office of the Treasurer,PMM-Materials Management Stores & Distribution,,940A,Sundry and Other Revenues,35000,
Office of the Treasurer,PMM-Purchasing,,930A,Contribution From Reserves/Reserve Funds,300000,
Office of the Treasurer,PMM-Purchasing,,750A,Inter-Divisional Recoveries,1780173,
Office of the Treasurer,PMM-Purchasing,,940A,Sundry and Other Revenues,143084,
Office of the Treasurer,PMM-Purchasing,,920A,Transfers From Capital,334750,
Office of the Treasurer,PMM-Purchasing,,850A,User Fees & Donations,520000,
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,PPEB-Employee Benefits & Pension Administration,930A,Contribution From Reserves/Reserve Funds,52542,
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,PPEB-Employee Benefits & Pension Administration,750A,Inter-Divisional Recoveries,58216,
Office of the Treasurer,PPEB-Payroll,PPEB-3rd  Party Payroll Payments & Compliance,930A,Contribution From Reserves/Reserve Funds,105085,
Office of the Treasurer,PPEB-Payroll,PPEB-3rd  Party Payroll Payments & Compliance,750A,Inter-Divisional Recoveries,13075,
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,930A,Contribution From Reserves/Reserve Funds,683052,
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,750A,Inter-Divisional Recoveries,272399,
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,920A,Transfers From Capital,3770309,
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,930A,Contribution From Reserves/Reserve Funds,210170,
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,750A,Inter-Divisional Recoveries,104600,
Office of the Treasurer,RS-Parking Ticket,RS-Parking Ticket Processing,750A,Inter-Divisional Recoveries,3503665,
Office of the Treasurer,RS-Property Tax Billing,RS-Apportionments of Property Tax,850A,User Fees & Donations,15615,
Office of the Treasurer,RS-Property Tax Billing,RS-Property Assessment Reviews,750A,Inter-Divisional Recoveries,871946,
Office of the Treasurer,RS-Property Tax Billing,RS-Property Tax & Payment in Lieu of Tax Billing,850A,User Fees & Donations,891009,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,750A,Inter-Divisional Recoveries,1583918,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,850A,User Fees & Donations,7266205,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Municipal Land Transfer Tax,750A,Inter-Divisional Recoveries,1466060,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,750A,Inter-Divisional Recoveries,1906629,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,750A,Inter-Divisional Recoveries,371727,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,850A,User Fees & Donations,367895,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,750A,Inter-Divisional Recoveries,959889,
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,850A,User Fees & Donations,212880,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,750A,Inter-Divisional Recoveries,3474841,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,850A,User Fees & Donations,64181,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,750A,Inter-Divisional Recoveries,2717618,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,850A,User Fees & Donations,160871,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,750A,Inter-Divisional Recoveries,948290,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,940A,Sundry and Other Revenues,1717885,
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,850A,User Fees & Donations,2427777,
Office of the Treasurer,RS-Utility Billing,RS-Meter Reading Operations,750A,Inter-Divisional Recoveries,1126096,
Office of the Treasurer,RS-Utility Billing,RS-Solid Waste Billings,750A,Inter-Divisional Recoveries,1705608,
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,750A,Inter-Divisional Recoveries,1408598,
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,940A,Sundry and Other Revenues,293000,
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,930A,Contribution From Reserves/Reserve Funds,477124,
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,750A,Inter-Divisional Recoveries,2720725,
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,805A,Provincial Subsidies,13000,
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,940A,Sundry and Other Revenues,54445,
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,850A,User Fees & Donations,385866,
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,930A,Contribution From Reserves/Reserve Funds,42000,
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,750A,Inter-Divisional Recoveries,1219399,
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,805A,Provincial Subsidies,563472,
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,940A,Sundry and Other Revenues,152615,
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,850A,User Fees & Donations,30478314,
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,930A,Contribution From Reserves/Reserve Funds,28000,
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,750A,Inter-Divisional Recoveries,46349,
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,805A,Provincial Subsidies,37500,
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,940A,Sundry and Other Revenues,77569,
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,850A,User Fees & Donations,7887100,
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,930A,Contribution From Reserves/Reserve Funds,56000,
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,750A,Inter-Divisional Recoveries,37985,
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,860A,Licences & Permits Revenue,4205896,
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,805A,Provincial Subsidies,6000,
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,940A,Sundry and Other Revenues,538446,
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,850A,User Fees & Donations,16270570,
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,930A,Contribution From Reserves/Reserve Funds,39760,
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,940A,Sundry and Other Revenues,600,
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,920A,Transfers From Capital,3266399,
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,850A,User Fees & Donations,1534574,
"Parks, Forestry & Recreation",PR-Parks,Beach Access,860A,Licences & Permits Revenue,451,
"Parks, Forestry & Recreation",PR-Parks,Beach Access,940A,Sundry and Other Revenues,6320,
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,930A,Contribution From Reserves/Reserve Funds,27832,
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,940A,Sundry and Other Revenues,1270043,
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,920A,Transfers From Capital,2286480,
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,850A,User Fees & Donations,4040818,
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",930A,Contribution From Reserves/Reserve Funds,524700,
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",750A,Inter-Divisional Recoveries,1000,
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",860A,Licences & Permits Revenue,222691,
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",940A,Sundry and Other Revenues,67730,
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,930A,Contribution From Reserves/Reserve Funds,1260383,
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,750A,Inter-Divisional Recoveries,1258681,
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,860A,Licences & Permits Revenue,3869131,
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,805A,Provincial Subsidies,170000,
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,940A,Sundry and Other Revenues,987660,
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,850A,User Fees & Donations,5956135,
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,750A,Inter-Divisional Recoveries,232600,
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,860A,Licences & Permits Revenue,84,
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,940A,Sundry and Other Revenues,3488,
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,750A,Inter-Divisional Recoveries,44550,
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,850A,User Fees & Donations,6737659,
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,860A,Licences & Permits Revenue,27672,
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,940A,Sundry and Other Revenues,32832,
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,850A,User Fees & Donations,78301,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,930A,Contribution From Reserves/Reserve Funds,17924364,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,810A,Federal Subsidies,3500000,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,750A,Inter-Divisional Recoveries,37500,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,940A,Sundry and Other Revenues,148752,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,930A,Contribution From Reserves/Reserve Funds,2475446,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,750A,Inter-Divisional Recoveries,1962500,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,940A,Sundry and Other Revenues,365503,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,850A,User Fees & Donations,600000,
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,850A,User Fees & Donations,2712188,
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,930A,Contribution From Reserves/Reserve Funds,11928,
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,920A,Transfers From Capital,979920,
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,850A,User Fees & Donations,1747,
"Policy, Planning, Finance & Administration",Organizational Effectiveness,,750A,Inter-Divisional Recoveries,1044194,
"Policy, Planning, Finance & Administration",Organizational Effectiveness,,940A,Sundry and Other Revenues,222040,
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,930A,Contribution From Reserves/Reserve Funds,875,
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,805A,Provincial Subsidies,225000,
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,940A,Sundry and Other Revenues,9125,
"Policy, Planning, Finance & Administration",PA-Financial Management,Budget Planning & coordination,750A,Inter-Divisional Recoveries,966829,
"Policy, Planning, Finance & Administration",PA-Financial Management,Financial Transaction & Payment Processing,750A,Inter-Divisional Recoveries,3152705,
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,750A,Inter-Divisional Recoveries,210180,
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,920A,Transfers From Capital,114615,
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,750A,Inter-Divisional Recoveries,1050902,
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,920A,Transfers From Capital,573076,
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,750A,Inter-Divisional Recoveries,1261082,
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,920A,Transfers From Capital,785299,
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,750A,Inter-Divisional Recoveries,1681443,
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,920A,Transfers From Capital,916922,
Property Tax,,,940A,Property Tax,3848634765,
Property Tax,Special Levy for Scarborough Subway (Reserve Contribution),,940A,Special Levy for Scarborough Subway (Reserve Contribution),24846399,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,930A,Contribution From Reserves/Reserve Funds,416000,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,810A,Federal Subsidies,17296389,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,750A,Inter-Divisional Recoveries,3769,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,805A,Provincial Subsidies,18677996,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,940A,Sundry and Other Revenues,-179778,Non-normal value
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,920A,Transfers From Capital,70012,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,930A,Contribution From Reserves/Reserve Funds,3790,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,750A,Inter-Divisional Recoveries,3769,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,805A,Provincial Subsidies,75542467,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,940A,Sundry and Other Revenues,127610,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,920A,Transfers From Capital,50012,
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,850A,User Fees & Donations,472800,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,930A,Contribution From Reserves/Reserve Funds,7550000,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,750A,Inter-Divisional Recoveries,1238,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,805A,Provincial Subsidies,29183089,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,940A,Sundry and Other Revenues,29738,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage New Affordable Housing/Other Non Subsidized Programs,920A,Transfers From Capital,16422,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,930A,Contribution From Reserves/Reserve Funds,5993188,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,810A,Federal Subsidies,30741183,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,750A,Inter-Divisional Recoveries,1238,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,820A,Other Subsidies,16710555,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,805A,Provincial Subsidies,20241333,
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Manage Rent Subsidies & Housing Allowances,940A,Sundry and Other Revenues,29738,
