_META_START_,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,
PARKING,Toronto Parking Authority,850A,User Fees & Donations,124332.5
PARKING,Toronto Parking Authority,920A,Transfers from Capital Fund,
PARKING,Toronto Parking Authority,930A,Contribution from Reserve Funds,
PARKING,Toronto Parking Authority,930A,Contribution from Reserve,
PARKING,Toronto Parking Authority,940A,Sundry Revenues,4397.4
POLICEBOARD,Toronto Police Services Board,750A,Interdivisional Recoveries,
POLICEBOARD,Toronto Police Services Board,805A,Provincial Subsidies,
POLICEBOARD,Toronto Police Services Board,810A,Federal Subsidies,
POLICEBOARD,Toronto Police Services Board,820A,Other Subsidies,
POLICEBOARD,Toronto Police Services Board,850A,User Fees & Donations,
POLICEBOARD,Toronto Police Services Board,920A,Transfers from Capital Fund,
POLICEBOARD,Toronto Police Services Board,930A,Contribution from Reserve/Res Funds,500
POLICEBOARD,Toronto Police Services Board,940A,Sundry Revenues,
POLICE,Toronto Police Service,750A,Interdivisional Recoveries,11108.8
POLICE,Toronto Police Service,805A,Provincial Subsidies,
POLICE,Toronto Police Service,810A,Federal Subsidies,
POLICE,Toronto Police Service,820A,Other Subsidies,38246.2
POLICE,Toronto Police Service,850A,User Fees & Donations,10033.7
POLICE,Toronto Police Service,920A,Transfers from Capital Fund,
POLICE,Toronto Police Service,930A,Contribution from Reserve/Res Funds,16980.3
POLICE,Toronto Police Service,940A,Sundry Revenues,
PUBLICHEALTH,Toronto Public Health,750A,Interdivisional Recoveries,10973.06604
PUBLICHEALTH,Toronto Public Health,805A,Provincial Subsidies,173091.8
PUBLICHEALTH,Toronto Public Health,810A,Federal Subsidies,196.6
PUBLICHEALTH,Toronto Public Health,820A,Other Subsidies,
PUBLICHEALTH,Toronto Public Health,850A,User Fees & Donations,1003.72337
PUBLICHEALTH,Toronto Public Health,920A,Transfers from Capital Fund,3939.3
PUBLICHEALTH,Toronto Public Health,930A,Contribution from Reserve Funds,
PUBLICHEALTH,Toronto Public Health,930A,Contribution from Reserve,
PUBLICHEALTH,Toronto Public Health,940A,Sundry Revenues,1855.6
LIBRARY,Toronto Library Board,750A,Interdivisional Recoveries,
LIBRARY,Toronto Library Board,805A,Provincial Subsidies,5705.7
LIBRARY,Toronto Library Board,810A,Federal Subsidies, 
LIBRARY,Toronto Library Board,820A,Other Subsidies,
LIBRARY,Toronto Library Board,850A,User Fees & Donations,4940.5
LIBRARY,Toronto Library Board,920A,Transfers from Capital Fund,511.8
LIBRARY,Toronto Library Board,930A,Contribution from Reserve Funds,1750
LIBRARY,Toronto Library Board,930A,Contribution from Reserve,
LIBRARY,Toronto Library Board,940A,Sundry Revenues,2019.3
REGIONCONSERV,Toronto & Region Conservation Authority (TRCA),750A,Interdivisional Recoveries,
REGIONCONSERV,Toronto & Region Conservation Authority (TRCA),805A,Provincial Subsidies,1910
REGIONCONSERV,Toronto & Region Conservation Authority (TRCA),810A,Federal Subsidies,
REGIONCONSERV,Toronto & Region Conservation Authority (TRCA),820A,Other Subsidies,
REGIONCONSERV,Toronto & Region Conservation Authority (TRCA),850A,User Fees & Donations,23572.2
REGIONCONSERV,Toronto & Region Conservation Authority (TRCA),920A,Transfers from Capital Fund,
REGIONCONSERV,Toronto & Region Conservation Authority (TRCA),930A,Contribution from Reserve Funds,4270.1
REGIONCONSERV,Toronto & Region Conservation Authority (TRCA),930A,Contribution from Reserve,
REGIONCONSERV,Toronto & Region Conservation Authority (TRCA),940A,Sundry Revenues,4605.4
WATER,Toronto Water,750A,Interdivisional Recoveries,3.2
WATER,Toronto Water,805A,Provincial Subsidies,
WATER,Toronto Water,810A,Federal Subsidies,
WATER,Toronto Water,820A,Other Subsidies,
WATER,Toronto Water,850A,User Fees & Donations,33349.1
WATER,Toronto Water,920A,Transfers from Capital Fund,2178.5
WATER,Toronto Water,930A,Contribution from Res/Res Funds,
WATER,Toronto Water,940A,Other Revenue,2692.1
WATER,Toronto Water,940A,Sale of Water,855110
ZOO,Toronto Zoo,750A,Interdivisional Recoveries,
ZOO,Toronto Zoo,940A,Grants from others,972.5
ZOO,Toronto Zoo,820A,Other Subsidies,
ZOO,Toronto Zoo,850A,User Fees & Donations,30772.3
ZOO,Toronto Zoo,920A,Transfers from Capital Fund,
ZOO,Toronto Zoo,930A,Contribution from Reserve Funds,136
ZOO,Toronto Zoo,930A,Contribution from Reserve,
ZOO,Toronto Zoo,940A,Sundry Revenues,2672
TRANSPORTATION,Transportation Services,750A,Interdivisional Recoveries,7585.597
TRANSPORTATION,Transportation Services,805A,Provincial Subsidies,
TRANSPORTATION,Transportation Services,810A,Federal Subsidies,
TRANSPORTATION,Transportation Services,820A,Other Subsidies,
TRANSPORTATION,Transportation Services,850A,User Fees & Donations,25435.427
TRANSPORTATION,Transportation Services,920A,Transfers from Capital Fund,29605.11
TRANSPORTATION,Transportation Services,930A,Contribution from Reserve Funds,18552.142
TRANSPORTATION,Transportation Services,930A,Contribution from Reserve,
TRANSPORTATION,Transportation Services,940A,Sundry Revenues,39664.72
TTCCONV,Toronto Transit Commission - Conventional,750A,Interdivisional Recoveries,
TTCCONV,Toronto Transit Commission - Conventional,805A,Provincial Subsidies,
TTCCONV,Toronto Transit Commission - Conventional,810A,Federal Subsidies,
TTCCONV,Toronto Transit Commission - Conventional,820A,Other Subsidies,
TTCCONV,Toronto Transit Commission - Conventional,850A,User Fees & Donations,1067846.5
TTCCONV,Toronto Transit Commission - Conventional,920A,Transfers from Capital Fund,
TTCCONV,Toronto Transit Commission - Conventional,930A,Contribution from Reserve Funds,
TTCCONV,Toronto Transit Commission - Conventional,930A,Contribution from Reserve,
TTCCONV,Toronto Transit Commission - Conventional,940A,Sundry Revenues,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,750A,Interdivisional Recoveries,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,805A,Provincial Subsidies,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,810A,Federal Subsidies,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,820A,Other Subsidies,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,850A,User Fees & Donations,5324.6
TTCWHEEL,Toronto Transit Commission - Wheel Trans,920A,Transfers from Capital Fund,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,930A,Contribution from Reserve Funds,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,930A,Contribution from Reserve,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,940A,Sundry Revenues,
YONGEDUNDAS,Yonge Dundas Square,750A,Interdivisional Recoveries,
YONGEDUNDAS,Yonge Dundas Square,805A,Provincial Subsidies,
YONGEDUNDAS,Yonge Dundas Square,810A,Federal Subsidies,
YONGEDUNDAS,Yonge Dundas Square,820A,Other Subsidies,
YONGEDUNDAS,Yonge Dundas Square,850A,User Fees & Donations,1090
YONGEDUNDAS,Yonge Dundas Square,920A,Transfers from Capital Fund,
YONGEDUNDAS,Yonge Dundas Square,930A,Contribution from Reserve Funds,
YONGEDUNDAS,Yonge Dundas Square,930A,Contribution from Reserve,
YONGEDUNDAS,Yonge Dundas Square,940A,Sundry Revenues,411.647
