_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,
PARKING,Toronto Parking Authority,700A,Interdivisional Charges,,
POLICEBOARD,Toronto Police Service Board,100A,Salaries and Benefits,921.1,
POLICEBOARD,Toronto Police Service Board,200A,Materials and Supplies,9.8,
POLICEBOARD,Toronto Police Service Board,300A,Equipment,,
POLICEBOARD,Toronto Police Service Board,400A,Services & Rents,736.9,
POLICEBOARD,Toronto Police Service Board,505A,Contributions to Capital,,
POLICEBOARD,Toronto Police Service Board,510A,Contributions to Reserve/Res Funds,610.6,
POLICEBOARD,Toronto Police Service Board,650A,Other Expenditures,,
POLICEBOARD,Toronto Police Service Board,700A,Interdivisional Charges,680,
POLICE,Toronto Police Service,100A,Salaries and Benefits,863484.4,
POLICE,Toronto Police Service,200A,Materials and Supplies,19138.6,
POLICE,Toronto Police Service,300A,Equipment,2213.4,
POLICE,Toronto Police Service,400A,Services & Rents,38526.9,
POLICE,Toronto Police Service,505A,Contributions to Capital,,
POLICE,Toronto Police Service,510A,Contributions to Reserve/Res Funds,29913.7,
POLICE,Toronto Police Service,650A,Other Expenditures,,
POLICE,Toronto Police Service,700A,Interdivisional Charges,20975.8,
PUBLICHEALTH,Toronto Public Health,100A,Salaries and Benefits,170694.5,
PUBLICHEALTH,Toronto Public Health,200A,Materials and Supplies,6071.8,
PUBLICHEALTH,Toronto Public Health,300A,Equipment,829.04768,
PUBLICHEALTH,Toronto Public Health,400A,Services & Rents,38793.1,
PUBLICHEALTH,Toronto Public Health,505A,Contributions to Capital,1833.5,
PUBLICHEALTH,Toronto Public Health,510A,Contributions to Reserve/Res Funds,0,
PUBLICHEALTH,Toronto Public Health,650A,Other Expenditures,6,
PUBLICHEALTH,Toronto Public Health,700A,Interdivisional Charges,15439.8,
LIBRARY,Toronto Public Library,100A,Salaries and Benefits,138747.5,
LIBRARY,Toronto Public Library,200A,Materials and Supplies,20043.6,
LIBRARY,Toronto Public Library,300A,Equipment,323.2,
LIBRARY,Toronto Public Library,400A,Services & Rents,22269,
LIBRARY,Toronto Public Library,505A,Contributions to Capital,1768,
LIBRARY,Toronto Public Library,510A,Contributions to Reserve/Res Funds,719.2,
LIBRARY,Toronto Public Library,650A,Other Expenditures,4,
LIBRARY,Toronto Public Library,700A,Interdivisional Charges,,
WATER,Toronto Water,100A,Salaries and Benefits,157300.1,
WATER,Toronto Water,200A,Materials and Supplies,90542.4,
WATER,Toronto Water,300A,Equipment,2642.7,
WATER,Toronto Water,400A,Services & Rents,41430.7,
WATER,Toronto Water,505A,Contributions to Capital,430976.3,
WATER,Toronto Water,510A,Contributions to Reserve/Res Funds,8050.4,
WATER,Toronto Water,650A,Other Expenditures,20951.2,
WATER,Toronto Water,700A,Interdivisional Charges,69026,
ZOO,Toronto Zoo,100A,Salaries and Benefits,25973.6,
ZOO,Toronto Zoo,200A,Materials and Supplies,7100.8,
ZOO,Toronto Zoo,300A,Equipment,403.1,
ZOO,Toronto Zoo,400A,Services & Rents,10352,
ZOO,Toronto Zoo,510A,Contributions to Reserve/Res Funds,746.5,
ZOO,Toronto Zoo,650A,Cost of Goods Sold,1640.1,
TRANSPORTATION,Transportation Services,100A,Salaries and Benefits,100093.843115,
TRANSPORTATION,Transportation Services,200A,Materials and Supplies,15798.62776,
TRANSPORTATION,Transportation Services,300A,Equipment,816.17037,
TRANSPORTATION,Transportation Services,400A,Services & Rents,142030.545462115,
TRANSPORTATION,Transportation Services,505A,Contributions to Capital,0,
TRANSPORTATION,Transportation Services,510A,Contributions to Reserve/Res Funds,18105.34005,
TRANSPORTATION,Transportation Services,650A,Other Expenditures,667.9635,
TRANSPORTATION,Transportation Services,700A,Interdivisional Charges,13560.99804,
TTCCONV,Toronto Transit Commission - Conventional,100A,Salaries and Benefits,1055172.5,
TTCCONV,Toronto Transit Commission - Conventional,200A,Materials and Supplies,266621.3,
TTCCONV,Toronto Transit Commission - Conventional,300A,Equipment,26400,
TTCCONV,Toronto Transit Commission - Conventional,400A,Services & Rents,48100,
TTCCONV,Toronto Transit Commission - Conventional,505A,Contributions to Capital,,
TTCCONV,Toronto Transit Commission - Conventional,510A,Contributions to Reserve/Res Funds,,
TTCCONV,Toronto Transit Commission - Conventional,650A,Other Expenditures,36843.5,
TTCCONV,Toronto Transit Commission - Conventional,700A,Interdivisional Charges,3302.3,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,100A,Salaries and Benefits,49355.4,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,200A,Materials and Supplies,12641.6,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,300A,Equipment,,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,400A,Services & Rents,34131.4,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,505A,Contributions to Capital,,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,510A,Contributions to Reserve/Res Funds,,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,650A,Other Expenditures,494,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,700A,Interdivisional Charges,,
WATERFRONT,Waterfront Secretariat,100A,Salaries and Benefits,1274.9,
WATERFRONT,Waterfront Secretariat,200A,Materials and Supplies,1,
WATERFRONT,Waterfront Secretariat,300A,Equipment,1,
WATERFRONT,Waterfront Secretariat,400A,Services & Rents,225.4,
WATERFRONT,Waterfront Secretariat,505A,Contributions to Capital,,
WATERFRONT,Waterfront Secretariat,510A,Contributions to Reserve/Res Funds,2.2,
WATERFRONT,Waterfront Secretariat,650A,Other Expenditures,,
WATERFRONT,Waterfront Secretariat,700A,Interdivisional Charges,4.7,
YONGEDUNDAS,Yonge-Dundas Square,100A,Salaries and Benefits,403.702,
YONGEDUNDAS,Yonge-Dundas Square,200A,Materials and Supplies,181.468,
YONGEDUNDAS,Yonge-Dundas Square,300A,Equipment,40,
YONGEDUNDAS,Yonge-Dundas Square,400A,Services & Rents,1259.745,
YONGEDUNDAS,Yonge-Dundas Square,505A,Contributions to Capital,,
YONGEDUNDAS,Yonge-Dundas Square,510A,Contributions to Reserve/Res Funds,2.268,
YONGEDUNDAS,Yonge-Dundas Square,650A,Other Expenditures,,
YONGEDUNDAS,Yonge-Dundas Square,700A,Interdivisional Charges,,
