_META_START_,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Salaries And Benefits,5965599.15
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Service And Rent,100574.95
Municipal Licensing & Standards,MS-By-Law Enforcement,Contribution To Reserves/Reserve Funds,106563.93
Municipal Licensing & Standards,MS-By-Law Enforcement,Equipment,29001.98
Municipal Licensing & Standards,MS-By-Law Enforcement,Inter-Divisional Charges,901719.98
Municipal Licensing & Standards,MS-By-Law Enforcement,Materials & Supplies,192292.73
Municipal Licensing & Standards,MS-By-Law Enforcement,Salaries And Benefits,14187385.5
Municipal Licensing & Standards,MS-By-Law Enforcement,Service And Rent,349813.97
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Contribution To Reserves/Reserve Funds,76117.09
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Equipment,415225.42
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Inter-Divisional Charges,906414.15
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Materials & Supplies,182032.57
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Salaries And Benefits,14526535.28
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Service And Rent,417619.51
Non-Program Expenditures,Corporate Accounts,Contribution To Capital,391483.04
Non-Program Expenditures,Corporate Accounts,Contribution To Reserves/Reserve Funds,77132600
Non-Program Expenditures,Corporate Accounts,Inter-Divisional Charges,19728671.83
Non-Program Expenditures,Corporate Accounts,Materials & Supplies,180000
Non-Program Expenditures,Corporate Accounts,Other Expenditures,133226169.12
Non-Program Expenditures,Corporate Accounts,Salaries And Benefits,110905063.47
Non-Program Expenditures,Corporate Accounts,Service And Rent,274642243.63
Non-Program Revenues,Corporate Accounts,Contribution To Reserves/Reserve Funds,49380000.04
Non-Program Revenues,Corporate Accounts,Inter-Divisional Charges,5519734.24
Non-Program Revenues,Corporate Accounts,Other Expenditures,310590
Non-Program Revenues,Corporate Accounts,Service And Rent,5747144.99
Non-Program Revenues,Special Levy for Scarborough Subway,Contribution To Reserves/Reserve Funds,40698854
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",Equipment,1632.28
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",Inter-Divisional Charges,5711.37
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",Materials & Supplies,9161.33
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",Salaries And Benefits,2236304.8
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",Service And Rent,46241.55
Office of the Chief Financial Officer,CPF-Investment & Debt Management,Equipment,2073.31
Office of the Chief Financial Officer,CPF-Investment & Debt Management,Inter-Divisional Charges,1284.57
Office of the Chief Financial Officer,CPF-Investment & Debt Management,Materials & Supplies,6438.66
Office of the Chief Financial Officer,CPF-Investment & Debt Management,Other Expenditures,497.48
Office of the Chief Financial Officer,CPF-Investment & Debt Management,Salaries And Benefits,884862.58
Office of the Chief Financial Officer,CPF-Investment & Debt Management,Service And Rent,472093.18
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,Contribution To Reserves/Reserve Funds,77406
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,Equipment,3040.41
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,Inter-Divisional Charges,2140
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,Materials & Supplies,7105.01
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,Other Expenditures,2.52
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,Salaries And Benefits,1738326.07
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,Service And Rent,35058.62
Office of the Chief Financial Officer,F&A-Executive Leadership,Inter-Divisional Charges,135350
Office of the Chief Financial Officer,F&A-Executive Leadership,Materials & Supplies,2391
Office of the Chief Financial Officer,F&A-Executive Leadership,Salaries And Benefits,926802.8
Office of the Chief Financial Officer,F&A-Executive Leadership,Service And Rent,13111
Office of the Chief Financial Officer,F&A-Financial Management & Program Support,Inter-Divisional Charges,52733
Office of the Chief Financial Officer,F&A-Financial Management & Program Support,Materials & Supplies,5139
Office of the Chief Financial Officer,F&A-Financial Management & Program Support,Salaries And Benefits,1455756.56
Office of the Chief Financial Officer,F&A-Financial Management & Program Support,Service And Rent,12586.82
Office of the Chief Financial Officer,F&A-Organizational Management Consulting,Materials & Supplies,340
Office of the Chief Financial Officer,F&A-Organizational Management Consulting,Salaries And Benefits,290208.6
Office of the Chief Financial Officer,F&A-Organizational Management Consulting,Service And Rent,1461.95
Office of the Chief Financial Officer,FPD-Financial Planning & Management,Inter-Divisional Charges,26688
Office of the Chief Financial Officer,FPD-Financial Planning & Management,Materials & Supplies,15735.44
Office of the Chief Financial Officer,FPD-Financial Planning & Management,Salaries And Benefits,5815284.23
Office of the Chief Financial Officer,FPD-Financial Planning & Management,Service And Rent,76377.85
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,Inter-Divisional Charges,7972
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,Materials & Supplies,4730.56
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,Salaries And Benefits,2181372.11
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,Service And Rent,23572.39
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Contribution To Reserves/Reserve Funds,1578.14
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Equipment,286.08
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Inter-Divisional Charges,600
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Materials & Supplies,7610.52
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Salaries And Benefits,1053367.17
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Service And Rent,79647.25
Office of the Ombudsman,Office of the Ombudsman,Contribution To Reserves/Reserve Funds,2082.09
Office of the Ombudsman,Office of the Ombudsman,Equipment,7222.32
Office of the Ombudsman,Office of the Ombudsman,Inter-Divisional Charges,12405.44
Office of the Ombudsman,Office of the Ombudsman,Materials & Supplies,12717.88
Office of the Ombudsman,Office of the Ombudsman,Salaries And Benefits,1553734.77
Office of the Ombudsman,Office of the Ombudsman,Service And Rent,226396.04
Office of the Treasurer,ASD-Financial Reporting & Control,Contribution To Reserves/Reserve Funds,29688.04
Office of the Treasurer,ASD-Financial Reporting & Control,Equipment,2182.86
Office of the Treasurer,ASD-Financial Reporting & Control,Inter-Divisional Charges,33481.3
Office of the Treasurer,ASD-Financial Reporting & Control,Materials & Supplies,21333.85
Office of the Treasurer,ASD-Financial Reporting & Control,Salaries And Benefits,4853922.73
Office of the Treasurer,ASD-Financial Reporting & Control,Service And Rent,187951.94
Office of the Treasurer,ASD-Payment Processing,Equipment,292.94
Office of the Treasurer,ASD-Payment Processing,Inter-Divisional Charges,125500
Office of the Treasurer,ASD-Payment Processing,Materials & Supplies,2285.22
Office of the Treasurer,ASD-Payment Processing,Other Expenditures,115603
Office of the Treasurer,ASD-Payment Processing,Salaries And Benefits,5187390.35
Office of the Treasurer,ASD-Payment Processing,Service And Rent,104617.64
Office of the Treasurer,ASD-Tax & Financial System Support,Equipment,351.61
Office of the Treasurer,ASD-Tax & Financial System Support,Inter-Divisional Charges,4823.7
Office of the Treasurer,ASD-Tax & Financial System Support,Materials & Supplies,3390.4
Office of the Treasurer,ASD-Tax & Financial System Support,Salaries And Benefits,1580330.16
Office of the Treasurer,ASD-Tax & Financial System Support,Service And Rent,25683.72
Office of the Treasurer,PMM-Materials Management Stores & Distribution,Contribution To Reserves/Reserve Funds,71446.11
Office of the Treasurer,PMM-Materials Management Stores & Distribution,Equipment,18243.88
Office of the Treasurer,PMM-Materials Management Stores & Distribution,Inter-Divisional Charges,178656.84
Office of the Treasurer,PMM-Materials Management Stores & Distribution,Materials & Supplies,45494.49
Office of the Treasurer,PMM-Materials Management Stores & Distribution,Other Expenditures,5185.55
Office of the Treasurer,PMM-Materials Management Stores & Distribution,Salaries And Benefits,5955509.14
Office of the Treasurer,PMM-Materials Management Stores & Distribution,Service And Rent,105609.37
Office of the Treasurer,PMM-Purchasing,Contribution To Reserves/Reserve Funds,4491
Office of the Treasurer,PMM-Purchasing,Equipment,4634.32
Office of the Treasurer,PMM-Purchasing,Materials & Supplies,2505.94
Office of the Treasurer,PMM-Purchasing,Salaries And Benefits,4855800.96
Office of the Treasurer,PMM-Purchasing,Service And Rent,347332.98
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,Contribution To Reserves/Reserve Funds,11690.52
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,Equipment,5882.72
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,Inter-Divisional Charges,38212.28
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,Materials & Supplies,5209.41
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,Other Expenditures,5760.12
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,Salaries And Benefits,3720682.05
Office of the Treasurer,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,Service And Rent,130625.81
Office of the Treasurer,PPEB-Non – OMERS Pension Plans,Contribution To Reserves/Reserve Funds,5753.74
Office of the Treasurer,PPEB-Non – OMERS Pension Plans,Equipment,2409.58
Office of the Treasurer,PPEB-Non – OMERS Pension Plans,Inter-Divisional Charges,16283.88
Office of the Treasurer,PPEB-Non – OMERS Pension Plans,Materials & Supplies,4786.98
Office of the Treasurer,PPEB-Non – OMERS Pension Plans,Other Expenditures,11839.88
Office of the Treasurer,PPEB-Non – OMERS Pension Plans,Salaries And Benefits,594532.07
Office of the Treasurer,PPEB-Non – OMERS Pension Plans,Service And Rent,201852.71
Office of the Treasurer,PPEB-Payroll,Contribution To Reserves/Reserve Funds,5927.88
Office of the Treasurer,PPEB-Payroll,Equipment,15401.18
Office of the Treasurer,PPEB-Payroll,Inter-Divisional Charges,58667.84
Office of the Treasurer,PPEB-Payroll,Materials & Supplies,9680.56
Office of the Treasurer,PPEB-Payroll,Other Expenditures,22400
Office of the Treasurer,PPEB-Payroll,Salaries And Benefits,12416743.55
Office of the Treasurer,PPEB-Payroll,Service And Rent,467556.47
Office of the Treasurer,RS-Parking Ticket,Equipment,5327.07
Office of the Treasurer,RS-Parking Ticket,Inter-Divisional Charges,314094.93
Office of the Treasurer,RS-Parking Ticket,Materials & Supplies,5915.06
Office of the Treasurer,RS-Parking Ticket,Other Expenditures,992600
Office of the Treasurer,RS-Parking Ticket,Salaries And Benefits,1169656.55
Office of the Treasurer,RS-Parking Ticket,Service And Rent,1456878.65
Office of the Treasurer,RS-Property Tax Billing,Equipment,10121.67
Office of the Treasurer,RS-Property Tax Billing,Inter-Divisional Charges,593530.7
Office of the Treasurer,RS-Property Tax Billing,Materials & Supplies,18844.99
Office of the Treasurer,RS-Property Tax Billing,Salaries And Benefits,5057851.18
Office of the Treasurer,RS-Property Tax Billing,Service And Rent,1817020.62
Office of the Treasurer,RS-Revenue Accounting & Collection,Equipment,15325.15
Office of the Treasurer,RS-Revenue Accounting & Collection,Inter-Divisional Charges,408606.87
Office of the Treasurer,RS-Revenue Accounting & Collection,Materials & Supplies,49074.61
Office of the Treasurer,RS-Revenue Accounting & Collection,Other Expenditures,329529.48
Office of the Treasurer,RS-Revenue Accounting & Collection,Salaries And Benefits,6781075.75
Office of the Treasurer,RS-Revenue Accounting & Collection,Service And Rent,1485343.78
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",Equipment,13317.74
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",Inter-Divisional Charges,260321.09
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",Materials & Supplies,35974.18
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",Salaries And Benefits,10627186.42
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",Service And Rent,122965.08
Office of the Treasurer,RS-Utility Billing,Equipment,20907.92
Office of the Treasurer,RS-Utility Billing,Inter-Divisional Charges,338843.29
Office of the Treasurer,RS-Utility Billing,Materials & Supplies,16502.41
Office of the Treasurer,RS-Utility Billing,Salaries And Benefits,2640066.76
Office of the Treasurer,RS-Utility Billing,Service And Rent,1562603.49
"Parks, Forestry & Recreation",PR-Community Recreation,Contribution To Reserves/Reserve Funds,2585305.1
"Parks, Forestry & Recreation",PR-Community Recreation,Equipment,1414143.9
"Parks, Forestry & Recreation",PR-Community Recreation,Inter-Divisional Charges,9167786.84
"Parks, Forestry & Recreation",PR-Community Recreation,Materials & Supplies,22042552.6
"Parks, Forestry & Recreation",PR-Community Recreation,Other Expenditures,9638069.27
"Parks, Forestry & Recreation",PR-Community Recreation,Salaries And Benefits,156598719.81
"Parks, Forestry & Recreation",PR-Community Recreation,Service And Rent,26467302.86
"Parks, Forestry & Recreation",PR-Parks,Contribution To Reserves/Reserve Funds,7811495.62
"Parks, Forestry & Recreation",PR-Parks,Equipment,1091411.07
"Parks, Forestry & Recreation",PR-Parks,Inter-Divisional Charges,10413522.01
"Parks, Forestry & Recreation",PR-Parks,Materials & Supplies,14298906.47
"Parks, Forestry & Recreation",PR-Parks,Other Expenditures,448047.78
"Parks, Forestry & Recreation",PR-Parks,Salaries And Benefits,104005053.92
"Parks, Forestry & Recreation",PR-Parks,Service And Rent,9116286.78
"Parks, Forestry & Recreation",PR-Urban Forestry,Contribution To Reserves/Reserve Funds,758435.6
"Parks, Forestry & Recreation",PR-Urban Forestry,Equipment,329533.96
"Parks, Forestry & Recreation",PR-Urban Forestry,Inter-Divisional Charges,2368524.95
"Parks, Forestry & Recreation",PR-Urban Forestry,Materials & Supplies,2295540.46
"Parks, Forestry & Recreation",PR-Urban Forestry,Other Expenditures,277399.05
"Parks, Forestry & Recreation",PR-Urban Forestry,Salaries And Benefits,32656343.1
"Parks, Forestry & Recreation",PR-Urban Forestry,Service And Rent,34814851.2
"Policy, Planning, Finance & Administration",Corporate Leadership,Equipment,1999.99
"Policy, Planning, Finance & Administration",Corporate Leadership,Materials & Supplies,2212.95
"Policy, Planning, Finance & Administration",Corporate Leadership,Salaries And Benefits,766613.96
"Policy, Planning, Finance & Administration",Corporate Leadership,Service And Rent,20600.02
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Equipment,750
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Inter-Divisional Charges,234577.36
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Materials & Supplies,1038.5
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Salaries And Benefits,1941231.49
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Service And Rent,259992.02
"Policy, Planning, Finance & Administration",PA-Emergency Management,Contribution To Reserves/Reserve Funds,22454.95
"Policy, Planning, Finance & Administration",PA-Emergency Management,Equipment,160000
"Policy, Planning, Finance & Administration",PA-Emergency Management,Inter-Divisional Charges,279309.36
"Policy, Planning, Finance & Administration",PA-Emergency Management,Materials & Supplies,37874.3
"Policy, Planning, Finance & Administration",PA-Emergency Management,Salaries And Benefits,2353134.07
"Policy, Planning, Finance & Administration",PA-Emergency Management,Service And Rent,203970.13
"Policy, Planning, Finance & Administration",PA-Financial Management,Equipment,21899.88
"Policy, Planning, Finance & Administration",PA-Financial Management,Materials & Supplies,2795.83
"Policy, Planning, Finance & Administration",PA-Financial Management,Salaries And Benefits,7744152.34
"Policy, Planning, Finance & Administration",PA-Financial Management,Service And Rent,69534.77
"Policy, Planning, Finance & Administration",PA-Program Support,Contribution To Reserves/Reserve Funds,103265.79
"Policy, Planning, Finance & Administration",PA-Program Support,Equipment,29243.5
"Policy, Planning, Finance & Administration",PA-Program Support,Inter-Divisional Charges,354690.08
"Policy, Planning, Finance & Administration",PA-Program Support,Materials & Supplies,925463.54
"Policy, Planning, Finance & Administration",PA-Program Support,Salaries And Benefits,6135186.09
"Policy, Planning, Finance & Administration",PA-Program Support,Service And Rent,365333.65
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Contribution To Reserves/Reserve Funds,2168063.78
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Equipment,136353.6
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Inter-Divisional Charges,886709.45
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Materials & Supplies,4074664.08
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Other Expenditures,40022874.1
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Salaries And Benefits,60457735.27
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Service And Rent,73730664.1
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Contribution To Reserves/Reserve Funds,199801.02
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Equipment,106910.77
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Inter-Divisional Charges,303713.83
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Materials & Supplies,58842.39
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Other Expenditures,482791684.08
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Salaries And Benefits,10193749.15
"Shelter, Support & Housing Administration",HS-Social Housing System Management,Service And Rent,1437157.79
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Equipment,11128.68
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Inter-Divisional Charges,32730
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Materials & Supplies,35693.42
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Other Expenditures,13000000
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Salaries And Benefits,5735426.07
"Social Development, Finance & Administration",CD-Community & Neighbourhood Development,Service And Rent,2580645.89
"Social Development, Finance & Administration",CD-Community Partnership Investment Program,Other Expenditures,19653200
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Contribution To Reserves/Reserve Funds,87010.43
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Equipment,5361.6
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Inter-Divisional Charges,298125
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Materials & Supplies,23225.35
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Salaries And Benefits,5115139.42
"Social Development, Finance & Administration",CD-Financial Management & Program Support,Service And Rent,102421.1
"Social Development, Finance & Administration",CD-Social Policy & Planning,Equipment,9599.16
"Social Development, Finance & Administration",CD-Social Policy & Planning,Inter-Divisional Charges,10309.63
"Social Development, Finance & Administration",CD-Social Policy & Planning,Materials & Supplies,15150.9
"Social Development, Finance & Administration",CD-Social Policy & Planning,Salaries And Benefits,3398824.26
"Social Development, Finance & Administration",CD-Social Policy & Planning,Service And Rent,762184.71
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Materials & Supplies,1013
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Salaries And Benefits,861535.53
"Social Development, Finance & Administration",CD-Toronto Office of Partnerships,Service And Rent,7000
"Social Development, Finance & Administration",Corporate Leadership (DCM),Contribution To Reserves/Reserve Funds,34693.23
"Social Development, Finance & Administration",Corporate Leadership (DCM),Equipment,694.96
"Social Development, Finance & Administration",Corporate Leadership (DCM),Materials & Supplies,6485.73
"Social Development, Finance & Administration",Corporate Leadership (DCM),Salaries And Benefits,1091760.56
"Social Development, Finance & Administration",Corporate Leadership (DCM),Service And Rent,43278.08
Solid Waste Management Services,SW-City Beautification,Contribution To Reserves/Reserve Funds,3031701.04
Solid Waste Management Services,SW-City Beautification,Equipment,11796.89
Solid Waste Management Services,SW-City Beautification,Inter-Divisional Charges,4031973.89
Solid Waste Management Services,SW-City Beautification,Materials & Supplies,336422.25
Solid Waste Management Services,SW-City Beautification,Other Expenditures,742351.92
Solid Waste Management Services,SW-City Beautification,Salaries And Benefits,22241273
Solid Waste Management Services,SW-City Beautification,Service And Rent,3253347.27
Solid Waste Management Services,SW-Residual Management,Contribution To Reserves/Reserve Funds,16265843.27
Solid Waste Management Services,SW-Residual Management,Equipment,63154.46
Solid Waste Management Services,SW-Residual Management,Inter-Divisional Charges,4084106.69
Solid Waste Management Services,SW-Residual Management,Materials & Supplies,434943.17
Solid Waste Management Services,SW-Residual Management,Other Expenditures,68575894.23
Solid Waste Management Services,SW-Residual Management,Salaries And Benefits,3807742.54
Solid Waste Management Services,SW-Residual Management,Service And Rent,12247536.98
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Contribution To Reserves/Reserve Funds,13869641.71
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Equipment,76797.7
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Inter-Divisional Charges,15997618.91
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Materials & Supplies,1284235.69
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Other Expenditures,6049117.65
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Salaries And Benefits,39614610.85
Solid Waste Management Services,SW-Solid Waste Collection & Transfer,Service And Rent,37674789.19
Solid Waste Management Services,SW-Solid Waste Education & Enforcement,Contribution To Reserves/Reserve Funds,615612.57
Solid Waste Management Services,SW-Solid Waste Education & Enforcement,Equipment,9740.25
Solid Waste Management Services,SW-Solid Waste Education & Enforcement,Inter-Divisional Charges,691689.6
Solid Waste Management Services,SW-Solid Waste Education & Enforcement,Materials & Supplies,385536.02
Solid Waste Management Services,SW-Solid Waste Education & Enforcement,Other Expenditures,476533.53
Solid Waste Management Services,SW-Solid Waste Education & Enforcement,Salaries And Benefits,724667.11
Solid Waste Management Services,SW-Solid Waste Education & Enforcement,Service And Rent,3522516.2
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Contribution To Reserves/Reserve Funds,7656291.64
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Equipment,134190.26
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Inter-Divisional Charges,9853270.11
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Materials & Supplies,3613954.97
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Other Expenditures,8323028.24
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Salaries And Benefits,26244181.33
Solid Waste Management Services,SW-Solid Waste Processing & Transport,Service And Rent,73063333.98
Theatres,Theatrical & Other Cultural Events,Contribution To Capital,1074368
Theatres,Theatrical & Other Cultural Events,Contribution To Reserves/Reserve Funds,1766657.04
Theatres,Theatrical & Other Cultural Events,Equipment,826140.96
Theatres,Theatrical & Other Cultural Events,Materials & Supplies,2188983.12
Theatres,Theatrical & Other Cultural Events,Other Expenditures,735149.96
Theatres,Theatrical & Other Cultural Events,Salaries And Benefits,11725490.96
Theatres,Theatrical & Other Cultural Events,Service And Rent,4847552
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Equipment,1252000
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Materials & Supplies,4211000
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Salaries And Benefits,33120000
Toronto & Region Conservation Authority,Toronto & Region Conservation Authority,Service And Rent,1936000
Toronto Atmospheric Fund,Toronto Atmospheric Fund,Materials & Supplies,20000
Toronto Atmospheric Fund,Toronto Atmospheric Fund,Other Expenditures,500000
Toronto Atmospheric Fund,Toronto Atmospheric Fund,Salaries And Benefits,964000
Toronto Atmospheric Fund,Toronto Atmospheric Fund,Service And Rent,1128000
Toronto Building,BL-Building Compliance,Contribution To Reserves/Reserve Funds,1977415.21
Toronto Building,BL-Building Compliance,Equipment,355869.51
Toronto Building,BL-Building Compliance,Inter-Divisional Charges,411845.37
Toronto Building,BL-Building Compliance,Materials & Supplies,68335.61
Toronto Building,BL-Building Compliance,Other Expenditures,178124.12
Toronto Building,BL-Building Compliance,Salaries And Benefits,21487407.75
Toronto Building,BL-Building Compliance,Service And Rent,548870.5
Toronto Building,BL-Building Permission & Information,Contribution To Reserves/Reserve Funds,2446332.45
Toronto Building,BL-Building Permission & Information,Equipment,207677.78
Toronto Building,BL-Building Permission & Information,Inter-Divisional Charges,509509.94
Toronto Building,BL-Building Permission & Information,Materials & Supplies,84540.26
Toronto Building,BL-Building Permission & Information,Other Expenditures,220363.84
Toronto Building,BL-Building Permission & Information,Salaries And Benefits,24700060.16
Toronto Building,BL-Building Permission & Information,Service And Rent,629009.17
Toronto Employment & Social Services,SS-Employment Services,Contribution To Reserves/Reserve Funds,177659.32
Toronto Employment & Social Services,SS-Employment Services,Equipment,41187.22
Toronto Employment & Social Services,SS-Employment Services,Inter-Divisional Charges,499780.71
Toronto Employment & Social Services,SS-Employment Services,Materials & Supplies,330769.2
Toronto Employment & Social Services,SS-Employment Services,Other Expenditures,10200000
Toronto Employment & Social Services,SS-Employment Services,Salaries And Benefits,34738769.18
Toronto Employment & Social Services,SS-Employment Services,Service And Rent,24839129.75
Toronto Employment & Social Services,SS-Financial Supports,Contribution To Reserves/Reserve Funds,166573.71
Toronto Employment & Social Services,SS-Financial Supports,Equipment,20107.5
Toronto Employment & Social Services,SS-Financial Supports,Inter-Divisional Charges,15870577.34
Toronto Employment & Social Services,SS-Financial Supports,Materials & Supplies,13192582.08
Toronto Employment & Social Services,SS-Financial Supports,Other Expenditures,772613295.38
Toronto Employment & Social Services,SS-Financial Supports,Salaries And Benefits,26931908.29
Toronto Employment & Social Services,SS-Financial Supports,Service And Rent,60921501.7
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Contribution To Reserves/Reserve Funds,683964.42
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Equipment,220023.29
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Inter-Divisional Charges,1861365.2
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Materials & Supplies,773974.92
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Salaries And Benefits,130427463.51
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Service And Rent,4794434.61
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Contribution To Capital,5292
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Contribution To Reserves/Reserve Funds,95758.87
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Equipment,17162.74
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Inter-Divisional Charges,103839.43
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Materials & Supplies,269057.87
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Salaries And Benefits,1608631.99
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Service And Rent,432379.04
Toronto Paramedic Services,AM-Emergency Medical Care,Contribution To Capital,550860
Toronto Paramedic Services,AM-Emergency Medical Care,Contribution To Reserves/Reserve Funds,6687581.7
Toronto Paramedic Services,AM-Emergency Medical Care,Equipment,839518.33
Toronto Paramedic Services,AM-Emergency Medical Care,Inter-Divisional Charges,7561526.5
Toronto Paramedic Services,AM-Emergency Medical Care,Materials & Supplies,5732800.55
Toronto Paramedic Services,AM-Emergency Medical Care,Other Expenditures,8937
Toronto Paramedic Services,AM-Emergency Medical Care,Salaries And Benefits,147211013.56
Toronto Paramedic Services,AM-Emergency Medical Care,Service And Rent,6631876.63
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Contribution To Capital,43848
